test/mean_Q,train/mean_Q,epoch,train/episode,stats_o/std,test/success_rate,stats_o/mean,stats_g/mean,test/episode,train/success_rate,stats_g/std
-20.927362,-22.156221,56,5700.0,0.090260066,0.25,0.18817021,0.792222,1140.0,0.16,0.16842681
-17.262728,-23.961994,57,5800.0,0.09024549,0.35,0.18814427,0.7925532,1160.0,0.11,0.16825075
-17.443684,-22.910856,58,5900.0,0.09021129,0.2,0.18818419,0.79295295,1180.0,0.18,0.16810076
-17.647097,-22.864937,59,6000.0,0.0901748,0.2,0.18826123,0.79336023,1200.0,0.15,0.16787128
-15.830519,-24.331152,60,6100.0,0.09016716,0.3,0.18829311,0.7938461,1220.0,0.11,0.16795366
-15.711673,-23.681969,61,6200.0,0.09039225,0.4,0.18830825,0.7941716,1240.0,0.09,0.16791166
-17.494358,-25.013123,62,6300.0,0.090599954,0.3,0.18830638,0.7944676,1260.0,0.13,0.1681372
-12.480352,-23.52207,63,6400.0,0.09052514,0.55,0.18834285,0.79480696,1280.0,0.19,0.16791542
-13.243158,-25.349773,64,6500.0,0.09069289,0.5,0.18834679,0.7953097,1300.0,0.11,0.16811532
-16.259598,-26.115263,65,6600.0,0.090866044,0.3,0.18838274,0.7957034,1320.0,0.13,0.16814841
-15.430832,-26.131279,66,6700.0,0.091032036,0.4,0.18852577,0.7962677,1340.0,0.09,0.16805564
-14.608736,-25.375637,67,6800.0,0.09102416,0.4,0.18863706,0.7965989,1360.0,0.13,0.16796516
-13.587858,-23.587011,68,6900.0,0.09109804,0.3,0.18863338,0.7969818,1380.0,0.17,0.16794012
-14.908201,-22.90974,69,7000.0,0.09114163,0.2,0.18869537,0.7972663,1400.0,0.16,0.16788109
-17.01641,-23.110601,70,7100.0,0.091399506,0.3,0.18869062,0.7972598,1420.0,0.19,0.16786636
-15.551376,-23.78436,71,7200.0,0.09139922,0.45,0.18874286,0.7977338,1440.0,0.19,0.16765176
-15.497988,-25.938515,72,7300.0,0.09141585,0.45,0.1888554,0.79804826,1460.0,0.11,0.16766067
-12.76238,-24.121056,73,7400.0,0.09136657,0.45,0.18892035,0.7983069,1480.0,0.11,0.16744965
-13.446872,-24.09213,74,7500.0,0.09140925,0.4,0.18897226,0.7985839,1500.0,0.14,0.16727132
-13.546516,-24.457952,75,7600.0,0.09142477,0.45,0.18902954,0.79879665,1520.0,0.12,0.16699128
-14.844968,-25.924515,76,7700.0,0.09160903,0.25,0.1890598,0.79920644,1540.0,0.08,0.16697894
-16.048874,-22.762629,77,7800.0,0.091594785,0.4,0.18902466,0.79937404,1560.0,0.2,0.16683012
-13.323987,-24.447266,78,7900.0,0.09161315,0.6,0.18904427,0.7997686,1580.0,0.14,0.16663791
-14.385912,-24.609747,79,8000.0,0.09184755,0.25,0.18909198,0.80001736,1600.0,0.17,0.16691901
-15.653837,-24.616667,80,8100.0,0.09181285,0.45,0.18916225,0.80034083,1620.0,0.11,0.16679148
-18.101118,-25.207233,81,8200.0,0.09174422,0.25,0.1892605,0.8006576,1640.0,0.1,0.16671924
-17.426554,-25.407364,82,8300.0,0.09187934,0.4,0.18937077,0.8010061,1660.0,0.13,0.16667338
-16.857069,-25.551502,83,8400.0,0.091949984,0.3,0.18941742,0.8011517,1680.0,0.19,0.16656204
-15.20413,-25.685278,84,8500.0,0.09209346,0.45,0.18945181,0.80139613,1700.0,0.16,0.16663696
-16.24017,-23.947935,85,8600.0,0.092206985,0.35,0.18953308,0.8015983,1720.0,0.11,0.16657297
-12.678108,-25.741383,86,8700.0,0.092218444,0.75,0.18956833,0.8018586,1740.0,0.15,0.16642416
-12.777023,-24.98167,87,8800.0,0.09222733,0.6,0.18964143,0.80199,1760.0,0.16,0.16649596
-14.158777,-27.4121,88,8900.0,0.09236121,0.6,0.18969414,0.8020849,1780.0,0.16,0.16661344
-19.117956,-25.129423,89,9000.0,0.09235395,0.25,0.18973774,0.8022833,1800.0,0.23,0.16648816
-11.025892,-26.874311,90,9100.0,0.092325084,0.7,0.1898167,0.8025813,1820.0,0.13,0.16633283
-18.070383,-28.722397,91,9200.0,0.09260086,0.4,0.18980089,0.8025467,1840.0,0.11,0.16652285
-18.416676,-25.193687,92,9300.0,0.092698604,0.35,0.18985909,0.80272263,1860.0,0.14,0.16647781
-15.829862,-27.148354,93,9400.0,0.0929265,0.6,0.18987644,0.80286,1880.0,0.21,0.16669267
-15.378189,-25.49376,94,9500.0,0.092887424,0.45,0.18991768,0.80294615,1900.0,0.21,0.16662298
-15.880137,-24.443775,95,9600.0,0.09287463,0.5,0.18994644,0.80305195,1920.0,0.21,0.16644031
-17.103214,-26.900986,96,9700.0,0.09317874,0.3,0.18995968,0.8030614,1940.0,0.13,0.16653048
-12.246331,-26.300972,97,9800.0,0.09311698,0.65,0.18994801,0.803113,1960.0,0.16,0.16638733
-20.472937,-26.220572,98,9900.0,0.093274325,0.35,0.18989432,0.8032207,1980.0,0.13,0.16638966
-15.475328,-28.210491,99,10000.0,0.09322765,0.45,0.189932,0.80336666,2000.0,0.13,0.16633222
-16.424694,-25.77328,100,10100.0,0.09329799,0.55,0.18992779,0.80339336,2020.0,0.17,0.16625546
-18.145378,-27.832962,101,10200.0,0.09337929,0.5,0.1899702,0.80343956,2040.0,0.11,0.16619714
-20.057323,-28.106796,102,10300.0,0.093444794,0.25,0.1900303,0.8035722,2060.0,0.14,0.16617481
-18.183659,-29.444126,103,10400.0,0.09342727,0.4,0.19006273,0.8037959,2080.0,0.1,0.16615999
-18.598005,-25.055185,104,10500.0,0.093470424,0.4,0.1901142,0.8039069,2100.0,0.22,0.1659911
-14.312006,-28.412048,105,10600.0,0.093511455,0.5,0.19015618,0.8040486,2120.0,0.11,0.16618043
-22.14186,-26.270937,106,10700.0,0.09350131,0.2,0.19023138,0.8043081,2140.0,0.2,0.16602784
-16.984066,-26.151464,107,10800.0,0.09357225,0.5,0.19028118,0.804364,2160.0,0.16,0.16602464
-15.158804,-26.737652,108,10900.0,0.09355273,0.65,0.19032803,0.8045718,2180.0,0.13,0.16582762
-13.908377,-25.558208,109,11000.0,0.09350348,0.6,0.1903284,0.8046374,2200.0,0.22,0.16572005
-21.65676,-26.429653,110,11100.0,0.09361196,0.4,0.19033581,0.8047712,2220.0,0.17,0.16566753
-17.81715,-25.914534,111,11200.0,0.09354877,0.4,0.19040829,0.80507547,2240.0,0.17,0.16551283
-13.771098,-27.121864,112,11300.0,0.0935406,0.6,0.19041742,0.80507225,2260.0,0.17,0.16557507
-17.540516,-26.019041,113,11400.0,0.0936032,0.5,0.19044372,0.8051081,2280.0,0.19,0.1655623
-14.293879,-26.183619,114,11500.0,0.093499444,0.6,0.19052227,0.8052616,2300.0,0.21,0.16541718
-16.299345,-26.484682,115,11600.0,0.09358792,0.4,0.19054043,0.8052752,2320.0,0.21,0.16541241
-16.195868,-26.2719,116,11700.0,0.0935374,0.5,0.19054912,0.8053568,2340.0,0.16,0.16518286
-18.089666,-27.615551,117,11800.0,0.09348349,0.45,0.19058985,0.8055453,2360.0,0.18,0.16501339
-14.050858,-27.609512,118,11900.0,0.09353425,0.65,0.19063945,0.80564517,2380.0,0.16,0.1649053
-16.895472,-26.215652,119,12000.0,0.093559705,0.45,0.19066921,0.8058184,2400.0,0.2,0.16485041
-16.916233,-29.208551,120,12100.0,0.09352624,0.4,0.1906846,0.80599165,2420.0,0.15,0.16476937
-15.520136,-27.850725,121,12200.0,0.09355876,0.45,0.19070195,0.8061698,2440.0,0.14,0.16464946
