test/mean_Q,stats_o/mean,stats_g/mean,train/success_rate,test/episode,train/mean_Q,stats_o/std,train/episode,epoch,test/success_rate,stats_g/std
-22.473846,0.18538,0.7726198,0.14,1140.0,-25.210356,0.08804932,5700.0,56,0.05,0.14540438
-23.830597,0.185468,0.77314353,0.09,1160.0,-24.320904,0.08812066,5800.0,57,0.15,0.14540853
-15.736395,0.18556356,0.77354556,0.12,1180.0,-24.458042,0.08820462,5900.0,58,0.25,0.1455263
-21.115976,0.18565863,0.7738557,0.17,1200.0,-24.056818,0.08824468,6000.0,59,0.15,0.14539492
-17.188913,0.18575574,0.77433634,0.04,1220.0,-25.214989,0.088206455,6100.0,60,0.4,0.14524935
-20.814686,0.1858396,0.7746758,0.07,1240.0,-24.938238,0.088188164,6200.0,61,0.25,0.14527994
-20.801884,0.18586859,0.774904,0.13,1260.0,-25.093723,0.08828048,6300.0,62,0.2,0.1452401
-19.224768,0.18588217,0.7750923,0.14,1280.0,-23.363909,0.08836486,6400.0,63,0.3,0.1452602
-12.976006,0.1859402,0.7753804,0.12,1300.0,-24.110231,0.088273756,6500.0,64,0.4,0.14513224
-17.658247,0.18599632,0.7755981,0.07,1320.0,-27.167292,0.0883687,6600.0,65,0.15,0.14529486
-19.349491,0.18610142,0.7760132,0.16,1340.0,-25.164707,0.08866284,6700.0,66,0.3,0.1453834
-18.430964,0.18617448,0.77627677,0.08,1360.0,-26.451519,0.088749796,6800.0,67,0.25,0.14537872
-15.086644,0.18623489,0.77669597,0.13,1380.0,-24.397165,0.08878114,6900.0,68,0.2,0.14531493
-15.811984,0.18634209,0.777081,0.1,1400.0,-25.567848,0.088641,7000.0,69,0.25,0.14517458
-17.164452,0.18632911,0.7770423,0.1,1420.0,-25.23541,0.08864396,7100.0,70,0.3,0.14540568
-20.46371,0.18639913,0.7772997,0.09,1440.0,-26.76981,0.08861205,7200.0,71,0.3,0.1454574
-21.160679,0.1864674,0.77765125,0.11,1460.0,-26.730164,0.0886242,7300.0,72,0.15,0.14543985
-20.835041,0.18648711,0.77778333,0.12,1480.0,-25.34824,0.088751964,7400.0,73,0.05,0.14530791
-14.157827,0.18655884,0.7780762,0.15,1500.0,-24.692211,0.088882245,7500.0,74,0.4,0.14523375
-16.756144,0.18662958,0.7781897,0.13,1520.0,-26.537569,0.089011066,7600.0,75,0.5,0.14522631
-13.558032,0.18672526,0.77848035,0.21,1540.0,-26.19341,0.089006014,7700.0,76,0.45,0.14516874
-13.314769,0.1867368,0.7785248,0.19,1560.0,-23.853725,0.088986546,7800.0,77,0.65,0.14500496
-18.977467,0.18678018,0.7787358,0.12,1580.0,-25.743942,0.08897109,7900.0,78,0.2,0.14504822
-15.043938,0.18687886,0.77893203,0.14,1600.0,-27.318562,0.08907624,8000.0,79,0.4,0.14529763
-20.479511,0.18700355,0.7791318,0.16,1620.0,-23.889046,0.08900036,8100.0,80,0.3,0.14513087
-17.893888,0.18713427,0.77940845,0.12,1640.0,-26.342688,0.08904413,8200.0,81,0.3,0.14517166
-21.148558,0.18722825,0.77971196,0.11,1660.0,-25.984192,0.08900189,8300.0,82,0.2,0.14528975
-17.12933,0.18733102,0.7798334,0.15,1680.0,-27.071907,0.089320555,8400.0,83,0.3,0.1454807
-16.274317,0.18738542,0.78003836,0.13,1700.0,-26.961773,0.0893461,8500.0,84,0.3,0.14550708
-16.54308,0.18745393,0.7801879,0.23,1720.0,-25.696138,0.0893542,8600.0,85,0.35,0.14552106
-18.154455,0.18751663,0.78044957,0.13,1740.0,-27.30785,0.089341685,8700.0,86,0.2,0.14545673
-15.399518,0.18757294,0.78047276,0.17,1760.0,-24.929028,0.08945543,8800.0,87,0.4,0.1454767
-14.814824,0.18765026,0.7807109,0.12,1780.0,-27.20307,0.089490764,8900.0,88,0.35,0.14545773
-17.039198,0.18774089,0.78095794,0.12,1800.0,-25.687344,0.08934127,9000.0,89,0.2,0.14526273
-14.428131,0.18783073,0.7811915,0.11,1820.0,-26.396896,0.08921872,9100.0,90,0.45,0.14507896
-16.619053,0.18786117,0.7812304,0.13,1840.0,-27.132683,0.08922372,9200.0,91,0.45,0.14513002
-15.607153,0.18797608,0.7814922,0.13,1860.0,-26.376072,0.08922663,9300.0,92,0.45,0.14513282
-19.35668,0.18804236,0.7816275,0.14,1880.0,-26.9441,0.0892691,9400.0,93,0.25,0.14511345
-18.527248,0.18805929,0.78168625,0.19,1900.0,-24.278976,0.08917098,9500.0,94,0.2,0.145047
-18.927713,0.18805511,0.78169876,0.17,1920.0,-25.183125,0.08909025,9600.0,95,0.4,0.14492796
-17.580294,0.18808904,0.7817366,0.11,1940.0,-27.134132,0.089171,9700.0,96,0.35,0.14505881
-14.941198,0.18810332,0.78177994,0.2,1960.0,-23.202103,0.089102715,9800.0,97,0.25,0.1448678
-20.163233,0.18811479,0.7818188,0.12,1980.0,-26.328491,0.089075476,9900.0,98,0.35,0.14476556
-16.697445,0.18813765,0.78187245,0.1,2000.0,-27.907116,0.08901924,10000.0,99,0.4,0.14459261
-17.187284,0.18817829,0.78186584,0.18,2020.0,-26.824852,0.0890257,10100.0,100,0.45,0.14462101
-17.62702,0.18822372,0.78188896,0.13,2040.0,-28.955158,0.08912429,10200.0,101,0.35,0.14463621
-14.056331,0.18822052,0.7818971,0.11,2060.0,-29.25048,0.089395754,10300.0,102,0.5,0.1448262
-17.099651,0.1882477,0.78198534,0.13,2080.0,-28.099642,0.089363374,10400.0,103,0.55,0.14491044
-18.714754,0.18823862,0.7820141,0.15,2100.0,-26.56887,0.089501984,10500.0,104,0.4,0.14497465
