test/mean_Q,test/episode,stats_o/mean,epoch,stats_o/std,stats_g/std,train/episode,stats_g/mean,train/mean_Q,test/success_rate,train/success_rate
-18.577175,1140.0,0.18569675,56,0.08461158,0.14421494,5700.0,0.78087777,-24.80316,0.15,0.12
-17.610386,1160.0,0.18569428,57,0.0845615,0.14418653,5800.0,0.7811355,-22.44491,0.35,0.14
-17.155443,1180.0,0.18578133,58,0.08482144,0.1441149,5900.0,0.7815892,-24.878235,0.25,0.09
-21.185287,1200.0,0.18580805,59,0.08469131,0.14382079,6000.0,0.781795,-22.530615,0.25,0.15
-16.72673,1220.0,0.18582982,60,0.08481179,0.14384969,6100.0,0.7821478,-24.209784,0.35,0.13
-18.58524,1240.0,0.18584557,61,0.08483757,0.14375965,6200.0,0.78261906,-24.596394,0.25,0.12
-16.566666,1260.0,0.1858315,62,0.08494299,0.14387034,6300.0,0.7828652,-23.492708,0.35,0.15
-18.197536,1280.0,0.18585782,63,0.08503947,0.14377508,6400.0,0.78303385,-23.151028,0.25,0.13
-12.983603,1300.0,0.18584687,64,0.08528184,0.14426608,6500.0,0.7831888,-25.963003,0.35,0.15
-14.081108,1320.0,0.18587846,65,0.08533431,0.14440079,6600.0,0.7835412,-24.377579,0.35,0.17
-19.186554,1340.0,0.18596102,66,0.08570468,0.14470994,6700.0,0.7840328,-25.75863,0.35,0.19
-15.052945,1360.0,0.18605033,67,0.08581765,0.14454986,6800.0,0.78447086,-23.732344,0.45,0.15
-17.71688,1380.0,0.18606432,68,0.085815065,0.14445904,6900.0,0.784766,-23.915293,0.2,0.14
-16.964489,1400.0,0.18610972,69,0.08591654,0.14434981,7000.0,0.7851483,-24.35973,0.25,0.12
-16.485252,1420.0,0.18612614,70,0.085961506,0.14430572,7100.0,0.7852234,-24.705122,0.45,0.09
-18.26344,1440.0,0.18616696,71,0.08612302,0.14457099,7200.0,0.78550196,-25.102667,0.25,0.15
-20.775543,1460.0,0.18622638,72,0.08611026,0.144699,7300.0,0.78586245,-25.559544,0.25,0.09
-18.707584,1480.0,0.18628985,73,0.086118944,0.14481504,7400.0,0.7860083,-25.320625,0.3,0.15
-14.504199,1500.0,0.18634106,74,0.08606379,0.1447965,7500.0,0.786294,-25.801214,0.55,0.08
-16.72148,1520.0,0.18637052,75,0.085897096,0.14451472,7600.0,0.78635997,-23.117786,0.35,0.2
-17.710827,1540.0,0.1864253,76,0.08604305,0.14455773,7700.0,0.7866881,-27.231777,0.25,0.09
-16.491995,1560.0,0.1864949,77,0.08599241,0.14434706,7800.0,0.78683287,-23.134493,0.3,0.14
-14.399869,1580.0,0.1865496,78,0.08598369,0.14434265,7900.0,0.78715056,-26.351711,0.5,0.11
-17.55582,1600.0,0.18660983,79,0.086038634,0.14441125,8000.0,0.7872065,-26.056934,0.3,0.11
-19.764874,1620.0,0.18668623,80,0.08605638,0.14440577,8100.0,0.787445,-25.248281,0.3,0.21
-16.977951,1640.0,0.18681479,81,0.08612176,0.14454767,8200.0,0.7877896,-27.742256,0.4,0.15
-22.26679,1660.0,0.18689783,82,0.086072005,0.14456727,8300.0,0.7880133,-26.097563,0.35,0.17
-15.678302,1680.0,0.18696694,83,0.08600456,0.14442785,8400.0,0.7882208,-26.588999,0.6,0.18
-17.83271,1700.0,0.18702091,84,0.08614459,0.14452006,8500.0,0.78838474,-27.84459,0.25,0.13
-17.847761,1720.0,0.1870951,85,0.08618994,0.14440371,8600.0,0.7886978,-25.826225,0.25,0.18
-18.430328,1740.0,0.18719903,86,0.08610375,0.14432618,8700.0,0.7890814,-27.958132,0.2,0.09
-12.942456,1760.0,0.18728156,87,0.08609069,0.1442494,8800.0,0.7892843,-26.648256,0.55,0.15
-16.794165,1780.0,0.18731579,88,0.08601496,0.14409934,8900.0,0.7894055,-25.19049,0.4,0.18
-16.195105,1800.0,0.18739748,89,0.08602998,0.14398593,9000.0,0.7896607,-25.279142,0.35,0.17
-14.4420395,1820.0,0.18741806,90,0.0860988,0.14410506,9100.0,0.7898519,-26.518906,0.5,0.16
-18.531134,1840.0,0.1874504,91,0.08606067,0.1440431,9200.0,0.78984237,-25.981514,0.4,0.11
-19.816383,1860.0,0.18751146,92,0.086078,0.14401643,9300.0,0.7901232,-26.725744,0.4,0.13
-19.59203,1880.0,0.18757029,93,0.08608325,0.14401935,9400.0,0.7903154,-25.778637,0.35,0.22
-18.195072,1900.0,0.18763489,94,0.08607735,0.14411594,9500.0,0.7904992,-26.938799,0.35,0.15
-19.643871,1920.0,0.18764916,95,0.08612979,0.14404708,9600.0,0.7905304,-26.121618,0.3,0.13
-18.564281,1940.0,0.18768719,96,0.08619807,0.14394712,9700.0,0.7906143,-27.193628,0.35,0.13
-17.96782,1960.0,0.18771054,97,0.08618249,0.1438631,9800.0,0.7905839,-25.630066,0.05,0.15
-18.218155,1980.0,0.187665,98,0.08623509,0.14390804,9900.0,0.7905638,-25.725903,0.3,0.18
-14.818102,2000.0,0.18770708,99,0.086304754,0.1439058,10000.0,0.7906428,-26.563992,0.45,0.14
-18.219763,2020.0,0.18772915,100,0.08638114,0.14398392,10100.0,0.79065865,-27.328625,0.45,0.11
-19.887661,2040.0,0.18777801,101,0.086479895,0.14386488,10200.0,0.7906742,-25.015709,0.25,0.15
-18.82586,2060.0,0.187828,102,0.08647093,0.14390408,10300.0,0.79071957,-26.913122,0.35,0.15
-18.401058,2080.0,0.18789001,103,0.086556695,0.14386985,10400.0,0.79097444,-27.334806,0.25,0.21
-19.97026,2100.0,0.18794775,104,0.08651143,0.14372545,10500.0,0.79106927,-26.11844,0.4,0.2
-17.359499,2120.0,0.1879994,105,0.08662659,0.14385635,10600.0,0.79123527,-26.640554,0.25,0.18
-15.687937,2140.0,0.18805055,106,0.086568244,0.14378864,10700.0,0.7914569,-27.562462,0.55,0.11
-15.97408,2160.0,0.18808724,107,0.08653682,0.14367847,10800.0,0.79156774,-25.980982,0.55,0.15
-18.044098,2180.0,0.18814354,108,0.08663766,0.14365454,10900.0,0.7917474,-27.412273,0.4,0.14
-15.109752,2200.0,0.18815891,109,0.086592466,0.14358608,11000.0,0.7918928,-26.851757,0.55,0.2
-18.273157,2220.0,0.18816553,110,0.08660248,0.14363326,11100.0,0.79195076,-28.065496,0.15,0.16
-18.10516,2240.0,0.18825264,111,0.08665927,0.14363421,11200.0,0.7921776,-28.27939,0.4,0.15
-14.79408,2260.0,0.18830542,112,0.086693905,0.1436703,11300.0,0.79224944,-27.932686,0.55,0.12
-17.056667,2280.0,0.18832651,113,0.08665719,0.14372812,11400.0,0.7923186,-26.208763,0.4,0.19
-15.5020275,2300.0,0.18839307,114,0.08662751,0.14369196,11500.0,0.7924416,-26.75885,0.3,0.15
-14.938634,2320.0,0.1884177,115,0.08672068,0.14365642,11600.0,0.7924884,-26.039446,0.4,0.11
-13.520929,2340.0,0.18843096,116,0.08676629,0.14355725,11700.0,0.7924645,-23.146032,0.45,0.14
-15.658209,2360.0,0.18841553,117,0.08687422,0.14362937,11800.0,0.79237133,-24.715645,0.15,0.1
-15.077841,2380.0,0.18834876,118,0.08714298,0.14366376,11900.0,0.79214853,-22.543716,0.4,0.14
-14.884552,2400.0,0.18833919,119,0.08712027,0.1436281,12000.0,0.7921505,-22.946037,0.4,0.17
-14.547421,2420.0,0.1883326,120,0.087040864,0.14367032,12100.0,0.7921827,-23.367458,0.25,0.1
-14.743403,2440.0,0.18829007,121,0.08700028,0.14367794,12200.0,0.79210305,-23.905998,0.35,0.07
-17.180073,2460.0,0.18827204,122,0.08704369,0.14382371,12300.0,0.7920282,-23.843,0.35,0.13
-18.139698,2480.0,0.18820599,123,0.08696066,0.14380766,12400.0,0.79193634,-23.054356,0.1,0.11
-17.747828,2500.0,0.18819988,124,0.08683456,0.14369144,12500.0,0.7919483,-24.291399,0.15,0.13
-20.213116,2520.0,0.1881808,125,0.086721666,0.14363585,12600.0,0.7918665,-25.078611,0.15,0.11
-17.428473,2540.0,0.18815163,126,0.0867048,0.1436549,12700.0,0.7917511,-24.317854,0.25,0.13
-19.487642,2560.0,0.18810911,127,0.086589135,0.14364119,12800.0,0.7917138,-24.7368,0.35,0.14
-18.211943,2580.0,0.18810695,128,0.086585835,0.14357676,12900.0,0.79169947,-26.399534,0.4,0.12
-18.676626,2600.0,0.18807328,129,0.0866048,0.14377269,13000.0,0.7916188,-27.268345,0.35,0.15
-18.775188,2620.0,0.1880842,130,0.0865392,0.1437072,13100.0,0.79171777,-27.379662,0.4,0.2
-20.370596,2640.0,0.18807127,131,0.08652387,0.14382271,13200.0,0.7916811,-27.55588,0.4,0.14
-17.727627,2660.0,0.18806511,132,0.08656396,0.14372914,13300.0,0.79178315,-28.787148,0.4,0.14
-20.786549,2680.0,0.18811694,133,0.08658807,0.14378338,13400.0,0.7919531,-29.38833,0.4,0.15
-18.250998,2700.0,0.18813542,134,0.08657411,0.14381416,13500.0,0.7919459,-29.047503,0.35,0.13
-19.13027,2720.0,0.18816276,135,0.086595766,0.14380391,13600.0,0.7920689,-28.07981,0.3,0.13
-13.597896,2740.0,0.18816872,136,0.08662105,0.14397393,13700.0,0.7921419,-29.996428,0.6,0.08
-16.759403,2760.0,0.18820757,137,0.08662708,0.14387684,13800.0,0.7922581,-26.431734,0.5,0.26
-20.516497,2780.0,0.18825015,138,0.08672693,0.14388566,13900.0,0.79242086,-29.165607,0.35,0.19
-17.413128,2800.0,0.18827978,139,0.08674219,0.1438428,14000.0,0.79251623,-27.309267,0.3,0.23
-17.812738,2820.0,0.18828754,140,0.08675598,0.1439331,14100.0,0.79258966,-29.883873,0.3,0.17
-19.378675,2840.0,0.18831806,141,0.0867892,0.14394502,14200.0,0.7926722,-29.022184,0.35,0.15
-20.738285,2860.0,0.18832949,142,0.08681952,0.14396049,14300.0,0.7927157,-26.866333,0.2,0.27
-20.915888,2880.0,0.18834169,143,0.08678262,0.1439227,14400.0,0.79278356,-29.032463,0.2,0.11
-18.714283,2900.0,0.18836744,144,0.08686086,0.14390922,14500.0,0.79285645,-28.476328,0.3,0.15
-18.554258,2920.0,0.1883763,145,0.08689149,0.14390244,14600.0,0.79289216,-27.565533,0.3,0.19
-16.263767,2940.0,0.18842179,146,0.08693073,0.14396895,14700.0,0.7930251,-27.612093,0.5,0.16
-18.333124,2960.0,0.18848406,147,0.08700111,0.14400993,14800.0,0.7931375,-26.764593,0.4,0.23
-18.517391,2980.0,0.18854469,148,0.08703199,0.14392497,14900.0,0.79324174,-28.48926,0.5,0.16
-16.851889,3000.0,0.18860662,149,0.087114364,0.1439138,15000.0,0.7934201,-27.78696,0.45,0.2
-16.755428,3020.0,0.18866321,150,0.08714985,0.1438377,15100.0,0.79354686,-25.676481,0.4,0.26
-20.401932,3040.0,0.18868747,151,0.08729386,0.14381994,15200.0,0.7936781,-27.882635,0.2,0.14
-16.066257,3060.0,0.1887086,152,0.08740531,0.14387885,15300.0,0.79374695,-27.671337,0.55,0.15
-17.077074,3080.0,0.1887299,153,0.08753875,0.14391904,15400.0,0.7938567,-26.772234,0.4,0.15
-14.566007,3100.0,0.18874684,154,0.08758868,0.14399685,15500.0,0.79395026,-27.664274,0.75,0.14
-11.422377,3120.0,0.18877363,155,0.08768248,0.14405286,15600.0,0.79417104,-27.711481,0.7,0.14
-19.68832,3140.0,0.18884178,156,0.08786402,0.1441132,15700.0,0.7943053,-26.522085,0.35,0.18
-16.827435,3160.0,0.18886873,157,0.08783882,0.14400063,15800.0,0.79435086,-24.530481,0.35,0.21
-10.57641,3180.0,0.18888867,158,0.08788333,0.14396189,15900.0,0.7943626,-25.110435,0.5,0.21
-12.839374,3200.0,0.1889322,159,0.0878987,0.14402418,16000.0,0.79447335,-26.515814,0.55,0.22
-11.422087,3220.0,0.18896517,160,0.08793559,0.14398207,16100.0,0.7946255,-27.070063,0.65,0.09
-16.084572,3240.0,0.18898088,161,0.08795024,0.1439756,16200.0,0.7946746,-25.911142,0.35,0.14
-15.752203,3260.0,0.18901865,162,0.08795279,0.14404605,16300.0,0.79481846,-27.072735,0.45,0.11
-15.521482,3280.0,0.18905921,163,0.08805816,0.14404775,16400.0,0.7948878,-25.195816,0.4,0.21
-16.013254,3300.0,0.18907848,164,0.08813064,0.1440698,16500.0,0.79492635,-27.858397,0.35,0.11
-17.726866,3320.0,0.18910477,165,0.08831757,0.1441107,16600.0,0.79505783,-26.840027,0.35,0.13
-12.155985,3340.0,0.18912274,166,0.08843891,0.14420146,16700.0,0.79507583,-25.944895,0.65,0.17
-11.20798,3360.0,0.18916243,167,0.08850722,0.1442727,16800.0,0.7952295,-26.87609,0.65,0.17
-19.354681,3380.0,0.18916911,168,0.088534184,0.14434256,16900.0,0.7953169,-26.27688,0.5,0.18
-16.156687,3400.0,0.18918356,169,0.08853296,0.14441553,17000.0,0.79542106,-24.912224,0.55,0.2
-14.160135,3420.0,0.18920574,170,0.088531315,0.14447492,17100.0,0.7954777,-26.968422,0.5,0.18
-18.246859,3440.0,0.18924038,171,0.088588044,0.14449374,17200.0,0.79556257,-26.369658,0.3,0.17
-16.687164,3460.0,0.1892714,172,0.08868211,0.14450802,17300.0,0.79565364,-26.415028,0.45,0.16
-16.18153,3480.0,0.18930082,173,0.08864649,0.14446954,17400.0,0.7957759,-26.096497,0.5,0.24
-16.095404,3500.0,0.18929788,174,0.088623,0.14452486,17500.0,0.7958198,-27.605556,0.4,0.15
-16.540203,3520.0,0.18930386,175,0.08859989,0.1445105,17600.0,0.7958827,-26.89098,0.55,0.2
-12.461472,3540.0,0.1893262,176,0.088696346,0.14452334,17700.0,0.7959232,-26.32129,0.75,0.16
-16.614273,3560.0,0.18934847,177,0.08864303,0.14447497,17800.0,0.7959779,-25.825787,0.5,0.2
-17.595314,3580.0,0.18938063,178,0.0886485,0.14449508,17900.0,0.79610664,-27.033098,0.45,0.19
-18.535393,3600.0,0.1893946,179,0.088626586,0.14451906,18000.0,0.7961423,-26.477602,0.45,0.19
-18.632584,3620.0,0.18940353,180,0.08865149,0.14453982,18100.0,0.7962246,-28.393364,0.35,0.15
-21.276505,3640.0,0.18943407,181,0.088690855,0.1445682,18200.0,0.7963355,-28.319939,0.25,0.19
-17.781813,3660.0,0.18946622,182,0.08867881,0.14454377,18300.0,0.7964144,-25.550007,0.35,0.24
-18.453701,3680.0,0.18947792,183,0.08873143,0.14458449,18400.0,0.79645014,-27.860079,0.25,0.15
-21.493761,3700.0,0.18948922,184,0.08880754,0.14462052,18500.0,0.79648757,-27.541227,0.5,0.17
-15.900716,3720.0,0.18953365,185,0.088774994,0.14461496,18600.0,0.79663205,-29.101818,0.45,0.17
-16.483265,3740.0,0.18957442,186,0.08885148,0.14479159,18700.0,0.7967469,-27.99594,0.4,0.17
-23.876358,3760.0,0.18961914,187,0.088853024,0.14476135,18800.0,0.79681975,-27.774046,0.3,0.19
-14.166811,3780.0,0.18966693,188,0.088869244,0.14482646,18900.0,0.79699105,-28.534496,0.35,0.17
-16.550106,3800.0,0.1897102,189,0.088886805,0.14493217,19000.0,0.79711896,-29.836159,0.55,0.13
-16.485886,3820.0,0.18972588,190,0.08891793,0.14493853,19100.0,0.79715806,-25.53193,0.55,0.21
-17.188244,3840.0,0.1897433,191,0.08899703,0.14499538,19200.0,0.79725575,-28.449608,0.45,0.12
-15.989647,3860.0,0.18977281,192,0.08903363,0.14507252,19300.0,0.7973345,-28.96882,0.35,0.14
-15.927075,3880.0,0.1897972,193,0.08918274,0.14516307,19400.0,0.79735583,-29.323654,0.6,0.13
-14.687238,3900.0,0.18981878,194,0.089214794,0.1451716,19500.0,0.79742336,-28.083096,0.6,0.19
-17.908644,3920.0,0.18985744,195,0.089252345,0.1452517,19600.0,0.79752094,-30.03644,0.5,0.11
-16.527096,3940.0,0.1898882,196,0.089284204,0.14531909,19700.0,0.7975827,-30.636028,0.4,0.1
-19.812664,3960.0,0.18993868,197,0.08937606,0.14541928,19800.0,0.7976683,-28.855663,0.2,0.14
-14.553006,3980.0,0.18995838,198,0.08940175,0.1454417,19900.0,0.7977696,-29.32083,0.5,0.18
-16.75198,4000.0,0.1899735,199,0.089397125,0.14555763,20000.0,0.7978274,-28.630249,0.35,0.12
