train/mean_Q,stats_o/mean,epoch,stats_g/std,test/mean_Q,test/success_rate,stats_o/std,train/episode,stats_g/mean,train/success_rate,test/episode
-29.461123,0.20115042,56,0.07678402,-26.827839,0.1,0.06450323,5700.0,0.8375841,0.12,1140.0
-28.974651,0.20117655,57,0.07674444,-31.26437,0.05,0.064676926,5800.0,0.8376489,0.15,1160.0
-29.131824,0.20115034,58,0.076639615,-30.113247,0.15,0.06457685,5900.0,0.8375873,0.11,1180.0
-31.102127,0.20113899,59,0.07656222,-22.551191,0.1,0.06471777,6000.0,0.8376134,0.08,1200.0
-27.59103,0.2011637,60,0.076495506,-32.698097,0.05,0.064810745,6100.0,0.8377232,0.15,1220.0
-30.56462,0.20117909,61,0.07639711,-25.389389,0.15,0.06468671,6200.0,0.8378291,0.1,1240.0
-27.889492,0.20116188,62,0.076515354,-24.908297,0.1,0.064814925,6300.0,0.8377244,0.13,1260.0
-27.318491,0.20111705,63,0.07658758,-27.09609,0.1,0.06522008,6400.0,0.8376444,0.13,1280.0
-30.524473,0.20116031,64,0.07651893,-25.054966,0.2,0.065642804,6500.0,0.83760715,0.07,1300.0
-26.705528,0.201141,65,0.07689788,-29.33731,0.05,0.06618562,6600.0,0.8375638,0.15,1320.0
-25.973913,0.20108904,66,0.07681235,-23.83739,0.1,0.066297404,6700.0,0.8374295,0.1,1340.0
-24.481895,0.20111042,67,0.07671782,-25.281155,0.0,0.06635039,6800.0,0.8374157,0.14,1360.0
-25.354164,0.20111255,68,0.07662534,-26.768625,0.15,0.06641121,6900.0,0.83738416,0.09,1380.0
-22.680824,0.20107761,69,0.076743536,-25.623657,0.1,0.06701742,7000.0,0.83737177,0.18,1400.0
-23.858335,0.20102255,70,0.076690026,-27.532421,0.1,0.06732172,7100.0,0.8373224,0.14,1420.0
-21.415926,0.20102264,71,0.07660495,-26.907532,0.05,0.06747404,7200.0,0.83730274,0.15,1440.0
-23.470896,0.20102659,72,0.076700814,-25.187445,0.2,0.06794335,7300.0,0.83734083,0.15,1460.0
-23.103472,0.20099072,73,0.07672099,-20.364864,0.2,0.068541706,7400.0,0.8373685,0.17,1480.0
-23.78186,0.20098293,74,0.07678805,-26.75199,0.15,0.06898034,7500.0,0.8373025,0.11,1500.0
-22.807646,0.20099956,75,0.076816075,-18.25246,0.15,0.06974759,7600.0,0.8373305,0.19,1520.0
-21.608665,0.2010254,76,0.07696688,-21.972572,0.2,0.07059228,7700.0,0.83724666,0.15,1540.0
-21.085056,0.20106073,77,0.07706854,-22.521954,0.05,0.07086404,7800.0,0.8371859,0.19,1560.0
-17.539629,0.20117167,78,0.0771532,-24.9254,0.1,0.07125777,7900.0,0.8373094,0.23,1580.0
-22.36745,0.20118074,79,0.07715394,-19.22599,0.05,0.07162422,8000.0,0.83726424,0.15,1600.0
-20.751436,0.20118633,80,0.07714958,-14.565163,0.15,0.07193305,8100.0,0.8372021,0.17,1620.0
-19.387306,0.20117052,81,0.07708914,-17.195257,0.05,0.07235721,8200.0,0.83717495,0.2,1640.0
-18.087982,0.2011721,82,0.07713536,-20.982285,0.25,0.07272055,8300.0,0.837152,0.22,1660.0
-20.416245,0.20117979,83,0.07713658,-14.052534,0.3,0.07335059,8400.0,0.8371118,0.2,1680.0
-17.585964,0.20116076,84,0.07719383,-17.300257,0.3,0.07374345,8500.0,0.83706623,0.27,1700.0
-17.49955,0.20116349,85,0.077188306,-14.638898,0.15,0.07430295,8600.0,0.8370602,0.31,1720.0
-13.266147,0.20117174,86,0.07707551,-9.221124,0.45,0.0747618,8700.0,0.8370654,0.47,1740.0
