train/success_rate,train/episode,stats_g/mean,train/mean_Q,test/success_rate,stats_o/mean,epoch,stats_o/std,test/mean_Q,test/episode,stats_g/std
0.23,5700.0,0.843105,-19.408146,0.3,0.20362897,56,0.1023211,-19.249674,1140.0,0.1011553
0.19,5800.0,0.8430495,-19.49974,0.35,0.20362836,57,0.10266976,-20.780048,1160.0,0.10149264
0.25,5900.0,0.8431392,-17.724674,0.45,0.20366922,58,0.10321431,-16.72836,1180.0,0.101669274
0.33,6000.0,0.843137,-16.890377,0.4,0.20366023,59,0.10366432,-15.828566,1200.0,0.10173869
0.28,6100.0,0.8430033,-18.190779,0.35,0.20371914,60,0.10390871,-16.474731,1220.0,0.10172681
0.31,6200.0,0.84302765,-17.77294,0.4,0.2037008,61,0.10416876,-18.314606,1240.0,0.10175258
0.3,6300.0,0.8432242,-20.899752,0.5,0.20368895,62,0.1044525,-10.223804,1260.0,0.1016948
0.36,6400.0,0.8432319,-16.401857,0.5,0.20370904,63,0.10465413,-13.982779,1280.0,0.10157263
0.27,6500.0,0.84321636,-18.564579,0.55,0.20371164,64,0.10491409,-11.691732,1300.0,0.10167485
0.24,6600.0,0.8431337,-20.122202,0.45,0.20374218,65,0.104965836,-15.092595,1320.0,0.10168522
0.24,6700.0,0.8432825,-18.09536,0.35,0.20373887,66,0.10514745,-20.295639,1340.0,0.101461746
0.3,6800.0,0.8432977,-18.299524,0.35,0.20373085,67,0.105493695,-21.86721,1360.0,0.10162959
0.3,6900.0,0.8431694,-17.977995,0.35,0.20375526,68,0.10579828,-17.859612,1380.0,0.10157079
0.26,7000.0,0.8431788,-19.93017,0.6,0.20384659,69,0.10609898,-16.54974,1400.0,0.10180947
0.3,7100.0,0.843178,-17.089067,0.2,0.20385104,70,0.10627046,-24.604752,1420.0,0.10160837
0.31,7200.0,0.8433134,-19.590143,0.65,0.20392978,71,0.10641894,-11.754667,1440.0,0.10147616
0.29,7300.0,0.8433473,-20.12,0.55,0.20390683,72,0.10675659,-15.232905,1460.0,0.10133787
0.27,7400.0,0.8433392,-19.687725,0.6,0.20389327,73,0.10693081,-13.737009,1480.0,0.10150141
0.35,7500.0,0.8433148,-17.789303,0.6,0.2039686,74,0.10730604,-11.692301,1500.0,0.10137539
0.34,7600.0,0.8433296,-17.165928,0.5,0.20402822,75,0.10742382,-16.146046,1520.0,0.10126256
0.37,7700.0,0.843375,-16.751558,0.35,0.20403151,76,0.10768303,-18.512064,1540.0,0.101102255
0.35,7800.0,0.84332424,-18.71473,0.65,0.20403633,77,0.107848264,-12.451937,1560.0,0.10107062
0.39,7900.0,0.8432853,-16.52091,0.35,0.20402534,78,0.10810659,-22.412098,1580.0,0.101133704
0.35,8000.0,0.84336466,-19.325186,0.5,0.20402548,79,0.108346425,-16.94505,1600.0,0.101181686
0.33,8100.0,0.8433326,-19.089758,0.7,0.20400979,80,0.10864051,-10.556373,1620.0,0.10107106
0.3,8200.0,0.84342426,-20.010859,0.5,0.20398046,81,0.10898918,-17.04935,1640.0,0.101081066
0.41,8300.0,0.84348416,-15.791488,0.65,0.20403874,82,0.10916435,-11.164329,1660.0,0.10092381
0.37,8400.0,0.8435831,-16.40816,0.4,0.20405816,83,0.109453805,-16.891874,1680.0,0.10082257
0.33,8500.0,0.8436064,-20.743671,0.55,0.20403908,84,0.10942929,-15.848219,1700.0,0.10077258
0.41,8600.0,0.84357524,-16.799755,0.45,0.20412274,85,0.10965562,-17.747658,1720.0,0.10066811
0.42,8700.0,0.8436272,-16.963667,0.55,0.20416264,86,0.10982899,-15.08663,1740.0,0.10050151
0.32,8800.0,0.8436071,-20.607689,0.7,0.20417362,87,0.10991622,-13.259069,1760.0,0.10041281
0.39,8900.0,0.84358126,-20.878023,0.5,0.20420395,88,0.10986808,-16.680084,1780.0,0.10033581
0.29,9000.0,0.84356827,-21.397554,0.35,0.20414951,89,0.1101132,-20.128796,1800.0,0.100374766
0.35,9100.0,0.84357476,-20.26671,0.4,0.20420612,90,0.11042432,-20.805439,1820.0,0.10050029
0.45,9200.0,0.84360766,-16.764011,0.4,0.2042281,91,0.110560544,-18.24624,1840.0,0.10046476
0.42,9300.0,0.8436094,-17.857819,0.4,0.20425363,92,0.11077335,-23.879051,1860.0,0.10047876
0.42,9400.0,0.84363097,-16.158413,0.45,0.20433912,93,0.11109261,-19.669409,1880.0,0.1004881
0.3,9500.0,0.8435636,-21.762363,0.4,0.20435007,94,0.111193456,-22.760918,1900.0,0.10046977
0.36,9600.0,0.8435528,-18.249432,0.6,0.20432638,95,0.111520156,-12.565155,1920.0,0.10046151
0.4,9700.0,0.8435361,-19.410606,0.55,0.20427275,96,0.11181056,-16.646626,1940.0,0.10053301
0.37,9800.0,0.84358174,-21.853504,0.5,0.2042883,97,0.111791946,-19.683865,1960.0,0.10041395
0.42,9900.0,0.8436859,-18.165834,0.45,0.20427085,98,0.11188533,-16.82478,1980.0,0.10035843
0.47,10000.0,0.84369415,-16.67384,0.4,0.20429365,99,0.11204291,-21.276989,2000.0,0.100216866
0.47,10100.0,0.8436933,-15.936171,0.55,0.20431396,100,0.11210806,-12.972384,2020.0,0.10010278
0.38,10200.0,0.8436699,-20.258509,0.5,0.20432697,101,0.11219191,-19.480534,2040.0,0.10002824
0.42,10300.0,0.84366757,-18.745201,0.55,0.20435056,102,0.11235732,-18.917734,2060.0,0.099994875
0.43,10400.0,0.8437287,-17.971956,0.45,0.2043274,103,0.11246144,-16.979908,2080.0,0.09986552
0.48,10500.0,0.8436734,-17.958685,0.5,0.20437688,104,0.11261084,-14.253046,2100.0,0.09979793
0.49,10600.0,0.8436299,-15.618348,0.35,0.2043852,105,0.11270054,-23.825699,2120.0,0.09978345
0.43,10700.0,0.8435965,-18.898438,0.55,0.20435862,106,0.112825096,-16.601072,2140.0,0.09970508
0.35,10800.0,0.8436113,-22.141973,0.5,0.20437199,107,0.11288762,-16.218586,2160.0,0.099711835
0.47,10900.0,0.84359115,-18.661629,0.4,0.20443062,108,0.11311946,-23.59349,2180.0,0.09970098
0.5,11000.0,0.84361434,-17.10642,0.55,0.20442627,109,0.11313118,-20.432552,2200.0,0.0995959
0.43,11100.0,0.8436211,-17.708014,0.4,0.20444418,110,0.1132463,-16.469685,2220.0,0.09959027
0.35,11200.0,0.84363645,-20.81318,0.5,0.20445547,111,0.11333009,-20.268124,2240.0,0.09961224
0.46,11300.0,0.8436832,-18.910467,0.6,0.20446053,112,0.113392554,-14.468402,2260.0,0.099562705
0.44,11400.0,0.84372115,-17.840961,0.55,0.20445526,113,0.11349484,-18.909115,2280.0,0.0994964
