epoch,test/mean_Q,train/success_rate,test/success_rate,stats_o/std,stats_o/mean,test/episode,stats_g/mean,train/episode,stats_g/std,train/mean_Q
56,-25.222862,0.09,0.1,0.068338275,0.20111331,1140.0,0.8378024,5700.0,0.0767063,-27.879566
57,-29.859211,0.12,0.0,0.06856563,0.201146,1160.0,0.8378317,5800.0,0.07663157,-28.74687
58,-28.709194,0.09,0.15,0.06851905,0.20110826,1180.0,0.8377695,5900.0,0.07656305,-29.01703
59,-26.826303,0.06,0.05,0.06828022,0.20113252,1200.0,0.8377935,6000.0,0.076475315,-30.930944
60,-32.631657,0.12,0.05,0.068416424,0.2011939,1220.0,0.8378865,6100.0,0.07644292,-27.513472
61,-26.870495,0.07,0.15,0.06842311,0.20124722,1240.0,0.8380213,6200.0,0.076535106,-32.01742
62,-27.254705,0.1,0.05,0.06835148,0.20122051,1260.0,0.8379014,6300.0,0.07647823,-28.535711
63,-30.082922,0.12,0.05,0.068587594,0.20119736,1280.0,0.8378659,6400.0,0.07645302,-27.24911
64,-29.503647,0.06,0.1,0.06895749,0.20116882,1300.0,0.8378306,6500.0,0.07654868,-31.720346
65,-32.98702,0.1,0.05,0.06926026,0.2011364,1320.0,0.8378342,6600.0,0.07649296,-29.404913
66,-30.587805,0.1,0.1,0.0692243,0.20113727,1340.0,0.8377135,6700.0,0.07649461,-29.843721
67,-30.037563,0.12,0.05,0.06953238,0.20112155,1360.0,0.8377343,6800.0,0.07660483,-27.79968
68,-30.383326,0.13,0.15,0.07013295,0.20110899,1380.0,0.8376887,6900.0,0.07668091,-29.00424
69,-29.81572,0.13,0.15,0.070637934,0.20110132,1400.0,0.8376505,7000.0,0.07666994,-28.432722
70,-32.518494,0.16,0.05,0.07125483,0.20112371,1420.0,0.8376005,7100.0,0.0770546,-27.23334
71,-26.127691,0.13,0.0,0.07169889,0.20111145,1440.0,0.8375459,7200.0,0.077314675,-25.419693
72,-26.245594,0.12,0.2,0.072130464,0.20109499,1460.0,0.83757997,7300.0,0.07746971,-26.36247
