stats_g/std,epoch,stats_g/mean,train/success_rate,train/mean_Q,test/episode,train/episode,stats_o/mean,test/mean_Q,test/success_rate,stats_o/std
0.09708595,49,0.84545565,0.06,-27.20546,1000.0,5000.0,0.2031601,-32.373516,0.0,0.078274705
0.09699484,50,0.8454292,0.06,-25.476198,1020.0,5100.0,0.20317693,-26.181637,0.1,0.07845629
0.09686824,51,0.84534067,0.08,-23.934088,1040.0,5200.0,0.20317562,-30.27161,0.05,0.078459576
0.09674207,52,0.8453757,0.02,-25.53291,1060.0,5300.0,0.2031957,-29.706259,0.0,0.07837178
0.09671134,53,0.84530336,0.11,-23.062454,1080.0,5400.0,0.20315115,-23.272654,0.15,0.07875016
0.09686264,54,0.8452201,0.05,-25.850998,1100.0,5500.0,0.20311955,-28.712662,0.05,0.07910819
0.09679171,55,0.8452699,0.05,-25.21029,1120.0,5600.0,0.20307793,-25.208605,0.1,0.079504944
0.09670656,56,0.8452788,0.04,-25.663895,1140.0,5700.0,0.20308372,-26.855753,0.0,0.07957049
0.09672455,57,0.8452728,0.06,-26.557512,1160.0,5800.0,0.20308691,-26.380108,0.05,0.07979334
0.09666734,58,0.8453072,0.09,-23.205774,1180.0,5900.0,0.20306933,-22.438025,0.1,0.07996797
0.0966267,59,0.84525126,0.06,-23.972061,1200.0,6000.0,0.20305537,-23.164274,0.2,0.08017302
0.096506834,60,0.84517574,0.05,-24.316973,1220.0,6100.0,0.20301262,-21.151981,0.1,0.08045401
0.09639156,61,0.8451457,0.05,-23.929672,1240.0,6200.0,0.20297281,-27.92802,0.05,0.080643654
0.09648589,62,0.8451521,0.07,-26.376337,1260.0,6300.0,0.2029956,-22.958538,0.0,0.080865175
0.096455984,63,0.8451023,0.09,-22.725292,1280.0,6400.0,0.20301458,-23.611591,0.1,0.08113463
0.09648203,64,0.8450527,0.09,-24.533936,1300.0,6500.0,0.20306289,-19.590122,0.15,0.08163647
0.097185165,65,0.8450198,0.05,-25.713661,1320.0,6600.0,0.20299844,-23.16018,0.05,0.08248578
0.097281545,66,0.84503084,0.1,-24.64309,1340.0,6700.0,0.20304476,-25.533949,0.05,0.083036795
0.097328275,67,0.84496045,0.12,-23.363848,1360.0,6800.0,0.2030508,-26.260782,0.2,0.083657295
0.097453505,68,0.84494907,0.14,-23.1645,1380.0,6900.0,0.20307519,-24.258951,0.05,0.08401908
0.097428314,69,0.84499115,0.15,-23.700167,1400.0,7000.0,0.2030673,-21.179974,0.3,0.08443772
0.09738102,70,0.84502816,0.08,-21.641157,1420.0,7100.0,0.20310271,-27.040497,0.1,0.08458826
0.09765976,71,0.8450954,0.14,-25.05259,1440.0,7200.0,0.2031741,-18.115536,0.3,0.085294485
0.09771222,72,0.8450485,0.1,-25.331078,1460.0,7300.0,0.20314156,-19.470577,0.35,0.085627906
0.09767443,73,0.84504104,0.12,-24.574617,1480.0,7400.0,0.20321643,-18.69216,0.2,0.086078756
0.0976566,74,0.8450384,0.15,-22.452581,1500.0,7500.0,0.20320815,-17.364698,0.15,0.08664132
0.097763754,75,0.84492636,0.17,-22.461338,1520.0,7600.0,0.20324144,-22.06103,0.2,0.087253354
0.09795862,76,0.8449443,0.13,-22.79848,1540.0,7700.0,0.20327668,-20.882751,0.2,0.08798572
0.09789508,77,0.84492636,0.18,-22.66293,1560.0,7800.0,0.20322809,-21.047537,0.3,0.08831373
0.09784391,78,0.8448806,0.22,-20.344887,1580.0,7900.0,0.20319584,-24.533344,0.25,0.08866601
0.09797119,79,0.84485906,0.2,-23.906006,1600.0,8000.0,0.20312315,-19.207972,0.4,0.08911686
0.09792488,80,0.84485126,0.18,-22.481773,1620.0,8100.0,0.20308933,-18.909515,0.3,0.089287594
0.09788439,81,0.84491426,0.17,-23.057001,1640.0,8200.0,0.20313442,-22.770958,0.25,0.08975387
0.09791303,82,0.84491897,0.22,-20.570183,1660.0,8300.0,0.20312798,-15.612152,0.4,0.090261005
0.098055996,83,0.84495956,0.24,-21.108068,1680.0,8400.0,0.20313452,-20.365833,0.25,0.09067434
0.098204665,84,0.8449888,0.17,-24.655146,1700.0,8500.0,0.20316868,-20.605633,0.4,0.09080195
0.0981699,85,0.8449421,0.18,-20.689768,1720.0,8600.0,0.20314203,-21.470465,0.25,0.090934895
0.09814102,86,0.8449714,0.2,-20.700058,1740.0,8700.0,0.20316578,-16.906805,0.4,0.091257
0.09823191,87,0.84491736,0.2,-23.725271,1760.0,8800.0,0.20313917,-19.05103,0.4,0.091820955
0.09819287,88,0.84491605,0.17,-24.836302,1780.0,8900.0,0.20311926,-19.597738,0.25,0.09214482
0.098350964,89,0.8449182,0.14,-24.064054,1800.0,9000.0,0.2031572,-21.905996,0.3,0.09247733
0.09847321,90,0.8449526,0.22,-21.990784,1820.0,9100.0,0.20321378,-22.181583,0.2,0.092806876
0.0985213,91,0.8450231,0.25,-20.044588,1840.0,9200.0,0.20324582,-20.38415,0.25,0.09337884
0.0986374,92,0.8449945,0.18,-21.802675,1860.0,9300.0,0.2033113,-27.502079,0.2,0.09394563
0.098724745,93,0.8450094,0.22,-19.36829,1880.0,9400.0,0.20336062,-21.537144,0.25,0.094417915
0.09879284,94,0.8449533,0.23,-23.587656,1900.0,9500.0,0.20332897,-21.207855,0.3,0.09468008
0.09875967,95,0.8449776,0.22,-20.029385,1920.0,9600.0,0.20336355,-14.087738,0.45,0.09496955
0.098791234,96,0.84498996,0.19,-21.072685,1940.0,9700.0,0.20331766,-14.201881,0.3,0.095396735
0.09877852,97,0.8450408,0.19,-21.139761,1960.0,9800.0,0.20332241,-20.931723,0.25,0.095752805
0.09884441,98,0.84509706,0.21,-19.139538,1980.0,9900.0,0.20333542,-18.020222,0.15,0.09603309
0.09882349,99,0.8451233,0.26,-17.351093,2000.0,10000.0,0.20332412,-21.26137,0.15,0.096395165
0.0990383,100,0.8450504,0.26,-17.820017,2020.0,10100.0,0.20331106,-15.978612,0.3,0.09693714
0.09911253,101,0.84497625,0.15,-21.34046,2040.0,10200.0,0.20331068,-18.724379,0.35,0.09728418
0.09933734,102,0.8449666,0.25,-18.497042,2060.0,10300.0,0.20329678,-18.766909,0.45,0.09766725
0.09926487,103,0.84503347,0.26,-17.949944,2080.0,10400.0,0.20333694,-18.900915,0.25,0.09788858
0.09933754,104,0.84500575,0.26,-18.25832,2100.0,10500.0,0.203303,-12.182411,0.5,0.09841268
0.09940233,105,0.8449313,0.41,-15.898839,2120.0,10600.0,0.20334055,-17.588833,0.25,0.09877359
0.09934294,106,0.8449097,0.32,-18.075937,2140.0,10700.0,0.20332502,-15.041484,0.3,0.099139616
0.09939066,107,0.84491664,0.26,-19.70521,2160.0,10800.0,0.20334072,-19.359394,0.3,0.09940104
0.09948931,108,0.8448536,0.33,-18.082575,2180.0,10900.0,0.20334564,-23.205906,0.2,0.09979703
0.09957715,109,0.84481955,0.31,-17.456614,2200.0,11000.0,0.20332786,-16.368343,0.45,0.10019584
0.09948497,110,0.84484667,0.31,-17.365246,2220.0,11100.0,0.20334537,-15.531,0.35,0.10050167
0.09946525,111,0.84485793,0.31,-18.9567,2240.0,11200.0,0.20331503,-21.05859,0.4,0.1007011
0.0995123,112,0.84481907,0.3,-18.34203,2260.0,11300.0,0.20329803,-15.333676,0.25,0.10099454
0.09952262,113,0.844851,0.27,-18.520515,2280.0,11400.0,0.203347,-16.741322,0.45,0.101304635
0.09960777,114,0.8448377,0.32,-18.21407,2300.0,11500.0,0.20338917,-21.629879,0.25,0.101449355
0.0996426,115,0.8448451,0.23,-18.283035,2320.0,11600.0,0.20340075,-18.14412,0.35,0.101876624
0.09975981,116,0.84487945,0.31,-18.446978,2340.0,11700.0,0.20341817,-19.383362,0.3,0.102321595
0.099795245,117,0.84489936,0.31,-16.546917,2360.0,11800.0,0.20339467,-17.626379,0.45,0.102597065
0.099748634,118,0.8449611,0.2,-17.765028,2380.0,11900.0,0.20342377,-16.559986,0.5,0.10306532
0.099884905,119,0.8449599,0.26,-19.551964,2400.0,12000.0,0.20340306,-15.179135,0.4,0.10333275
0.09983873,120,0.8449843,0.3,-20.356184,2420.0,12100.0,0.20337516,-18.51287,0.3,0.10347193
0.09984083,121,0.84504,0.25,-21.407017,2440.0,12200.0,0.2033765,-10.547292,0.6,0.103729114
0.099779196,122,0.8450141,0.3,-18.792734,2460.0,12300.0,0.2033896,-11.452596,0.5,0.10394615
0.099813245,123,0.84505194,0.33,-18.11221,2480.0,12400.0,0.20340563,-12.186418,0.45,0.10415882
0.09982916,124,0.8450913,0.3,-19.696503,2500.0,12500.0,0.2034111,-17.977419,0.45,0.104327336
0.099918075,125,0.8450996,0.3,-18.859543,2520.0,12600.0,0.20340885,-18.544847,0.3,0.10456176
0.099967815,126,0.84511644,0.34,-19.975096,2540.0,12700.0,0.20338386,-17.889774,0.3,0.1047805
0.10002593,127,0.84513575,0.25,-21.41199,2560.0,12800.0,0.20338152,-14.543109,0.6,0.10490119
0.099978484,128,0.8451025,0.29,-19.502193,2580.0,12900.0,0.20337193,-22.142132,0.3,0.105007485
0.09999601,129,0.8450902,0.32,-19.45085,2600.0,13000.0,0.20339441,-18.547516,0.4,0.10517536
0.10000182,130,0.8450424,0.35,-18.610493,2620.0,13100.0,0.20338167,-16.419987,0.5,0.10534499
0.09994281,131,0.8450698,0.37,-18.236984,2640.0,13200.0,0.20335509,-14.774483,0.55,0.10548511
0.099964805,132,0.84509325,0.35,-20.239073,2660.0,13300.0,0.20339204,-17.540485,0.45,0.10562818
0.09996947,133,0.84509635,0.27,-20.858326,2680.0,13400.0,0.20336749,-19.553461,0.5,0.10586872
0.09993861,134,0.84517574,0.42,-18.636229,2700.0,13500.0,0.20338263,-21.407583,0.25,0.10606664
0.099961944,135,0.8451653,0.39,-19.259819,2720.0,13600.0,0.2033944,-18.22479,0.5,0.106375225
0.09995363,136,0.8451484,0.36,-20.520567,2740.0,13700.0,0.20341803,-15.473697,0.6,0.10656618
0.099937774,137,0.8451535,0.42,-19.393265,2760.0,13800.0,0.20340502,-24.67758,0.3,0.106729746
0.09991759,138,0.8451683,0.41,-20.70716,2780.0,13900.0,0.20335484,-12.575663,0.6,0.106809765
0.09987258,139,0.8451486,0.44,-19.040096,2800.0,14000.0,0.20334469,-10.509644,0.65,0.10709381
0.09987872,140,0.84515166,0.46,-18.472982,2820.0,14100.0,0.2033543,-15.650228,0.55,0.107179254
0.09985841,141,0.8451133,0.33,-22.064531,2840.0,14200.0,0.20333508,-17.133228,0.55,0.1072588
0.09983557,142,0.84512955,0.35,-21.679502,2860.0,14300.0,0.2033299,-28.255611,0.25,0.107398584
0.09989154,143,0.8451341,0.39,-21.472736,2880.0,14400.0,0.20332174,-22.107891,0.5,0.107536584
0.09985524,144,0.84516954,0.39,-20.88996,2900.0,14500.0,0.20331259,-13.856534,0.6,0.10767491
0.09988171,145,0.84516096,0.34,-21.90896,2920.0,14600.0,0.20330209,-15.628431,0.65,0.10780054
0.099861674,146,0.84516764,0.45,-18.210882,2940.0,14700.0,0.20327675,-24.211674,0.3,0.10810419
0.099853486,147,0.84521216,0.35,-22.429487,2960.0,14800.0,0.20326076,-27.70116,0.3,0.1082451
0.09980076,148,0.84521,0.39,-21.65142,2980.0,14900.0,0.20323202,-22.293726,0.4,0.10841025
0.09982947,149,0.8451607,0.48,-18.971626,3000.0,15000.0,0.20322052,-23.130514,0.35,0.10847964
0.099845074,150,0.84518737,0.43,-22.961563,3020.0,15100.0,0.20320919,-18.71545,0.5,0.108536646
0.09986619,151,0.84520197,0.41,-20.602886,3040.0,15200.0,0.20317988,-22.431847,0.35,0.108562954
0.0998484,152,0.845208,0.33,-23.400475,3060.0,15300.0,0.20318167,-14.432455,0.6,0.10857731
0.09992841,153,0.8451779,0.33,-24.052317,3080.0,15400.0,0.20318821,-22.427471,0.5,0.10863285
0.09995993,154,0.8451769,0.41,-21.987236,3100.0,15500.0,0.20316714,-18.394896,0.55,0.108666
0.099900484,155,0.8451867,0.5,-21.105495,3120.0,15600.0,0.20318812,-16.292887,0.55,0.10877072
0.099873334,156,0.84522265,0.41,-22.262112,3140.0,15700.0,0.20318504,-14.684847,0.6,0.108808994
0.099868454,157,0.8452165,0.42,-20.862488,3160.0,15800.0,0.20314282,-15.663867,0.65,0.10896595
0.099819265,158,0.84522444,0.29,-27.868242,3180.0,15900.0,0.20317146,-16.936102,0.65,0.108983
0.099813946,159,0.8452299,0.33,-24.668867,3200.0,16000.0,0.20319054,-28.230885,0.4,0.10904612
0.099812515,160,0.84520435,0.41,-21.908045,3220.0,16100.0,0.20320016,-23.040524,0.45,0.10915484
0.099843584,161,0.84516436,0.39,-25.191954,3240.0,16200.0,0.20316675,-15.635394,0.6,0.109086625
0.099826455,162,0.84517556,0.43,-21.509045,3260.0,16300.0,0.20315675,-23.888721,0.45,0.109224685
0.099786915,163,0.84517616,0.42,-22.01919,3280.0,16400.0,0.20315248,-13.009888,0.7,0.109218694
0.09972604,164,0.84514976,0.43,-20.81855,3300.0,16500.0,0.20313112,-29.137365,0.35,0.10930923
0.099689305,165,0.8451516,0.49,-21.155283,3320.0,16600.0,0.20313597,-18.597336,0.4,0.10941094
0.099704064,166,0.84516495,0.31,-24.252579,3340.0,16700.0,0.20312396,-24.55289,0.4,0.10945669
0.0997298,167,0.84522635,0.35,-25.201347,3360.0,16800.0,0.20316745,-23.008312,0.4,0.109514385
0.09970746,168,0.8452397,0.43,-21.098238,3380.0,16900.0,0.20318751,-12.830336,0.65,0.10963712
0.09968462,169,0.8452492,0.43,-21.855873,3400.0,17000.0,0.20319597,-21.301527,0.5,0.10971853
0.099696256,170,0.84522265,0.32,-26.778688,3420.0,17100.0,0.20317148,-27.793802,0.3,0.109812975
0.09965855,171,0.84521365,0.39,-22.72624,3440.0,17200.0,0.20317164,-19.12836,0.55,0.1099018
0.0996392,172,0.8452149,0.44,-21.322233,3460.0,17300.0,0.20317747,-26.171509,0.4,0.10996956
0.09964692,173,0.84524053,0.4,-21.210423,3480.0,17400.0,0.20317465,-12.304685,0.7,0.1099923
0.099693716,174,0.84521943,0.4,-21.68559,3500.0,17500.0,0.20314644,-23.093925,0.4,0.110105604
0.09976059,175,0.8452471,0.44,-21.398762,3520.0,17600.0,0.20316122,-12.608422,0.75,0.110250294
0.09974549,176,0.84527797,0.43,-21.357498,3540.0,17700.0,0.20317861,-20.767786,0.45,0.11031254
0.09976846,177,0.8452749,0.41,-21.363276,3560.0,17800.0,0.20315722,-15.2361555,0.6,0.11042049
0.09983522,178,0.8452638,0.43,-21.62825,3580.0,17900.0,0.20314632,-20.455135,0.45,0.11044244
0.09979422,179,0.8452882,0.53,-18.231932,3600.0,18000.0,0.20313707,-19.358112,0.55,0.110489845
0.09977808,180,0.8453061,0.42,-21.428955,3620.0,18100.0,0.20314968,-13.688417,0.7,0.11060062
0.0997759,181,0.84532076,0.47,-21.679846,3640.0,18200.0,0.20313817,-20.784428,0.5,0.11066424
0.09985351,182,0.8452875,0.45,-19.956184,3660.0,18300.0,0.20315294,-16.327715,0.6,0.11075468
0.09983471,183,0.84527427,0.57,-17.469698,3680.0,18400.0,0.20314372,-17.67709,0.6,0.110766195
0.09977635,184,0.84526056,0.46,-19.662018,3700.0,18500.0,0.20313415,-20.369038,0.5,0.11089707
0.09973148,185,0.84526706,0.44,-20.704308,3720.0,18600.0,0.20313603,-22.273975,0.45,0.110882044
0.09971741,186,0.8452874,0.47,-21.133234,3740.0,18700.0,0.20313163,-13.868422,0.6,0.11082762
0.099721074,187,0.84527,0.48,-18.76758,3760.0,18800.0,0.20313026,-19.401289,0.5,0.11082792
0.099706925,188,0.845304,0.43,-22.168354,3780.0,18900.0,0.2031571,-26.575174,0.3,0.110819004
0.09971833,189,0.84530705,0.34,-25.042933,3800.0,19000.0,0.20311634,-20.446432,0.45,0.110789
0.099693485,190,0.8453234,0.5,-18.419746,3820.0,19100.0,0.203143,-26.690235,0.35,0.110869
0.09965304,191,0.8453533,0.49,-19.700525,3840.0,19200.0,0.20315608,-14.467323,0.7,0.110842295
0.09962472,192,0.8453631,0.46,-21.338799,3860.0,19300.0,0.20317452,-16.166553,0.65,0.110810235
0.099673204,193,0.84533125,0.5,-20.898335,3880.0,19400.0,0.20314121,-16.862713,0.6,0.11086373
0.09967039,194,0.8453727,0.48,-19.477415,3900.0,19500.0,0.20315203,-16.734299,0.65,0.11088324
0.09963104,195,0.8453934,0.46,-19.254705,3920.0,19600.0,0.20314412,-24.187586,0.45,0.1108633
0.099605344,196,0.8454092,0.45,-21.05943,3940.0,19700.0,0.20317087,-16.161938,0.65,0.110906385
0.099625744,197,0.84540296,0.42,-22.38874,3960.0,19800.0,0.20318274,-10.747628,0.75,0.11095467
0.099616945,198,0.8454265,0.55,-18.635557,3980.0,19900.0,0.20317537,-24.289156,0.45,0.110985115
0.0995996,199,0.8454321,0.5,-20.675774,4000.0,20000.0,0.20317616,-21.608414,0.5,0.111002296
