stats_g/mean,test/success_rate,stats_o/std,epoch,stats_g/std,stats_o/mean,train/mean_Q,train/success_rate,test/episode,train/episode,test/mean_Q
0.83932996,0.8,0.09100482,56,0.080323674,0.20225312,-4.5775714,0.66,1140.0,5700.0,-3.2414868
0.8394232,0.7,0.091711,57,0.080228515,0.20226975,-4.815775,0.77,1160.0,5800.0,-4.2388067
0.8393643,0.95,0.09215863,58,0.07998034,0.2021628,-3.8924105,0.86,1180.0,5900.0,-2.576131
0.8393076,0.95,0.092662096,59,0.079743475,0.2020919,-4.0087047,0.8,1200.0,6000.0,-1.7245739
0.8393741,0.9,0.093224436,60,0.07996368,0.20211658,-4.7494144,0.71,1220.0,6100.0,-3.028709
0.8394645,0.9,0.09376099,61,0.079772286,0.2020381,-4.270675,0.76,1240.0,6200.0,-1.8549684
0.83938235,1.0,0.09427503,62,0.07961064,0.20201513,-3.870091,0.79,1260.0,6300.0,-1.9788945
0.839246,0.85,0.09485011,63,0.07957036,0.20197746,-3.649527,0.81,1280.0,6400.0,-2.6054282
0.8392086,0.95,0.09529683,64,0.079481274,0.20193698,-3.9995258,0.81,1300.0,6500.0,-1.8760965
0.8392491,0.95,0.095849864,65,0.07943474,0.20192568,-4.0504327,0.77,1320.0,6600.0,-1.8666693
0.839215,0.95,0.096339405,66,0.079308264,0.20193258,-3.3711812,0.82,1340.0,6700.0,-1.8042915
0.83922434,1.0,0.09644269,67,0.07913944,0.20200343,-2.863169,0.9,1360.0,6800.0,-2.142517
0.83916956,0.9,0.09674805,68,0.079005145,0.20202307,-3.1436844,0.86,1380.0,6900.0,-2.0900686
0.8391749,1.0,0.0970745,69,0.07880453,0.20201321,-3.167724,0.85,1400.0,7000.0,-1.9714069
0.8391557,0.9,0.09750621,70,0.07865974,0.20197175,-3.3424354,0.83,1420.0,7100.0,-3.234954
0.83910066,0.95,0.09781017,71,0.07853771,0.201931,-3.0557618,0.83,1440.0,7200.0,-2.2655396
0.83911544,1.0,0.09828073,72,0.07843717,0.20205173,-2.9136705,0.89,1460.0,7300.0,-1.5229183
0.8391157,0.95,0.09843154,73,0.078357495,0.20207664,-3.139495,0.9,1480.0,7400.0,-1.588631
0.8391051,0.9,0.098528415,74,0.07820413,0.20209475,-2.6587143,0.92,1500.0,7500.0,-1.908632
0.8390768,1.0,0.098923266,75,0.078058064,0.20212144,-2.7552047,0.91,1520.0,7600.0,-1.3180307
0.8391157,1.0,0.09912381,76,0.078262776,0.2021134,-3.357737,0.94,1540.0,7700.0,-1.647245
0.83909273,1.0,0.099384874,77,0.078131445,0.20211504,-2.430939,0.92,1560.0,7800.0,-1.8336573
0.83911616,0.85,0.099770136,78,0.078101516,0.20212051,-2.9530783,0.85,1580.0,7900.0,-4.0215607
0.8390699,0.95,0.10012462,79,0.07800279,0.20213406,-2.9890592,0.89,1600.0,8000.0,-1.845568
0.83906835,0.95,0.10037479,80,0.07795566,0.20213677,-2.899813,0.92,1620.0,8100.0,-1.5758893
0.8390853,1.0,0.1005651,81,0.07784464,0.20213528,-2.6050675,0.92,1640.0,8200.0,-1.4701453
0.83911043,0.9,0.10077647,82,0.07770279,0.2021332,-2.373378,0.91,1660.0,8300.0,-1.7523683
0.8391335,0.95,0.10085801,83,0.07765103,0.20212945,-2.7565045,0.89,1680.0,8400.0,-1.5145371
0.8391517,1.0,0.10098491,84,0.07752072,0.20210691,-2.5394738,0.9,1700.0,8500.0,-1.3477697
0.8391557,0.95,0.101286076,85,0.07745998,0.20210716,-2.7557473,0.92,1720.0,8600.0,-1.2488917
0.8391802,0.95,0.1014941,86,0.07731986,0.20202889,-2.386402,0.89,1740.0,8700.0,-1.9913902
0.8391566,1.0,0.10184878,87,0.077542074,0.20200996,-3.397284,0.89,1760.0,8800.0,-1.4306284
0.83917207,1.0,0.10218047,88,0.07743148,0.20200479,-2.5850036,0.9,1780.0,8900.0,-1.5637515
0.83916694,0.9,0.102343604,89,0.07738695,0.20202635,-2.6151168,0.89,1800.0,9000.0,-1.7875984
0.8391629,0.95,0.102365054,90,0.07727029,0.20198694,-2.2432396,0.92,1820.0,9100.0,-1.6507889
0.83915234,0.95,0.10269537,91,0.07730967,0.20200212,-3.0543213,0.95,1840.0,9200.0,-1.6335713
0.8391552,0.95,0.10289605,92,0.077334136,0.2019859,-2.6142828,0.92,1860.0,9300.0,-1.3908201
0.8391368,1.0,0.10300224,93,0.07738923,0.20196034,-2.892117,0.89,1880.0,9400.0,-1.1745405
0.8390873,1.0,0.10308273,94,0.077318035,0.20197076,-2.406051,0.92,1900.0,9500.0,-0.9456035
0.83900934,0.95,0.103267506,95,0.077304654,0.20196533,-2.5653493,0.89,1920.0,9600.0,-1.2968514
0.83900523,1.0,0.103519775,96,0.07714785,0.2020294,-2.266666,0.91,1940.0,9700.0,-1.5134532
0.8389804,0.95,0.10367025,97,0.07720914,0.20194781,-2.5158753,0.93,1960.0,9800.0,-1.6298516
0.8389959,1.0,0.10374799,98,0.077213936,0.2019767,-2.5364223,0.92,1980.0,9900.0,-1.3354468
0.8389943,1.0,0.103868306,99,0.077182814,0.20197748,-2.480548,0.94,2000.0,10000.0,-1.0560179
0.83901113,1.0,0.10393321,100,0.07704744,0.20196153,-2.1694841,0.93,2020.0,10100.0,-1.0567143
0.83896893,1.0,0.10406091,101,0.076926164,0.20196259,-2.0699077,0.89,2040.0,10200.0,-1.2153404
0.8389652,1.0,0.1042476,102,0.07678177,0.20197636,-2.3474472,0.94,2060.0,10300.0,-1.648996
0.8390166,1.0,0.10424218,103,0.076687634,0.20204312,-2.385729,0.95,2080.0,10400.0,-1.3263211
0.83904666,1.0,0.104513906,104,0.07665295,0.20202543,-2.613946,0.93,2100.0,10500.0,-1.3096414
0.8390433,1.0,0.10448075,105,0.07654409,0.20202966,-2.249307,0.92,2120.0,10600.0,-1.1051532
