test/success_rate,stats_g/mean,test/mean_Q,train/success_rate,train/episode,train/mean_Q,test/episode,epoch,stats_g/std,stats_o/mean,stats_o/std
0.1,0.78385955,-23.54432,0.1,5700.0,-24.28844,1140.0,56,0.15845053,0.1860949,0.09457635
0.15,0.7843471,-20.635185,0.09,5800.0,-24.41387,1160.0,57,0.15825535,0.18622112,0.09442803
0.2,0.78475183,-16.42902,0.14,5900.0,-23.723726,1180.0,58,0.15793554,0.18636665,0.0943846
0.1,0.7850469,-26.428646,0.2,6000.0,-24.32321,1200.0,59,0.15780358,0.1864439,0.09437802
0.25,0.7854865,-19.89071,0.1,6100.0,-25.717869,1220.0,60,0.1576642,0.18648827,0.09431206
0.6,0.7858334,-16.478708,0.08,6200.0,-26.039772,1240.0,61,0.15744412,0.18654253,0.0942239
0.4,0.7863126,-22.363804,0.09,6300.0,-27.240114,1260.0,62,0.15752038,0.18660885,0.09430927
0.15,0.78675985,-21.519434,0.18,6400.0,-24.828314,1280.0,63,0.15729271,0.18669954,0.09420125
0.55,0.78730506,-12.314756,0.11,6500.0,-25.708096,1300.0,64,0.15710472,0.18678004,0.09411482
0.2,0.78763944,-17.304094,0.16,6600.0,-25.979126,1320.0,65,0.15702997,0.18686256,0.09410975
0.15,0.78792477,-21.811699,0.17,6700.0,-25.098883,1340.0,66,0.15700231,0.18696815,0.094257824
0.2,0.7882407,-19.457333,0.15,6800.0,-26.1122,1360.0,67,0.15703005,0.18704706,0.09417605
0.4,0.78857964,-16.301575,0.13,6900.0,-27.055473,1380.0,68,0.15701619,0.187077,0.094155654
0.45,0.78896374,-14.896802,0.13,7000.0,-25.063177,1400.0,69,0.15688357,0.18714458,0.09412727
0.25,0.7891164,-17.015797,0.15,7100.0,-25.427187,1420.0,70,0.15673313,0.18722616,0.09410772
0.25,0.78952026,-17.013788,0.17,7200.0,-24.879183,1440.0,71,0.1567957,0.18730925,0.09422494
