test/episode,test/mean_Q,test/success_rate,stats_o/mean,train/success_rate,train/mean_Q,epoch,stats_g/std,stats_o/std,train/episode,stats_g/mean
1140.0,-20.201267,0.15,0.18246405,0.08,-21.929155,56,0.12062528,0.082016185,5700.0,0.7522958
1160.0,-21.64489,0.05,0.18245487,0.06,-21.407581,57,0.12084157,0.082049936,5800.0,0.7523847
1180.0,-18.138409,0.2,0.18246052,0.06,-22.777935,58,0.121014535,0.08223554,5900.0,0.7523906
1200.0,-19.610304,0.15,0.18252638,0.06,-23.229456,59,0.12114801,0.082467526,6000.0,0.75253844
1220.0,-17.18269,0.25,0.18252867,0.1,-22.881348,60,0.12152627,0.08277099,6100.0,0.75258523
1240.0,-21.995325,0.05,0.18254782,0.11,-21.64704,61,0.12153419,0.08283219,6200.0,0.7527065
1260.0,-22.273846,0.05,0.1826732,0.14,-21.901217,62,0.12142247,0.08277713,6300.0,0.75290424
1280.0,-20.228045,0.1,0.18273422,0.06,-23.513681,63,0.121359445,0.082760274,6400.0,0.7530673
1300.0,-17.004206,0.25,0.18278885,0.06,-24.450031,64,0.12141711,0.08298161,6500.0,0.75325614
1320.0,-18.59898,0.2,0.18281949,0.07,-25.271137,65,0.12156426,0.08297866,6600.0,0.7534452
1340.0,-20.387629,0.15,0.18291248,0.09,-24.82278,66,0.12154034,0.08295813,6700.0,0.7536072
1360.0,-19.397762,0.2,0.1830466,0.1,-23.789757,67,0.121542834,0.08308918,6800.0,0.7537777
1380.0,-17.806164,0.05,0.18313287,0.05,-25.444155,68,0.121567406,0.08315519,6900.0,0.7539754
1400.0,-18.680334,0.3,0.18320635,0.11,-23.61159,69,0.121554576,0.08354429,7000.0,0.7541609
1420.0,-21.046774,0.2,0.1832052,0.15,-23.84401,70,0.12156713,0.08353056,7100.0,0.75417525
1440.0,-23.719324,0.15,0.18330675,0.16,-24.131485,71,0.12162751,0.0837216,7200.0,0.7543526
1460.0,-19.060846,0.3,0.1834331,0.16,-24.484201,72,0.12162391,0.08384299,7300.0,0.7546401
1480.0,-15.839354,0.3,0.18355075,0.16,-22.869661,73,0.12154875,0.08380712,7400.0,0.7547071
1500.0,-14.788297,0.3,0.18369718,0.09,-25.498144,74,0.12159345,0.0838252,7500.0,0.7549513
1520.0,-21.053867,0.2,0.18375991,0.11,-23.979282,75,0.121686645,0.083920546,7600.0,0.75501674
1540.0,-18.49223,0.1,0.18385635,0.15,-25.603384,76,0.12171761,0.08389565,7700.0,0.7552581
1560.0,-20.587841,0.3,0.18398224,0.12,-25.09115,77,0.12168064,0.0838643,7800.0,0.75537753
1580.0,-19.356522,0.3,0.18407543,0.08,-26.545176,78,0.12172829,0.08397788,7900.0,0.7555642
1600.0,-17.839436,0.4,0.18417424,0.15,-25.720554,79,0.121776916,0.08407796,8000.0,0.75572157
1620.0,-20.556656,0.3,0.18429951,0.05,-25.794378,80,0.121783346,0.08409753,8100.0,0.7559316
1640.0,-21.369167,0.25,0.18448246,0.13,-25.907663,81,0.12179082,0.084241636,8200.0,0.75613904
1660.0,-22.504866,0.3,0.18457215,0.18,-25.063393,82,0.12178727,0.084278196,8300.0,0.75633353
1680.0,-19.925816,0.2,0.1846674,0.07,-26.71138,83,0.12179127,0.08436591,8400.0,0.7564638
1700.0,-17.071096,0.45,0.18475273,0.16,-25.204365,84,0.12173421,0.08426442,8500.0,0.7565916
1720.0,-15.666684,0.45,0.18486828,0.17,-25.249382,85,0.121702194,0.084212445,8600.0,0.75676185
1740.0,-21.925108,0.3,0.18498647,0.17,-27.222988,86,0.12171695,0.08429617,8700.0,0.7569299
1760.0,-15.535414,0.5,0.18511647,0.15,-26.327919,87,0.1217737,0.084416114,8800.0,0.75704646
1780.0,-17.545883,0.3,0.18524101,0.16,-26.01557,88,0.12175051,0.0844471,8900.0,0.75721955
1800.0,-17.555685,0.55,0.18537529,0.11,-27.305017,89,0.12176874,0.084620565,9000.0,0.7574013
1820.0,-17.276754,0.3,0.18550593,0.09,-28.047405,90,0.12177628,0.0847057,9100.0,0.757577
1840.0,-17.88195,0.4,0.18556365,0.15,-26.77578,91,0.121752344,0.08467284,9200.0,0.7575705
1860.0,-21.448494,0.35,0.18573733,0.15,-27.61776,92,0.121731706,0.08465846,9300.0,0.7577868
1880.0,-20.660063,0.2,0.1858406,0.09,-27.7278,93,0.12177562,0.08474005,9400.0,0.7578911
1900.0,-19.473108,0.35,0.18594114,0.16,-25.979603,94,0.121798344,0.08488954,9500.0,0.75799054
1920.0,-22.597254,0.25,0.18600817,0.12,-26.124273,95,0.121749915,0.0848236,9600.0,0.75802785
1940.0,-20.121603,0.2,0.18610887,0.09,-26.663322,96,0.12170065,0.08480063,9700.0,0.7580579
1960.0,-14.465991,0.65,0.18614021,0.28,-20.888968,97,0.121598095,0.084849045,9800.0,0.75807863
1980.0,-21.551365,0.35,0.18617114,0.1,-24.644093,98,0.12151366,0.08485825,9900.0,0.75807816
2000.0,-15.796741,0.55,0.18625608,0.07,-27.151428,99,0.121498965,0.0849987,10000.0,0.75808805
2020.0,-16.597502,0.55,0.18632859,0.14,-25.188206,100,0.12155956,0.085258186,10100.0,0.758128
2040.0,-20.101278,0.35,0.18638867,0.14,-24.808628,101,0.12157655,0.08541815,10200.0,0.758137
2060.0,-15.930288,0.55,0.18644337,0.2,-22.3991,102,0.121554144,0.08558549,10300.0,0.75819653
2080.0,-17.626318,0.45,0.18651807,0.1,-26.461218,103,0.12167264,0.08572712,10400.0,0.7582827
2100.0,-18.85036,0.4,0.18655662,0.13,-24.108742,104,0.12166033,0.085867204,10500.0,0.7582744
2120.0,-17.642765,0.4,0.18663059,0.17,-24.281017,105,0.121724725,0.08609808,10600.0,0.7583155
2140.0,-15.585095,0.55,0.18668224,0.08,-23.83477,106,0.12175023,0.08622598,10700.0,0.75840807
2160.0,-15.768793,0.5,0.18670309,0.09,-22.691772,107,0.12179741,0.0864716,10800.0,0.7583966
2180.0,-14.211841,0.4,0.18669835,0.11,-21.01809,108,0.12172409,0.08649121,10900.0,0.75842744
2200.0,-15.680153,0.15,0.18668912,0.14,-21.535908,109,0.12166227,0.08652559,11000.0,0.758432
2220.0,-19.899324,0.25,0.18663827,0.09,-22.440672,110,0.12165579,0.08660261,11100.0,0.7583365
2240.0,-17.30848,0.3,0.18665032,0.02,-23.334114,111,0.121639766,0.086763866,11200.0,0.7583807
2260.0,-14.59038,0.4,0.18660825,0.12,-21.295666,112,0.12162495,0.08672874,11300.0,0.7583094
2280.0,-17.789108,0.25,0.18657665,0.08,-23.031488,113,0.12164364,0.08673527,11400.0,0.7582023
2300.0,-16.233326,0.35,0.18661389,0.07,-26.27949,114,0.121652395,0.086745694,11500.0,0.7582237
2320.0,-16.141176,0.35,0.18663093,0.12,-23.844465,115,0.12167331,0.086858146,11600.0,0.7581964
2340.0,-15.486092,0.45,0.18661779,0.08,-24.887337,116,0.12171257,0.08708375,11700.0,0.7581336
2360.0,-16.098846,0.4,0.18660906,0.08,-25.134872,117,0.12169055,0.08712581,11800.0,0.7581127
2380.0,-14.905545,0.6,0.18655717,0.08,-26.096804,118,0.121759176,0.08713113,11900.0,0.7580398
2400.0,-19.196032,0.25,0.18651307,0.18,-24.475025,119,0.12191599,0.087342955,12000.0,0.75800127
2420.0,-15.325758,0.5,0.18650955,0.15,-25.221848,120,0.12196991,0.08740962,12100.0,0.75806284
2440.0,-13.606122,0.55,0.18651134,0.06,-26.831432,121,0.12203333,0.08757165,12200.0,0.75805146
2460.0,-20.450325,0.25,0.18654163,0.09,-26.76348,122,0.12209692,0.08775061,12300.0,0.7580714
2480.0,-21.183727,0.2,0.18654265,0.11,-27.467829,123,0.12221036,0.08784175,12400.0,0.75808436
2500.0,-15.428853,0.65,0.18656315,0.17,-26.641747,124,0.12220791,0.087797426,12500.0,0.7581498
2520.0,-20.633842,0.45,0.18657106,0.13,-26.480076,125,0.122241996,0.08775643,12600.0,0.75814253
2540.0,-20.428694,0.3,0.18656518,0.18,-26.489616,126,0.122293144,0.0877921,12700.0,0.75811535
2560.0,-21.099524,0.2,0.1866365,0.23,-25.993048,127,0.122342475,0.0878189,12800.0,0.75822085
2580.0,-16.612186,0.45,0.18666907,0.12,-27.532183,128,0.12235839,0.08797321,12900.0,0.75824785
2600.0,-18.106943,0.8,0.18667097,0.17,-25.853228,129,0.12231528,0.08791225,13000.0,0.758213
2620.0,-21.261225,0.25,0.1866823,0.12,-27.824461,130,0.12231208,0.087937385,13100.0,0.7582318
2640.0,-23.081127,0.25,0.18669733,0.16,-27.972034,131,0.122292005,0.08792657,13200.0,0.7582438
2660.0,-17.353245,0.4,0.18671955,0.16,-28.314049,132,0.12231334,0.08805029,13300.0,0.75826806
2680.0,-16.498775,0.4,0.18673125,0.09,-29.7219,133,0.122366376,0.088139236,13400.0,0.7583073
2700.0,-16.993914,0.45,0.18674558,0.13,-27.223845,134,0.1223442,0.08810868,13500.0,0.75828695
2720.0,-19.00967,0.35,0.18678793,0.1,-28.52719,135,0.122402996,0.08816861,13600.0,0.7583878
2740.0,-17.337105,0.4,0.18678848,0.15,-28.274952,136,0.12240354,0.08829696,13700.0,0.7583781
2760.0,-16.34506,0.4,0.18680994,0.24,-25.981638,137,0.12237727,0.08827548,13800.0,0.75839657
2780.0,-21.223318,0.3,0.18682717,0.11,-29.479328,138,0.122388594,0.088319235,13900.0,0.7584226
2800.0,-16.034742,0.45,0.18685612,0.2,-27.953466,139,0.122363895,0.08829604,14000.0,0.7584873
2820.0,-16.543638,0.45,0.18687576,0.09,-31.014734,140,0.122425586,0.08837857,14100.0,0.7585309
2840.0,-17.531918,0.4,0.18688467,0.14,-28.879028,141,0.12243741,0.0884039,14200.0,0.7585483
2860.0,-18.066326,0.4,0.18692087,0.1,-29.370031,142,0.12242701,0.08845561,14300.0,0.7585787
2880.0,-19.153717,0.35,0.18692672,0.14,-27.69266,143,0.12245878,0.08848346,14400.0,0.7585853
2900.0,-17.60894,0.25,0.18692024,0.14,-28.580654,144,0.12250474,0.08870906,14500.0,0.75861627
2920.0,-19.767294,0.4,0.1869088,0.15,-27.608234,145,0.12250948,0.08873072,14600.0,0.75858426
2940.0,-18.007038,0.3,0.18692736,0.14,-29.051346,146,0.12253512,0.088743106,14700.0,0.7586024
2960.0,-18.7612,0.4,0.18697287,0.13,-27.718227,147,0.12253651,0.08876702,14800.0,0.7586867
2980.0,-18.601463,0.3,0.1869709,0.12,-27.214012,148,0.12259955,0.08885865,14900.0,0.7586667
3000.0,-18.59874,0.35,0.18698387,0.14,-26.993511,149,0.12258165,0.08880616,15000.0,0.7587059
3020.0,-17.113085,0.5,0.18698534,0.13,-27.12328,150,0.12257174,0.08887126,15100.0,0.7587769
3040.0,-23.874702,0.1,0.18698224,0.08,-28.705835,151,0.12267537,0.08895574,15200.0,0.7587428
3060.0,-20.613718,0.3,0.18698624,0.1,-29.490557,152,0.12274263,0.08909499,15300.0,0.75870466
3080.0,-20.194128,0.25,0.1869773,0.11,-29.368755,153,0.122777134,0.08930069,15400.0,0.7587182
3100.0,-16.926804,0.45,0.18699163,0.12,-27.153685,154,0.122796915,0.089334294,15500.0,0.75870657
3120.0,-15.118192,0.55,0.18703642,0.15,-28.555052,155,0.12278996,0.08934331,15600.0,0.75878924
3140.0,-21.544659,0.15,0.18708241,0.05,-29.635822,156,0.12280917,0.089525156,15700.0,0.7588441
3160.0,-19.644299,0.25,0.18705586,0.09,-28.009592,157,0.12277993,0.08958474,15800.0,0.75878763
3180.0,-12.668805,0.55,0.18704462,0.09,-28.52941,158,0.12274932,0.08959048,15900.0,0.7587412
3200.0,-19.063723,0.35,0.18704623,0.14,-30.497637,159,0.12278562,0.08965043,16000.0,0.758755
3220.0,-18.47057,0.35,0.18703166,0.08,-30.674034,160,0.122885786,0.08970933,16100.0,0.75874287
3240.0,-18.984947,0.45,0.18702322,0.14,-29.545471,161,0.122923486,0.08975022,16200.0,0.7587238
3260.0,-18.931261,0.25,0.1870379,0.14,-28.813501,162,0.12300545,0.089872316,16300.0,0.7587712
3280.0,-18.229786,0.4,0.18702942,0.16,-28.621466,163,0.12300033,0.089900054,16400.0,0.7587564
3300.0,-22.097727,0.4,0.18704538,0.09,-30.864475,164,0.123075016,0.09004968,16500.0,0.7587308
3320.0,-19.494358,0.3,0.18706572,0.09,-28.686054,165,0.12308514,0.09013925,16600.0,0.75874466
3340.0,-15.595935,0.4,0.18705854,0.22,-27.1662,166,0.123101324,0.09018537,16700.0,0.7586996
3360.0,-20.491251,0.2,0.18709025,0.17,-29.696068,167,0.12318634,0.0902749,16800.0,0.7587359
3380.0,-19.96393,0.35,0.18709873,0.17,-27.100252,168,0.12315383,0.090367384,16900.0,0.75877374
3400.0,-23.339836,0.3,0.18711655,0.14,-27.559168,169,0.123175144,0.09040867,17000.0,0.7587938
3420.0,-15.205211,0.35,0.1871379,0.12,-29.078245,170,0.12320981,0.090512715,17100.0,0.75882715
3440.0,-18.657658,0.25,0.18717696,0.16,-25.716436,171,0.12322607,0.0905519,17200.0,0.75886244
3460.0,-19.581089,0.35,0.18719007,0.09,-28.49035,172,0.123332225,0.090804435,17300.0,0.7588683
3480.0,-15.615751,0.45,0.18720289,0.09,-29.735596,173,0.12337173,0.09096929,17400.0,0.75888044
3500.0,-18.033468,0.3,0.1871805,0.09,-28.496948,174,0.12342616,0.0910493,17500.0,0.75885457
3520.0,-17.496178,0.35,0.18715717,0.12,-26.709343,175,0.123470515,0.0911527,17600.0,0.7588804
3540.0,-15.619661,0.35,0.1871507,0.15,-26.269434,176,0.123473026,0.09129054,17700.0,0.75888056
3560.0,-17.67774,0.25,0.1871602,0.12,-27.348875,177,0.123509444,0.09127693,17800.0,0.7588699
3580.0,-21.465748,0.3,0.18715341,0.1,-29.05738,178,0.123634994,0.09154788,17900.0,0.7589074
3600.0,-20.052591,0.3,0.18715683,0.09,-27.795147,179,0.12363752,0.09156478,18000.0,0.7589089
3620.0,-17.016006,0.4,0.18717454,0.15,-27.581793,180,0.123656064,0.09158996,18100.0,0.75892323
3640.0,-22.163141,0.15,0.18718453,0.09,-30.539473,181,0.123698235,0.091733076,18200.0,0.7589361
3660.0,-17.387335,0.4,0.18720435,0.14,-28.305359,182,0.12379379,0.09183713,18300.0,0.7589796
3680.0,-17.886509,0.35,0.18720695,0.12,-26.99308,183,0.12383005,0.09190862,18400.0,0.7589713
3700.0,-20.53586,0.35,0.1872008,0.17,-28.8822,184,0.12388601,0.092111155,18500.0,0.7589528
3720.0,-19.764675,0.35,0.18720502,0.16,-29.53274,185,0.123935014,0.09217439,18600.0,0.7589662
3740.0,-18.527716,0.3,0.18722379,0.1,-31.138742,186,0.123999916,0.0922412,18700.0,0.7589869
3760.0,-24.213469,0.25,0.1872474,0.21,-29.078728,187,0.12399102,0.09222834,18800.0,0.7590466
3780.0,-19.75906,0.4,0.18727778,0.09,-29.912651,188,0.12396687,0.09225446,18900.0,0.7591069
3800.0,-17.217045,0.45,0.18728676,0.1,-29.671972,189,0.12394572,0.09219915,19000.0,0.7591297
3820.0,-17.101833,0.35,0.18729365,0.2,-26.732515,190,0.12391315,0.09221087,19100.0,0.7590981
3840.0,-19.622837,0.3,0.18730485,0.13,-28.086472,191,0.123911835,0.09232646,19200.0,0.7591186
3860.0,-16.048788,0.6,0.18729728,0.14,-28.94757,192,0.12389145,0.092409484,19300.0,0.75910896
3880.0,-20.10302,0.3,0.18728201,0.15,-28.42191,193,0.123888426,0.092561305,19400.0,0.759121
3900.0,-17.486284,0.4,0.18729931,0.13,-30.465425,194,0.12391624,0.092712015,19500.0,0.7591687
3920.0,-19.181091,0.4,0.18731125,0.16,-28.617624,195,0.12391955,0.09267926,19600.0,0.7591908
3940.0,-16.052967,0.6,0.18732952,0.15,-28.307407,196,0.12393331,0.0926999,19700.0,0.7591807
3960.0,-18.379766,0.4,0.18735313,0.1,-31.533213,197,0.123997,0.09283079,19800.0,0.75917214
3980.0,-13.1672945,0.55,0.18738179,0.22,-27.752014,198,0.12395627,0.0928697,19900.0,0.75921583
4000.0,-17.929892,0.4,0.18739475,0.16,-27.1506,199,0.12397811,0.09295566,20000.0,0.75923824
