stats_o/mean,test/episode,test/success_rate,test/mean_Q,stats_g/mean,train/episode,epoch,train/mean_Q,train/success_rate,stats_g/std,stats_o/std
0.2009845,1140.0,0.1,-18.453922,1.7328769,5700.0,56,-18.864065,0.07,0.8610704,0.08737628
0.20101227,1160.0,0.0,-20.6507,1.7430464,5800.0,57,-19.316866,0.11,0.8597088,0.08754426
0.2010133,1180.0,0.15,-16.788414,1.7529057,5900.0,58,-20.904182,0.06,0.8582883,0.087522805
0.20104331,1200.0,0.0,-19.817593,1.7624979,6000.0,59,-23.391104,0.05,0.85680413,0.08759215
0.20105621,1220.0,0.05,-22.430897,1.7713938,6100.0,60,-21.44324,0.09,0.8552942,0.0874393
0.20109038,1240.0,0.05,-20.688477,1.780096,6200.0,61,-22.845922,0.04,0.8537326,0.08725404
0.20107126,1260.0,0.05,-21.189602,1.7886249,6300.0,62,-24.711933,0.06,0.85212106,0.086964235
0.20104273,1280.0,0.0,-24.487347,1.7968702,6400.0,63,-24.924616,0.08,0.8504842,0.08674417
0.20105772,1300.0,0.1,-26.926844,1.804917,6500.0,64,-27.828157,0.03,0.84880495,0.08653321
0.20105982,1320.0,0.0,-26.928753,1.8127123,6600.0,65,-25.744898,0.07,0.8470984,0.08629283
0.20104913,1340.0,0.05,-23.561062,1.8203773,6700.0,66,-24.739483,0.07,0.8453498,0.08613011
0.20106502,1360.0,0.0,-25.687336,1.8273921,6800.0,67,-26.927029,0.09,0.84366703,0.085946806
0.20107283,1380.0,0.15,-22.05555,1.8343263,6900.0,68,-26.585152,0.06,0.8419468,0.0857621
0.2010844,1400.0,0.05,-24.68922,1.8411525,7000.0,69,-25.225697,0.09,0.8401951,0.08562894
0.20107009,1420.0,0.05,-24.076694,1.8479286,7100.0,70,-23.6352,0.09,0.83840793,0.08543966
0.20107187,1440.0,0.0,-27.476727,1.8544315,7200.0,71,-23.132387,0.11,0.8366349,0.08519806
0.2010948,1460.0,0.05,-25.353825,1.8608271,7300.0,72,-25.777386,0.08,0.8348344,0.08502793
0.20109229,1480.0,0.1,-24.726086,1.8669475,7400.0,73,-26.531052,0.07,0.83306026,0.084830135
0.20108517,1500.0,0.05,-23.767134,1.8728242,7500.0,74,-25.366955,0.06,0.8313112,0.084604174
0.20110013,1520.0,0.15,-26.66618,1.8785738,7600.0,75,-26.90367,0.07,0.82956094,0.08432753
0.2010857,1540.0,0.1,-26.383823,1.8843595,7700.0,76,-26.490164,0.06,0.8277569,0.08402324
0.20107515,1560.0,0.0,-27.821987,1.8898277,7800.0,77,-26.574575,0.09,0.8260048,0.08375253
0.20110232,1580.0,0.0,-29.529423,1.8951936,7900.0,78,-27.3855,0.08,0.82424957,0.08355172
0.20110811,1600.0,0.0,-27.326498,1.9004892,8000.0,79,-28.22125,0.07,0.8224814,0.08336749
0.20109019,1620.0,0.0,-31.415874,1.9057827,8100.0,80,-27.195518,0.06,0.82068175,0.08315484
