train/success_rate,epoch,test/mean_Q,stats_o/mean,test/success_rate,stats_g/std,stats_g/mean,train/mean_Q,test/episode,stats_o/std,train/episode
0.65,56,-4.888276,0.20123245,0.75,0.09521628,0.8374245,-7.4150143,1140.0,0.095026106,5700.0
0.68,57,-6.8864317,0.20145737,0.6,0.095111735,0.8375916,-7.601789,1160.0,0.095546335,5800.0
0.73,58,-5.6113534,0.20137754,0.75,0.09483061,0.8376186,-6.232465,1180.0,0.09584424,5900.0
0.7,59,-3.4116921,0.20145245,0.8,0.09457791,0.83750206,-6.880024,1200.0,0.09623998,6000.0
0.73,60,-5.6722407,0.20148787,0.7,0.09438709,0.8375806,-6.120669,1220.0,0.09647072,6100.0
0.8,61,-2.96462,0.201506,0.9,0.094190836,0.83771497,-6.278318,1240.0,0.09665042,6200.0
0.74,62,-2.7810137,0.20155185,1.0,0.09402164,0.83768845,-5.601839,1260.0,0.096809514,6300.0
0.83,63,-2.9961543,0.20152014,0.95,0.09383146,0.83764476,-5.356696,1280.0,0.09684068,6400.0
0.77,64,-2.6275258,0.201624,0.95,0.09364668,0.8376796,-5.68775,1300.0,0.09682111,6500.0
0.73,65,-2.7100606,0.20162435,0.95,0.09338053,0.83771163,-5.0960865,1320.0,0.0967928,6600.0
0.77,66,-2.8233528,0.20155868,0.8,0.09320301,0.83767605,-5.5646935,1340.0,0.09693241,6700.0
0.83,67,-3.054927,0.20160656,1.0,0.09304202,0.8377011,-4.8046803,1360.0,0.09700931,6800.0
0.8,68,-4.786132,0.20161527,0.7,0.092797756,0.8377142,-4.9689455,1380.0,0.097113736,6900.0
0.84,69,-2.9072063,0.20166583,0.95,0.0925873,0.83772546,-5.025828,1400.0,0.09729375,7000.0
0.81,70,-2.689952,0.20168209,1.0,0.09235513,0.8377579,-4.6567593,1420.0,0.09742362,7100.0
0.8,71,-3.3489957,0.20173591,0.9,0.09213057,0.83776695,-4.5463476,1440.0,0.0975434,7200.0
0.86,72,-1.9805384,0.20178314,1.0,0.09196714,0.8378341,-4.4601994,1460.0,0.09763644,7300.0
0.92,73,-1.9223493,0.20181371,1.0,0.09173248,0.83789754,-3.7521431,1480.0,0.09780032,7400.0
0.87,74,-3.6061451,0.2017846,0.9,0.09162786,0.83789724,-4.4331703,1500.0,0.097838834,7500.0
0.9,75,-1.7646329,0.20179307,1.0,0.09150851,0.83788675,-4.4280796,1520.0,0.09805226,7600.0
0.92,76,-3.6265094,0.20177877,0.8,0.091289796,0.8379019,-3.7278047,1540.0,0.09820184,7700.0
0.91,77,-3.6487586,0.20184866,0.95,0.09108213,0.837941,-3.376052,1560.0,0.098335,7800.0
0.85,78,-2.329596,0.2019236,1.0,0.090882055,0.8380389,-3.5320199,1580.0,0.09845506,7900.0
0.89,79,-1.55908,0.20192611,1.0,0.09067563,0.8380293,-3.8097715,1600.0,0.09868816,8000.0
0.87,80,-1.5655639,0.20192535,1.0,0.09051815,0.8380794,-3.733719,1620.0,0.098641165,8100.0
0.89,81,-1.8505284,0.20197949,1.0,0.09034123,0.8380931,-3.5331347,1640.0,0.09876605,8200.0
0.9,82,-2.4608066,0.20202625,0.95,0.09017261,0.838108,-3.4590478,1660.0,0.09899531,8300.0
0.86,83,-4.588356,0.20207618,0.9,0.09008203,0.8381562,-4.3711762,1680.0,0.09931529,8400.0
0.86,84,-3.0591893,0.20209068,0.9,0.08998734,0.8381677,-4.1975656,1700.0,0.09946996,8500.0
0.87,85,-1.8654503,0.20211744,1.0,0.089830466,0.83816594,-3.7613604,1720.0,0.09966752,8600.0
0.91,86,-3.6117306,0.20215422,0.9,0.089655705,0.838195,-3.1823864,1740.0,0.09972486,8700.0
0.88,87,-2.232041,0.20210716,1.0,0.08973191,0.83826303,-4.9946203,1760.0,0.100111224,8800.0
0.87,88,-1.574527,0.20211254,1.0,0.08970476,0.83829993,-4.3239245,1780.0,0.10031727,8900.0
0.93,89,-1.8102682,0.20211478,1.0,0.08956779,0.8382917,-3.3733044,1800.0,0.100374706,9000.0
0.86,90,-1.7232068,0.20217937,1.0,0.08942937,0.8383251,-3.5902755,1820.0,0.100539654,9100.0
0.88,91,-2.099658,0.20216937,1.0,0.08925132,0.8383233,-3.6538973,1840.0,0.10072688,9200.0
0.87,92,-1.5232366,0.20222478,1.0,0.08928289,0.8383251,-4.056519,1860.0,0.10090628,9300.0
