epoch,test/success_rate,stats_o/std,train/success_rate,stats_o/mean,stats_g/mean,stats_g/std,train/mean_Q,train/episode,test/mean_Q,test/episode
56,0.45,0.10460393,0.27,0.20387465,0.84156746,0.10276732,-19.034222,5700.0,-17.53098,1140.0
57,0.3,0.10532191,0.23,0.20390522,0.8414819,0.102864034,-19.161797,5800.0,-22.605259,1160.0
58,0.65,0.10596203,0.27,0.20384361,0.84144145,0.10308963,-18.91325,5900.0,-14.0327,1180.0
59,0.45,0.10649119,0.39,0.2038782,0.84147185,0.10331487,-16.716108,6000.0,-15.698344,1200.0
60,0.6,0.10689809,0.34,0.20386812,0.8414585,0.103250004,-18.627623,6100.0,-14.065775,1220.0
61,0.35,0.107229255,0.32,0.20384748,0.84150475,0.10308043,-19.165194,6200.0,-20.37558,1240.0
62,0.35,0.10743205,0.36,0.20386668,0.84162194,0.10292105,-21.000883,6300.0,-10.739119,1260.0
63,0.5,0.10798277,0.41,0.20389734,0.8416422,0.10286736,-16.480133,6400.0,-15.231671,1280.0
64,0.6,0.10838301,0.32,0.20392552,0.8416278,0.10290956,-19.346773,6500.0,-13.22686,1300.0
65,0.6,0.10853048,0.36,0.20393257,0.84165007,0.10272965,-19.762749,6600.0,-14.761642,1320.0
66,0.45,0.108901404,0.32,0.20395468,0.84181887,0.10262439,-18.44157,6700.0,-19.72138,1340.0
67,0.35,0.10904786,0.39,0.20393161,0.8418289,0.10262657,-18.377289,6800.0,-22.238523,1360.0
68,0.35,0.10939564,0.37,0.20387268,0.84179014,0.10245716,-18.365883,6900.0,-21.334373,1380.0
69,0.4,0.10959568,0.35,0.20385571,0.84187335,0.10254121,-20.080399,7000.0,-17.712688,1400.0
70,0.4,0.11005989,0.32,0.20384507,0.84192854,0.10234594,-18.415104,7100.0,-25.86586,1420.0
71,0.55,0.110188305,0.36,0.20391786,0.8419409,0.10253602,-21.263227,7200.0,-12.4770565,1440.0
72,0.6,0.11031158,0.32,0.20388834,0.8420103,0.10246882,-21.449364,7300.0,-14.879831,1460.0
73,0.6,0.11076961,0.34,0.20387764,0.8420355,0.1026194,-20.5822,7400.0,-15.445246,1480.0
74,0.65,0.11102779,0.38,0.20386128,0.8419979,0.10279525,-18.941591,7500.0,-11.945055,1500.0
75,0.55,0.111280605,0.38,0.20389415,0.8420734,0.102888525,-18.407238,7600.0,-15.955954,1520.0
76,0.4,0.11146913,0.43,0.20399462,0.84204763,0.102884226,-17.761955,7700.0,-20.686682,1540.0
77,0.65,0.11187603,0.4,0.20394947,0.84198254,0.1028898,-19.147556,7800.0,-13.582266,1560.0
78,0.45,0.1121071,0.39,0.20395155,0.84185404,0.10281701,-17.148865,7900.0,-22.655258,1580.0
79,0.5,0.11231115,0.37,0.20395479,0.84184605,0.10273877,-19.972664,8000.0,-17.28874,1600.0
80,0.65,0.112535894,0.4,0.20394467,0.8417897,0.10290799,-19.237717,8100.0,-12.13563,1620.0
81,0.5,0.112496756,0.43,0.20395803,0.8418601,0.102808006,-19.80566,8200.0,-18.030384,1640.0
82,0.75,0.112676784,0.38,0.20396648,0.841887,0.10267627,-16.62472,8300.0,-10.19464,1660.0
83,0.5,0.11308565,0.48,0.20401329,0.8419377,0.10283226,-17.739004,8400.0,-16.998022,1680.0
84,0.5,0.1130461,0.38,0.2040181,0.84204865,0.10279736,-21.128628,8500.0,-17.465368,1700.0
85,0.5,0.11326683,0.37,0.2040003,0.8419566,0.10282391,-18.192242,8600.0,-17.630457,1720.0
86,0.65,0.11340271,0.48,0.20397009,0.8419443,0.10276488,-17.444464,8700.0,-14.995178,1740.0
87,0.7,0.11351361,0.4,0.20397238,0.84187937,0.10257357,-19.522839,8800.0,-12.985997,1760.0
88,0.6,0.113695934,0.4,0.2039282,0.84180015,0.10255947,-21.196331,8900.0,-15.199969,1780.0
89,0.35,0.11392504,0.39,0.20400059,0.8416812,0.102701634,-20.654268,9000.0,-19.304325,1800.0
90,0.5,0.11414292,0.33,0.20401219,0.84160805,0.10285696,-19.341223,9100.0,-19.831596,1820.0
91,0.5,0.11443203,0.46,0.20401083,0.84165925,0.10280037,-15.582905,9200.0,-16.938732,1840.0
