test/episode,train/mean_Q,stats_o/mean,test/success_rate,stats_g/mean,epoch,train/episode,stats_o/std,stats_g/std,test/mean_Q,train/success_rate
1140.0,-7.5713196,0.20131163,0.65,0.8393397,56,5700.0,0.087227084,0.08250165,-6.1782403,0.55
1160.0,-8.48522,0.20144528,0.65,0.8393657,57,5800.0,0.08851311,0.08265787,-5.404748,0.53
1180.0,-7.5047626,0.20134304,0.8,0.8392264,58,5900.0,0.089792244,0.082760684,-4.4096823,0.59
1200.0,-7.677741,0.20135745,0.8,0.83908874,59,6000.0,0.09091248,0.08275795,-3.4836533,0.54
1220.0,-6.6223536,0.20132928,0.75,0.83911794,60,6100.0,0.0918922,0.08292273,-5.272349,0.55
1240.0,-6.645268,0.20148326,0.75,0.83917624,61,6200.0,0.092811376,0.08301885,-5.0112343,0.6
1260.0,-6.6683006,0.20151839,0.75,0.8391476,62,6300.0,0.0936753,0.08296654,-3.2944977,0.58
1280.0,-5.176908,0.20152223,0.9,0.8390897,63,6400.0,0.09432721,0.08289819,-3.5371947,0.74
1300.0,-5.5147448,0.20143475,0.8,0.83904546,64,6500.0,0.09521243,0.08278618,-3.6629913,0.73
1320.0,-6.0979576,0.20158234,0.85,0.83902216,65,6600.0,0.096254915,0.0827609,-3.968309,0.68
1340.0,-5.5888405,0.20147446,0.95,0.83903366,66,6700.0,0.097034045,0.08257001,-2.9394126,0.6
1360.0,-5.578735,0.2014143,0.85,0.83904153,67,6800.0,0.09777209,0.08269412,-3.4119575,0.7
1380.0,-4.5831547,0.20146756,0.85,0.83902645,68,6900.0,0.09846089,0.08250662,-3.2337196,0.75
1400.0,-4.442177,0.20143822,0.9,0.83903664,69,7000.0,0.09903726,0.08254028,-2.4718986,0.74
1420.0,-5.0130205,0.20134652,0.85,0.8389847,70,7100.0,0.09964881,0.082619324,-3.1483397,0.8
1440.0,-3.9814646,0.20134994,0.9,0.8389886,71,7200.0,0.10053244,0.08252359,-2.4228492,0.79
1460.0,-3.6974201,0.20137197,0.85,0.839017,72,7300.0,0.10103681,0.082374275,-2.4104004,0.83
1480.0,-4.062412,0.20136473,0.95,0.8390172,73,7400.0,0.10173375,0.08238708,-1.6633816,0.81
1500.0,-3.6078665,0.20134477,0.85,0.8389984,74,7500.0,0.1021099,0.08221086,-2.3789918,0.81
1520.0,-3.825891,0.20127119,1.0,0.8389549,75,7600.0,0.10256014,0.08228223,-1.7580273,0.79
1540.0,-2.903919,0.20123893,1.0,0.838955,76,7700.0,0.10274195,0.08209518,-1.6978174,0.9
1560.0,-3.2131314,0.20119803,1.0,0.8389799,77,7800.0,0.103069715,0.08191233,-1.8946435,0.86
1580.0,-2.7915049,0.20131177,1.0,0.83900183,78,7900.0,0.10357079,0.08171652,-2.0734746,0.88
1600.0,-3.3380857,0.20130378,1.0,0.8389593,79,8000.0,0.103996575,0.08163529,-1.642099,0.82
1620.0,-3.0285602,0.20135789,0.95,0.8389717,80,8100.0,0.10436388,0.08149665,-1.9497681,0.89
1640.0,-3.310012,0.20138377,0.95,0.83901787,81,8200.0,0.10455602,0.08156844,-1.4376869,0.86
1660.0,-3.0752866,0.20140879,0.95,0.8390601,82,8300.0,0.104813024,0.0815643,-2.383592,0.85
1680.0,-3.7163177,0.2014784,1.0,0.8390983,83,8400.0,0.10525153,0.08169418,-1.4103484,0.82
1700.0,-3.0981488,0.20152026,1.0,0.8391299,84,8500.0,0.10545268,0.08167353,-1.5874016,0.89
1720.0,-2.6763985,0.20151138,0.95,0.83915186,85,8600.0,0.1059465,0.08153423,-1.3982875,0.9
1740.0,-2.5804627,0.201535,1.0,0.83917564,86,8700.0,0.10625533,0.08137209,-1.0452194,0.87
1760.0,-3.0090802,0.20153084,1.0,0.83921415,87,8800.0,0.10651412,0.08122984,-1.4902256,0.87
1780.0,-2.6988983,0.20154716,1.0,0.8392317,88,8900.0,0.10685026,0.08117045,-1.2860663,0.86
1800.0,-2.5624857,0.20158368,0.95,0.839227,89,9000.0,0.10697422,0.0810001,-1.5830063,0.91
1820.0,-2.6170347,0.2016329,0.95,0.8392344,90,9100.0,0.107263066,0.08087128,-1.7228806,0.89
1840.0,-2.927933,0.20159481,1.0,0.8392324,91,9200.0,0.107599124,0.080719516,-1.7185955,0.93
1860.0,-2.9263797,0.20160551,1.0,0.83924484,92,9300.0,0.10790335,0.080724925,-1.2318494,0.92
1880.0,-2.5338316,0.20168939,1.0,0.8392651,93,9400.0,0.107924566,0.0805914,-1.4732269,0.96
1900.0,-3.0097053,0.20164892,0.95,0.8392233,94,9500.0,0.10809783,0.08061762,-1.2448398,0.91
1920.0,-2.7804954,0.20169604,1.0,0.83918065,95,9600.0,0.10849803,0.080636434,-1.1688485,0.88
1940.0,-2.8372233,0.2016973,1.0,0.8391951,96,9700.0,0.108632594,0.08055658,-1.4223506,0.91
1960.0,-2.3638613,0.20174517,1.0,0.83919144,97,9800.0,0.108728,0.080559984,-1.7640947,0.89
1980.0,-2.312244,0.20172352,0.95,0.8392039,98,9900.0,0.10895634,0.08046419,-1.8447316,0.95
2000.0,-2.2576087,0.20175436,1.0,0.8392063,99,10000.0,0.10902572,0.08033434,-1.2535826,0.94
2020.0,-2.4015462,0.2017297,1.0,0.83924437,100,10100.0,0.10927899,0.080254436,-1.360401,0.96
2040.0,-2.3278704,0.20179848,1.0,0.8391947,101,10200.0,0.10945583,0.080198474,-1.3606327,0.88
2060.0,-2.2338314,0.20183177,1.0,0.839216,102,10300.0,0.10972402,0.08004073,-1.3591052,0.92
2080.0,-3.1121795,0.20184042,1.0,0.8392501,103,10400.0,0.11000404,0.08013829,-1.2519244,0.91
2100.0,-2.7087739,0.2018195,1.0,0.83928853,104,10500.0,0.11027459,0.08014345,-1.3866568,0.94
2120.0,-2.7915719,0.20187481,1.0,0.8392721,105,10600.0,0.11038927,0.08014233,-0.9815849,0.91
2140.0,-2.7462695,0.2018478,1.0,0.8391978,106,10700.0,0.11063229,0.08016619,-1.3164248,0.94
2160.0,-2.3664145,0.20190364,1.0,0.83922124,107,10800.0,0.11075545,0.08004425,-1.2025218,0.96
2180.0,-2.5164092,0.20192376,0.9,0.8391643,108,10900.0,0.1108434,0.08002782,-1.8568293,0.94
2200.0,-2.3473282,0.20196037,1.0,0.8391984,109,11000.0,0.1110187,0.07990706,-1.5928075,0.9
2220.0,-2.269866,0.20196646,1.0,0.8392133,110,11100.0,0.11112035,0.07977997,-1.2621979,0.96
2240.0,-2.4693437,0.20198481,1.0,0.83921224,111,11200.0,0.11131164,0.07969291,-1.2256596,0.89
2260.0,-2.0056853,0.20194858,1.0,0.839205,112,11300.0,0.111376435,0.07958288,-0.87672055,0.94
2280.0,-2.3139627,0.20200111,1.0,0.8391418,113,11400.0,0.111688785,0.07950308,-1.1178938,0.93
2300.0,-2.1308506,0.2019881,0.95,0.83914423,114,11500.0,0.11173348,0.079413,-2.2516527,0.9
2320.0,-2.176672,0.20202018,1.0,0.83914834,115,11600.0,0.111933276,0.0792964,-1.3427919,0.95
2340.0,-2.3434079,0.20204887,1.0,0.8391145,116,11700.0,0.11213762,0.079195715,-1.2170532,0.95
2360.0,-1.9371595,0.20202324,1.0,0.8390488,117,11800.0,0.11226159,0.079085864,-1.1792568,0.98
2380.0,-2.8007157,0.20202917,1.0,0.8390152,118,11900.0,0.1124712,0.079065196,-1.0251048,0.91
2400.0,-2.3471282,0.20202985,1.0,0.8389897,119,12000.0,0.11258368,0.07900321,-1.0862974,0.91
2420.0,-2.2505486,0.20204468,0.95,0.8389533,120,12100.0,0.11280574,0.07888889,-1.7700818,0.98
2440.0,-2.423761,0.20205311,0.95,0.8389452,121,12200.0,0.11297339,0.07881228,-1.212789,0.93
2460.0,-2.1669657,0.20202845,1.0,0.83890957,122,12300.0,0.11313668,0.078833096,-1.0846254,0.92
2480.0,-2.3940914,0.20204419,1.0,0.8389604,123,12400.0,0.1132417,0.07887702,-1.3145397,0.97
2500.0,-2.1700182,0.20205382,1.0,0.8389775,124,12500.0,0.113289155,0.078775994,-1.0913239,0.93
2520.0,-2.5915084,0.20205356,1.0,0.83894825,125,12600.0,0.11346345,0.07869514,-0.9935528,0.92
2540.0,-2.601127,0.20206839,1.0,0.83891326,126,12700.0,0.11363342,0.07868814,-1.3629671,0.95
2560.0,-2.5459118,0.20205791,0.95,0.8388831,127,12800.0,0.113709785,0.07868078,-1.6410143,0.91
2580.0,-2.7510908,0.20202488,1.0,0.8388891,128,12900.0,0.11387517,0.07870478,-1.1094439,0.87
2600.0,-2.1607027,0.20203102,1.0,0.83885837,129,13000.0,0.11396205,0.07865799,-0.8752983,0.99
2620.0,-2.646553,0.20203552,0.9,0.8388732,130,13100.0,0.11409293,0.07868255,-4.5255957,0.88
2640.0,-2.0668685,0.2020601,1.0,0.8388385,131,13200.0,0.11420161,0.07858194,-0.8636152,0.98
2660.0,-2.112205,0.20205545,1.0,0.8388074,132,13300.0,0.1142028,0.078494124,-0.9285377,0.94
2680.0,-2.3365278,0.20207494,1.0,0.8388291,133,13400.0,0.11433365,0.0784814,-1.0776467,0.93
2700.0,-2.2185163,0.20207228,0.95,0.838825,134,13500.0,0.11436801,0.07842874,-2.2243643,0.9
2720.0,-2.2533948,0.20207602,1.0,0.8388106,135,13600.0,0.11451318,0.07838944,-0.9269718,0.94
2740.0,-2.1779842,0.20208558,1.0,0.8388262,136,13700.0,0.11455921,0.07828546,-1.0944821,0.95
2760.0,-2.560575,0.20205754,1.0,0.8388355,137,13800.0,0.11463575,0.07829536,-0.92378616,0.91
