stats_g/mean,stats_o/std,stats_g/std,test/mean_Q,train/mean_Q,stats_o/mean,epoch,train/episode,train/success_rate,test/success_rate,test/episode
0.83718675,0.07437581,0.08312779,-18.194141,-17.953339,0.2014141,35,3600.0,0.17,0.25,720.0
0.837445,0.074588105,0.08302649,-16.06086,-17.546192,0.201451,36,3700.0,0.2,0.15,740.0
0.8377278,0.07448948,0.08276577,-14.9621105,-16.798674,0.20148589,37,3800.0,0.21,0.35,760.0
0.837899,0.07499464,0.08263721,-11.108155,-16.32928,0.20144883,38,3900.0,0.14,0.25,780.0
0.8378795,0.07525543,0.08254155,-14.205721,-14.522806,0.2013999,39,4000.0,0.28,0.3,800.0
0.8379845,0.07582447,0.082446195,-12.581432,-15.356806,0.20129056,40,4100.0,0.29,0.2,820.0
0.8380652,0.07654822,0.0824441,-10.002735,-13.157395,0.20128493,41,4200.0,0.39,0.5,840.0
0.8381149,0.07716034,0.08216528,-4.7738104,-13.985105,0.20132904,42,4300.0,0.3,0.65,860.0
0.83825207,0.07798484,0.081846245,-15.245061,-8.95327,0.20130411,43,4400.0,0.57,0.4,880.0
0.8383794,0.079201676,0.08187444,-5.181545,-10.293301,0.2013477,44,4500.0,0.51,0.65,900.0
0.83859515,0.080673926,0.081775725,-4.8516126,-8.880709,0.2014942,45,4600.0,0.5,0.7,920.0
0.83862066,0.08154109,0.08154588,-6.1358624,-7.6220355,0.20140484,46,4700.0,0.53,0.55,940.0
0.8386242,0.08286918,0.081361376,-4.681374,-7.428421,0.20143129,47,4800.0,0.52,0.6,960.0
0.8387578,0.08388301,0.081186704,-3.666448,-5.076286,0.20139247,48,4900.0,0.68,0.85,980.0
0.83887464,0.08471196,0.08102255,-4.268501,-5.2253637,0.20145139,49,5000.0,0.62,0.7,1000.0
0.8389337,0.08573285,0.08091682,-3.44245,-5.678931,0.2014534,50,5100.0,0.66,0.8,1020.0
0.83893996,0.086544685,0.080878936,-3.7352252,-5.0101104,0.20158014,51,5200.0,0.73,0.8,1040.0
0.8389812,0.087207176,0.08061146,-2.9833734,-4.930315,0.20166677,52,5300.0,0.71,0.85,1060.0
0.83899695,0.08767704,0.08037349,-2.2572439,-4.8292713,0.2017206,53,5400.0,0.66,0.9,1080.0
0.8388935,0.08825512,0.080331415,-2.4412591,-4.853294,0.20164771,54,5500.0,0.76,0.9,1100.0
0.8389835,0.0885288,0.080159955,-3.3365884,-3.9051707,0.20166488,55,5600.0,0.83,0.7,1120.0
0.83901745,0.08874328,0.07993593,-3.2085412,-3.380491,0.20165838,56,5700.0,0.82,0.85,1140.0
0.8390967,0.08939791,0.079753645,-2.4712348,-4.0260863,0.20161678,57,5800.0,0.82,0.8,1160.0
0.83900803,0.08998084,0.07967369,-2.3380692,-3.6402442,0.20164497,58,5900.0,0.86,0.9,1180.0
0.838909,0.090545245,0.07963026,-2.1103413,-4.276357,0.20158976,59,6000.0,0.8,0.9,1200.0
0.8389428,0.09119658,0.07959177,-4.0723977,-3.5514116,0.20169318,60,6100.0,0.82,0.75,1220.0
0.83900356,0.09182756,0.07956924,-1.475724,-3.9430306,0.20177668,61,6200.0,0.84,0.95,1240.0
0.83898526,0.09268567,0.079645224,-1.7968489,-3.6666453,0.20185284,62,6300.0,0.77,0.9,1260.0
0.83891433,0.09327624,0.07954846,-1.8546107,-3.1057816,0.2018034,63,6400.0,0.89,0.95,1280.0
0.83894545,0.09419021,0.07948202,-1.6895378,-3.846208,0.20181763,64,6500.0,0.83,0.95,1300.0
0.8388915,0.09488016,0.07948317,-2.26491,-3.5547452,0.20180966,65,6600.0,0.82,0.95,1320.0
0.83888716,0.09556958,0.079311535,-1.8894304,-3.315728,0.20176311,66,6700.0,0.83,0.95,1340.0
0.8389196,0.095976114,0.0791712,-1.6910394,-2.9383013,0.20175019,67,6800.0,0.88,1.0,1360.0
0.8389111,0.09631354,0.07905672,-1.5264238,-2.9678998,0.2017532,68,6900.0,0.87,1.0,1380.0
0.8389449,0.09671596,0.07885379,-1.7578682,-2.5158,0.2017145,69,7000.0,0.94,0.9,1400.0
0.83894604,0.0967836,0.07867955,-1.5967093,-2.5615127,0.2017273,70,7100.0,0.94,1.0,1420.0
0.838942,0.097064026,0.07856051,-1.4946318,-2.7699587,0.20179583,71,7200.0,0.83,0.95,1440.0
0.8389626,0.09725675,0.07849118,-1.466891,-2.9180028,0.20179355,72,7300.0,0.87,1.0,1460.0
0.8390146,0.09779613,0.07846361,-1.5717051,-3.154943,0.20178059,73,7400.0,0.93,1.0,1480.0
0.8390245,0.09811824,0.07830676,-1.8667043,-2.5604844,0.20183712,74,7500.0,0.91,0.95,1500.0
0.8390086,0.098332494,0.07817305,-1.2123908,-2.5556953,0.20180148,75,7600.0,0.93,0.95,1520.0
0.8389952,0.09854047,0.07808151,-1.8367001,-2.4929698,0.20185255,76,7700.0,0.94,1.0,1540.0
0.8390229,0.09871486,0.077916004,-1.3389133,-2.3780186,0.20192015,77,7800.0,0.91,0.95,1560.0
0.839071,0.09893608,0.07777808,-1.6750867,-2.3576117,0.20201494,78,7900.0,0.92,1.0,1580.0
0.83906764,0.0991177,0.077609025,-1.4042789,-2.3775055,0.20207733,79,8000.0,0.96,0.9,1600.0
0.83909065,0.0994431,0.07752649,-1.2392242,-2.5552151,0.20211515,80,8100.0,0.9,1.0,1620.0
0.83912355,0.099562064,0.07735112,-1.3456916,-2.0990863,0.20210016,81,8200.0,0.98,1.0,1640.0
0.8391461,0.099863365,0.07720974,-1.8851792,-2.2156613,0.20203257,82,8300.0,0.95,0.95,1660.0
0.83919334,0.1002423,0.0770892,-1.5011771,-2.7116818,0.20203657,83,8400.0,0.91,1.0,1680.0
0.83921975,0.100228265,0.07702131,-1.4518707,-2.4609492,0.20202726,84,8500.0,0.91,1.0,1700.0
0.83920676,0.100435875,0.077032216,-1.2229035,-2.7600176,0.20204444,85,8600.0,0.93,0.95,1720.0
0.8392129,0.100533016,0.076910205,-0.8012756,-2.2941637,0.20205294,86,8700.0,0.89,1.0,1740.0
0.83924866,0.100583464,0.07687319,-1.3590908,-2.635755,0.20207171,87,8800.0,0.91,1.0,1760.0
0.8392779,0.100850455,0.07676187,-1.2025744,-2.4007237,0.20206586,88,8900.0,0.91,1.0,1780.0
0.8392735,0.10078868,0.0766095,-1.3693697,-2.1255476,0.20206638,89,9000.0,0.96,1.0,1800.0
0.83928794,0.10083419,0.07648775,-1.2302539,-2.101608,0.20210789,90,9100.0,0.96,1.0,1820.0
0.8393063,0.101151444,0.076364376,-1.2459426,-2.4999561,0.20210813,91,9200.0,0.93,1.0,1840.0
0.8393299,0.10146382,0.07631821,-1.2883539,-2.7591033,0.20214872,92,9300.0,0.92,1.0,1860.0
0.83933353,0.10166627,0.076306425,-1.5561883,-2.5140312,0.20216267,93,9400.0,0.95,0.95,1880.0
0.8392883,0.101894066,0.076276265,-0.8914194,-2.4848588,0.20214306,94,9500.0,0.94,1.0,1900.0
0.83921695,0.102124356,0.07627019,-1.1693645,-2.4917076,0.20217167,95,9600.0,0.95,0.95,1920.0
0.8392277,0.10220361,0.07612996,-1.4126095,-2.215886,0.20221566,96,9700.0,0.98,1.0,1940.0
0.839243,0.10235433,0.07612825,-1.4057087,-2.3363252,0.2022414,97,9800.0,0.97,1.0,1960.0
0.83924013,0.102403946,0.076055326,-1.4770833,-2.210493,0.20228072,98,9900.0,0.96,1.0,1980.0
0.8392379,0.10248218,0.07595044,-1.3074292,-2.3097427,0.20233826,99,10000.0,0.95,0.95,2000.0
0.83926654,0.10261198,0.07591651,-1.0848877,-2.4438984,0.20236723,100,10100.0,0.92,1.0,2020.0
0.83923024,0.102861926,0.07589692,-1.1690016,-2.47642,0.20233016,101,10200.0,0.94,1.0,2040.0
0.839264,0.10299799,0.075878106,-1.3085835,-2.6167712,0.20234948,102,10300.0,0.94,1.0,2060.0
0.8393052,0.10310956,0.07581056,-1.2172763,-2.4088857,0.20234329,103,10400.0,0.93,1.0,2080.0
0.83932644,0.1033032,0.075792134,-1.116847,-2.32569,0.2023696,104,10500.0,0.91,1.0,2100.0
0.8393318,0.103287525,0.07569988,-1.0833409,-2.1332078,0.20241609,105,10600.0,0.94,1.0,2120.0
0.83931947,0.1034662,0.075616084,-1.1487938,-2.3856704,0.2023989,106,10700.0,0.92,1.0,2140.0
0.8393312,0.10364253,0.075654,-1.3513591,-2.8595824,0.20241794,107,10800.0,0.93,1.0,2160.0
0.8392625,0.10382152,0.07566022,-1.3145494,-2.472038,0.20245893,108,10900.0,0.97,1.0,2180.0
0.83928233,0.1039878,0.07569033,-1.5141296,-2.6755629,0.20243303,109,11000.0,0.95,1.0,2200.0
0.83930165,0.10409089,0.07559655,-1.2687222,-2.4302027,0.20239134,110,11100.0,0.93,1.0,2220.0
0.83930516,0.104216486,0.07555161,-1.44819,-2.4594326,0.20242296,111,11200.0,0.93,1.0,2240.0
0.83931494,0.10447134,0.07552505,-1.1550825,-2.3113854,0.20243254,112,11300.0,0.98,1.0,2260.0
0.8392555,0.10451398,0.07545144,-1.025007,-2.1503131,0.20243578,113,11400.0,0.96,1.0,2280.0
0.8392396,0.10467339,0.075520694,-1.4164612,-2.7999978,0.20243646,114,11500.0,0.88,1.0,2300.0
0.8392567,0.10467687,0.07543639,-1.2662023,-2.189342,0.20244354,115,11600.0,0.96,1.0,2320.0
0.8392311,0.10498164,0.07551647,-1.0710648,-2.8795404,0.20250118,116,11700.0,0.96,1.0,2340.0
0.83915424,0.10507579,0.07554103,-1.1888704,-2.274219,0.2024714,117,11800.0,0.91,1.0,2360.0
0.8391223,0.10528409,0.07546691,-1.0901246,-2.2888525,0.20249487,118,11900.0,0.93,1.0,2380.0
0.8390956,0.105514325,0.07559274,-1.3225548,-2.9417572,0.20249502,119,12000.0,0.93,0.95,2400.0
0.8390868,0.10567385,0.07554885,-1.316483,-2.4063153,0.20252128,120,12100.0,0.9,1.0,2420.0
0.8390654,0.105686516,0.07547464,-0.9146304,-2.2999053,0.20250875,121,12200.0,0.92,1.0,2440.0
0.8390646,0.105726235,0.07541712,-1.1055334,-1.8078252,0.20248535,122,12300.0,0.98,1.0,2460.0
0.8391164,0.105856694,0.07535647,-1.146423,-2.2773461,0.20252839,123,12400.0,0.92,1.0,2480.0
0.83911705,0.105992176,0.07541755,-1.2246149,-2.8270786,0.20256801,124,12500.0,0.94,0.95,2500.0
0.8390959,0.10605811,0.075321235,-0.9978773,-2.2297378,0.2025353,125,12600.0,0.96,1.0,2520.0
0.839099,0.10614368,0.07524687,-1.4671934,-2.2382467,0.20258065,126,12700.0,0.98,1.0,2540.0
0.8390751,0.10629192,0.075358264,-1.3404808,-3.0218096,0.20257235,127,12800.0,0.92,1.0,2560.0
0.83908194,0.10636452,0.075280346,-1.2303014,-2.0015907,0.20256756,128,12900.0,0.96,1.0,2580.0
0.8390519,0.10643714,0.0751925,-0.97931814,-2.002955,0.20254277,129,13000.0,0.94,1.0,2600.0
0.8390651,0.10645537,0.0751935,-1.264897,-2.1769016,0.20254345,130,13100.0,0.94,1.0,2620.0
0.83903295,0.1065088,0.07517613,-0.8788599,-2.1806152,0.2025614,131,13200.0,0.97,1.0,2640.0
0.83901405,0.10654585,0.07513762,-1.0114912,-2.3221483,0.20257655,132,13300.0,0.91,0.95,2660.0
0.8390362,0.10654518,0.07508538,-1.18702,-2.1366603,0.20262438,133,13400.0,0.95,1.0,2680.0
0.8390325,0.10653676,0.07500519,-0.8404368,-1.9402484,0.2025983,134,13500.0,0.92,1.0,2700.0
0.83903116,0.106613085,0.074917994,-0.9937809,-2.0330951,0.20259647,135,13600.0,0.97,1.0,2720.0
0.83905053,0.10676411,0.07482634,-1.2428789,-2.075522,0.20258039,136,13700.0,0.96,1.0,2740.0
0.83907086,0.10689624,0.07480416,-1.1019505,-2.4200284,0.20261697,137,13800.0,0.93,1.0,2760.0
0.83909917,0.10715101,0.074781105,-1.4958451,-2.6749442,0.2026267,138,13900.0,0.93,0.95,2780.0
0.8391152,0.10729915,0.0747327,-1.2460941,-2.1990829,0.20258003,139,14000.0,0.96,1.0,2800.0
0.83911973,0.10739497,0.07464812,-1.2833574,-2.0812924,0.20259482,140,14100.0,0.96,1.0,2820.0
0.83911854,0.107443035,0.074610464,-0.95046616,-2.2623327,0.20262119,141,14200.0,0.92,1.0,2840.0
0.8390948,0.10744983,0.07459233,-1.2194529,-1.9904057,0.20265953,142,14300.0,0.97,1.0,2860.0
0.8390719,0.10746889,0.0745111,-1.2234246,-1.9455376,0.20262516,143,14400.0,0.94,1.0,2880.0
0.839032,0.10762309,0.07442388,-1.1890295,-1.9664613,0.20264137,144,14500.0,0.98,1.0,2900.0
0.83902407,0.10767447,0.07435879,-1.4588215,-2.0490043,0.2026466,145,14600.0,0.95,1.0,2920.0
0.8390135,0.107843034,0.074333385,-1.3660405,-2.2686296,0.2026502,146,14700.0,0.97,1.0,2940.0
0.83904433,0.10800105,0.07428538,-1.2508094,-2.216814,0.20266418,147,14800.0,0.94,1.0,2960.0
0.83903795,0.10798781,0.07422773,-1.11248,-2.0854716,0.20268391,148,14900.0,0.94,1.0,2980.0
0.839021,0.10800175,0.074167676,-1.291517,-1.9708115,0.20267175,149,15000.0,0.97,1.0,3000.0
0.8390236,0.1080683,0.074123144,-1.3461758,-2.2768989,0.20266575,150,15100.0,0.92,1.0,3020.0
0.83908314,0.10807292,0.07410498,-1.0866897,-2.2312162,0.2026966,151,15200.0,0.94,1.0,3040.0
0.8390653,0.108100586,0.074160434,-1.168524,-2.5685432,0.20271154,152,15300.0,0.95,1.0,3060.0
0.8390452,0.108100615,0.074105866,-1.0225308,-2.147671,0.20270193,153,15400.0,0.96,1.0,3080.0
0.83904237,0.10809659,0.07403311,-1.0657501,-1.9734445,0.20272537,154,15500.0,0.95,1.0,3100.0
0.83908105,0.10814479,0.074016444,-1.0382069,-2.2281916,0.20276906,155,15600.0,0.96,1.0,3120.0
0.8390605,0.1081347,0.074029855,-1.1814942,-2.2398498,0.20277809,156,15700.0,0.95,1.0,3140.0
0.83907,0.10817389,0.07402222,-0.9701441,-2.3007889,0.20278808,157,15800.0,0.91,1.0,3160.0
0.8390696,0.10813674,0.07395203,-1.1965538,-1.9685668,0.20279932,158,15900.0,0.97,1.0,3180.0
0.83906084,0.10819496,0.073970094,-1.3374395,-2.3884544,0.20282447,159,16000.0,0.96,1.0,3200.0
0.8390638,0.10823656,0.0739731,-0.98965704,-2.159422,0.20281199,160,16100.0,0.97,1.0,3220.0
0.8390748,0.108258545,0.07402907,-0.7631611,-2.5235872,0.20281559,161,16200.0,0.93,1.0,3240.0
0.83905965,0.10833406,0.07399965,-1.0862269,-2.0858626,0.2028151,162,16300.0,0.93,1.0,3260.0
0.83903533,0.1083029,0.07393908,-0.8114008,-1.9899281,0.20280232,163,16400.0,0.96,1.0,3280.0
0.83905077,0.10834043,0.07392464,-0.93255174,-2.130247,0.20282479,164,16500.0,0.92,1.0,3300.0
0.8390606,0.10833004,0.07388126,-0.8895384,-1.9277596,0.20281726,165,16600.0,0.93,1.0,3320.0
0.8390581,0.10832062,0.073831886,-1.090855,-2.0977952,0.2028154,166,16700.0,0.96,1.0,3340.0
0.8391214,0.10835525,0.07379218,-1.2845604,-2.1206882,0.20282993,167,16800.0,0.93,1.0,3360.0
0.8391171,0.10840195,0.073758416,-1.1456705,-2.1566985,0.2027939,168,16900.0,0.92,1.0,3380.0
0.83911705,0.108423874,0.07372541,-1.162315,-2.1019616,0.20279308,169,17000.0,0.96,1.0,3400.0
0.8391025,0.10850035,0.07368693,-1.1634467,-2.020652,0.20279446,170,17100.0,0.98,1.0,3420.0
0.8391259,0.10861243,0.07369858,-1.1396955,-2.2680426,0.20279218,171,17200.0,0.9,1.0,3440.0
0.83912706,0.10872232,0.07363422,-0.9803551,-2.120154,0.20280689,172,17300.0,0.98,1.0,3460.0
0.83913535,0.108798936,0.07363818,-0.8743475,-2.5791578,0.20283987,173,17400.0,0.94,1.0,3480.0
0.83914596,0.108783096,0.0736236,-1.28186,-2.174498,0.20284627,174,17500.0,0.95,1.0,3500.0
0.8391435,0.10873452,0.073601134,-1.0219067,-2.189544,0.20284332,175,17600.0,0.97,1.0,3520.0
0.8392034,0.10880242,0.073608436,-1.08779,-2.3255455,0.20285335,176,17700.0,0.96,1.0,3540.0
0.83920485,0.10889268,0.07356995,-0.7858413,-2.2445421,0.2028361,177,17800.0,0.94,1.0,3560.0
0.83921355,0.108908355,0.07358665,-1.3005273,-2.2312145,0.20284037,178,17900.0,0.96,1.0,3580.0
0.8391926,0.108976334,0.07357078,-1.1424624,-2.2828295,0.20281206,179,18000.0,0.94,1.0,3600.0
0.8391814,0.10903104,0.073517464,-0.92923295,-1.9484063,0.20282178,180,18100.0,0.94,1.0,3620.0
0.83918196,0.109000914,0.07350964,-0.97321683,-2.3396692,0.20282643,181,18200.0,0.94,1.0,3640.0
0.8391509,0.109085225,0.07347743,-1.3054398,-2.281337,0.20281307,182,18300.0,0.94,1.0,3660.0
0.8392094,0.10912851,0.07342906,-1.0000546,-2.0564787,0.20285602,183,18400.0,0.96,1.0,3680.0
0.83918905,0.10912129,0.07337586,-1.1165498,-2.091364,0.20286188,184,18500.0,0.99,1.0,3700.0
0.8391909,0.10909411,0.0733329,-1.3875364,-2.3378525,0.20284721,185,18600.0,0.91,1.0,3720.0
0.8391562,0.1090879,0.0732904,-0.98027384,-1.8984003,0.20282473,186,18700.0,0.96,1.0,3740.0
0.83919924,0.10911595,0.073263556,-1.3228531,-2.132624,0.20282683,187,18800.0,0.95,1.0,3760.0
0.8392005,0.10904313,0.07320977,-1.2891643,-1.7565401,0.20282082,188,18900.0,0.97,1.0,3780.0
0.83918303,0.109015234,0.07315935,-1.2055433,-1.7890974,0.20279528,189,19000.0,0.95,1.0,3800.0
0.8391793,0.109021634,0.07317964,-1.0688778,-2.3258243,0.20277472,190,19100.0,0.97,1.0,3820.0
0.83916044,0.109101325,0.07319669,-1.1427574,-2.0727785,0.20275298,191,19200.0,0.97,1.0,3840.0
0.8391593,0.109146245,0.07315797,-1.082975,-1.9317225,0.20276798,192,19300.0,0.92,1.0,3860.0
0.8391314,0.109178744,0.07311341,-0.96907103,-1.8173003,0.20274985,193,19400.0,0.96,1.0,3880.0
0.83911544,0.109167926,0.07309636,-1.1849964,-2.2120202,0.20271608,194,19500.0,0.93,1.0,3900.0
0.83911484,0.10914626,0.073071346,-1.0129017,-1.9854498,0.20272534,195,19600.0,0.97,1.0,3920.0
0.8390953,0.10915059,0.07304902,-0.92455447,-2.0888267,0.20271963,196,19700.0,0.94,1.0,3940.0
0.83909535,0.10910521,0.07300314,-0.93819475,-1.9951775,0.20272923,197,19800.0,0.95,1.0,3960.0
0.83907515,0.10914895,0.07302895,-1.0176218,-2.3795154,0.20272654,198,19900.0,0.92,1.0,3980.0
0.8390784,0.109218284,0.073082305,-1.0532186,-2.5859334,0.20274122,199,20000.0,0.93,1.0,4000.0
