train/episode,test/success_rate,stats_o/mean,test/mean_Q,test/episode,epoch,stats_g/mean,train/mean_Q,train/success_rate,stats_g/std,stats_o/std
5700.0,1.0,0.20044434,-1.4005778,1140.0,56,0.83758,-2.964176,0.91,0.08372424,0.09733926
5800.0,0.9,0.2005499,-2.6316745,1160.0,57,0.8377171,-3.4158819,0.84,0.08351525,0.0976557
5900.0,1.0,0.20045662,-1.6170896,1180.0,58,0.8376708,-2.8139005,0.93,0.08320729,0.09808402
6000.0,0.95,0.20050845,-1.2427523,1200.0,59,0.8376384,-3.6453042,0.82,0.083068974,0.09851405
6100.0,1.0,0.2004759,-1.7668474,1220.0,60,0.83770734,-3.217404,0.81,0.0829063,0.09909377
6200.0,1.0,0.2004838,-1.2310615,1240.0,61,0.83776474,-3.2182739,0.85,0.082665674,0.09978447
6300.0,1.0,0.20045108,-1.6174583,1260.0,62,0.8377302,-2.7822428,0.89,0.08245831,0.10014108
6400.0,1.0,0.20046358,-1.2844086,1280.0,63,0.8376822,-2.840454,0.84,0.08225518,0.10032905
6500.0,1.0,0.20046113,-1.1326196,1300.0,64,0.8376959,-3.5539222,0.79,0.082196705,0.100755155
6600.0,1.0,0.20052087,-1.3804935,1320.0,65,0.83769137,-3.0545764,0.82,0.08202961,0.10094875
6700.0,1.0,0.20053902,-1.0198357,1340.0,66,0.8376899,-2.9461393,0.89,0.081920154,0.10137775
6800.0,1.0,0.20051378,-1.2999918,1360.0,67,0.8376889,-2.4839861,0.96,0.08170811,0.1016314
6900.0,1.0,0.20049594,-1.4716492,1380.0,68,0.83768153,-2.5360231,0.92,0.0814618,0.10156252
7000.0,1.0,0.20056215,-1.5052619,1400.0,69,0.8376995,-3.0057595,0.88,0.08135453,0.1021622
7100.0,0.95,0.20060861,-1.7238605,1420.0,70,0.8377343,-2.9297652,0.88,0.08125468,0.10260051
7200.0,1.0,0.20058721,-1.455554,1440.0,71,0.83773994,-2.561199,0.89,0.08111315,0.10296184
7300.0,0.9,0.20056552,-1.5100693,1460.0,72,0.83777636,-2.4111664,0.93,0.08097582,0.10305032
7400.0,1.0,0.20052472,-1.2522695,1480.0,73,0.83783436,-2.6105447,0.91,0.08079312,0.10321927
