test/success_rate,epoch,stats_g/std,stats_o/mean,stats_o/std,train/episode,test/episode,test/mean_Q,train/success_rate,train/mean_Q,stats_g/mean
0.5,102,0.15821765,0.18832666,0.0896245,10300.0,2060.0,-14.974093,0.19,-25.886326,0.80096656
0.45,103,0.15804449,0.18837512,0.08961057,10400.0,2080.0,-15.835861,0.16,-25.98214,0.8011971
0.25,104,0.15783043,0.18836235,0.08951801,10500.0,2100.0,-19.736603,0.12,-26.998568,0.80128783
0.35,105,0.15771149,0.1883857,0.08947646,10600.0,2120.0,-15.945561,0.13,-28.063492,0.8014402
0.3,106,0.15758009,0.18842037,0.08948003,10700.0,2140.0,-18.256397,0.13,-26.202553,0.8016062
0.3,107,0.15739082,0.1884617,0.089434974,10800.0,2160.0,-16.008867,0.14,-26.404486,0.8017109
0.35,108,0.15733431,0.1884899,0.08934617,10900.0,2180.0,-16.650928,0.24,-24.594929,0.80183506
0.25,109,0.15712313,0.1885063,0.0892666,11000.0,2200.0,-16.8203,0.19,-26.800182,0.80193573
0.45,110,0.15712363,0.18850996,0.0892397,11100.0,2220.0,-18.184809,0.19,-28.534767,0.8019941
0.45,111,0.15723859,0.18861037,0.089288436,11200.0,2240.0,-16.798082,0.26,-25.597624,0.8022475
0.25,112,0.15718684,0.18861954,0.08920301,11300.0,2260.0,-18.023623,0.18,-26.607344,0.8022857
0.4,113,0.15711714,0.18865801,0.08910229,11400.0,2280.0,-15.976834,0.15,-26.654818,0.8024096
0.65,114,0.15702257,0.18870755,0.08907096,11500.0,2300.0,-14.420291,0.13,-26.350689,0.80250424
0.35,115,0.15700836,0.18870577,0.089083605,11600.0,2320.0,-15.332199,0.24,-26.25222,0.80257916
0.45,116,0.15688013,0.18872418,0.08901242,11700.0,2340.0,-14.924939,0.29,-25.545286,0.8026567
0.3,117,0.1569539,0.18875708,0.08910918,11800.0,2360.0,-16.858292,0.15,-28.45914,0.8027428
0.35,118,0.15694909,0.18880285,0.08924502,11900.0,2380.0,-17.781113,0.19,-27.0928,0.8028255
0.45,119,0.15687586,0.18886171,0.08918759,12000.0,2400.0,-16.482214,0.11,-28.551214,0.8029818
0.5,120,0.15677555,0.18893251,0.08917258,12100.0,2420.0,-14.857973,0.17,-26.848465,0.8031346
0.6,121,0.15682621,0.1889371,0.08931974,12200.0,2440.0,-12.612169,0.16,-28.680708,0.8032746
0.65,122,0.15678261,0.18893106,0.08930592,12300.0,2460.0,-13.198628,0.22,-24.016523,0.803258
0.25,123,0.15684561,0.18895161,0.08929453,12400.0,2480.0,-19.362543,0.15,-28.248602,0.8033516
0.6,124,0.15683784,0.18897894,0.089313366,12500.0,2500.0,-12.0491495,0.15,-27.065767,0.80356365
0.4,125,0.15701105,0.1889618,0.08942441,12600.0,2520.0,-15.518399,0.2,-26.171726,0.8035641
0.3,126,0.15709142,0.18896483,0.08946429,12700.0,2540.0,-18.114536,0.24,-23.324661,0.8035159
0.45,127,0.15704401,0.1890433,0.089528285,12800.0,2560.0,-14.304548,0.11,-24.86338,0.8036967
0.5,128,0.15691994,0.18908577,0.08957144,12900.0,2580.0,-13.988072,0.24,-24.056917,0.80384153
0.6,129,0.15703446,0.1891013,0.08961881,13000.0,2600.0,-15.376625,0.22,-25.424402,0.80382615
0.55,130,0.15710686,0.18915497,0.089726955,13100.0,2620.0,-15.269783,0.13,-26.26815,0.8039651
0.35,131,0.15720932,0.18918274,0.089759424,13200.0,2640.0,-18.68813,0.11,-26.529003,0.80401987
0.6,132,0.15709677,0.18921332,0.08969689,13300.0,2660.0,-13.352521,0.19,-24.699884,0.8041689
0.4,133,0.1569902,0.18926094,0.08967724,13400.0,2680.0,-17.226017,0.15,-24.990995,0.8042221
0.35,134,0.15701495,0.18928707,0.089741446,13500.0,2700.0,-14.8939085,0.18,-27.626614,0.8042581
0.5,135,0.15697175,0.18930134,0.089686535,13600.0,2720.0,-15.15634,0.17,-25.98216,0.80433124
0.6,136,0.15713525,0.18932474,0.08966832,13700.0,2740.0,-12.732849,0.13,-27.812847,0.8043559
0.5,137,0.15701942,0.1893277,0.089586824,13800.0,2760.0,-16.055895,0.23,-25.895226,0.80443406
0.3,138,0.15691516,0.18933092,0.089552335,13900.0,2780.0,-18.528502,0.16,-27.39385,0.8045628
0.5,139,0.15675789,0.189359,0.08949321,14000.0,2800.0,-15.385144,0.16,-28.385483,0.8047464
0.6,140,0.15664299,0.18938042,0.08945863,14100.0,2820.0,-14.313275,0.18,-26.963448,0.8049128
0.5,141,0.15661108,0.18940756,0.08943501,14200.0,2840.0,-18.211857,0.19,-28.540089,0.8049014
0.6,142,0.15653819,0.18941337,0.08936429,14300.0,2860.0,-14.522909,0.17,-26.001038,0.8048756
0.6,143,0.15656257,0.18940273,0.08932887,14400.0,2880.0,-14.815402,0.13,-27.508955,0.80492455
0.45,144,0.15662654,0.1894247,0.08937478,14500.0,2900.0,-15.946627,0.12,-29.643372,0.8050354
0.45,145,0.1565819,0.18942758,0.08936616,14600.0,2920.0,-19.158474,0.27,-27.335728,0.8051241
0.5,146,0.15649337,0.18944773,0.08932248,14700.0,2940.0,-18.88839,0.2,-27.648375,0.8052798
0.65,147,0.15647934,0.18946795,0.089290164,14800.0,2960.0,-16.138622,0.22,-28.183926,0.8053713
0.45,148,0.1563892,0.18946254,0.08925817,14900.0,2980.0,-19.818623,0.2,-28.371399,0.8054595
0.4,149,0.15631934,0.18949775,0.08921634,15000.0,3000.0,-19.27156,0.14,-29.425304,0.8055406
0.55,150,0.15627886,0.18955536,0.08915568,15100.0,3020.0,-16.677624,0.19,-28.9396,0.80571294
0.55,151,0.15644164,0.18956614,0.08919526,15200.0,3040.0,-19.661358,0.16,-30.276106,0.8057253
0.4,152,0.15643822,0.18958536,0.08915663,15300.0,3060.0,-18.497913,0.15,-28.5241,0.80573654
0.3,153,0.15650308,0.189585,0.08918046,15400.0,3080.0,-19.86935,0.19,-28.91592,0.805804
0.3,154,0.15657216,0.18959871,0.08928442,15500.0,3100.0,-21.140259,0.19,-28.95218,0.8058872
0.55,155,0.15669852,0.18959735,0.08932269,15600.0,3120.0,-16.233826,0.15,-31.370934,0.806048
0.4,156,0.15667796,0.18962042,0.08927974,15700.0,3140.0,-20.886444,0.15,-29.270918,0.8061257
0.4,157,0.15672922,0.18961397,0.08930895,15800.0,3160.0,-17.884953,0.14,-30.05323,0.8061792
0.65,158,0.15663601,0.18960503,0.08930362,15900.0,3180.0,-14.789571,0.17,-28.849058,0.8062413
0.45,159,0.1565424,0.18962078,0.08928004,16000.0,3200.0,-20.2548,0.13,-31.266272,0.80642843
0.55,160,0.15656188,0.18962514,0.089355856,16100.0,3220.0,-17.110107,0.16,-30.913263,0.8065403
0.7,161,0.15662852,0.1896296,0.089393474,16200.0,3240.0,-15.529386,0.16,-29.391747,0.8065596
0.45,162,0.1565062,0.18965751,0.08933225,16300.0,3260.0,-19.297588,0.11,-32.291027,0.8067114
0.4,163,0.15640558,0.18967846,0.08932046,16400.0,3280.0,-19.289078,0.14,-29.75479,0.8067866
0.4,164,0.15631829,0.18968022,0.08926398,16500.0,3300.0,-20.893454,0.12,-31.330341,0.80687004
0.45,165,0.15642397,0.1897053,0.0892868,16600.0,3320.0,-21.188591,0.1,-32.01868,0.8069337
0.3,166,0.15637574,0.18968348,0.08930407,16700.0,3340.0,-19.62722,0.11,-29.511948,0.8069193
0.4,167,0.15624216,0.18967709,0.08929264,16800.0,3360.0,-18.308756,0.17,-28.630194,0.80699635
0.35,168,0.15625004,0.18968064,0.08928517,16900.0,3380.0,-19.899067,0.1,-31.523054,0.8070777
0.35,169,0.15629871,0.18969055,0.08932052,17000.0,3400.0,-20.051182,0.09,-30.14579,0.80709267
0.3,170,0.15630291,0.1897058,0.0893465,17100.0,3420.0,-16.362988,0.16,-30.620493,0.80715376
0.35,171,0.15631932,0.18972777,0.0893879,17200.0,3440.0,-21.118343,0.24,-28.922956,0.80720836
0.45,172,0.1563435,0.18975279,0.08940642,17300.0,3460.0,-17.47586,0.16,-32.436573,0.80727506
0.6,173,0.15623702,0.1897605,0.08934708,17400.0,3480.0,-18.398335,0.11,-31.31025,0.80739576
0.3,174,0.15626621,0.18974906,0.08941003,17500.0,3500.0,-23.076393,0.1,-32.34366,0.80745965
0.3,175,0.15626039,0.18976384,0.089391336,17600.0,3520.0,-20.996798,0.14,-32.161835,0.80763125
0.6,176,0.15627737,0.18978597,0.089394666,17700.0,3540.0,-13.382892,0.14,-30.779491,0.8076716
0.35,177,0.15626734,0.18979296,0.08940931,17800.0,3560.0,-20.265926,0.13,-31.247456,0.80774546
0.5,178,0.15621546,0.18982626,0.089401245,17900.0,3580.0,-22.317677,0.15,-29.315937,0.8078303
0.3,179,0.15612882,0.18983999,0.08937957,18000.0,3600.0,-20.176788,0.14,-29.812895,0.80790514
0.4,180,0.15607575,0.18986624,0.08939048,18100.0,3620.0,-19.560642,0.15,-30.729908,0.8080074
0.25,181,0.15608482,0.18988468,0.08938637,18200.0,3640.0,-22.744038,0.1,-32.4745,0.8081204
0.55,182,0.15612592,0.18993989,0.089454986,18300.0,3660.0,-17.242298,0.15,-30.580456,0.8082389
0.45,183,0.15612763,0.18998174,0.08948475,18400.0,3680.0,-18.74464,0.12,-30.262758,0.8083342
0.2,184,0.1561246,0.19002256,0.08961461,18500.0,3700.0,-22.790548,0.14,-29.637077,0.80843765
0.55,185,0.15608478,0.19006002,0.08971149,18600.0,3720.0,-13.462921,0.13,-26.72053,0.8085716
0.6,186,0.15609981,0.1901135,0.089865334,18700.0,3740.0,-12.739762,0.18,-27.967562,0.8087599
0.45,187,0.15615557,0.19013059,0.09002768,18800.0,3760.0,-21.099583,0.17,-26.499523,0.80885226
0.45,188,0.15617438,0.19015801,0.09010658,18900.0,3780.0,-16.142847,0.18,-24.909979,0.8090202
0.45,189,0.15617359,0.19018759,0.090278104,19000.0,3800.0,-15.785388,0.16,-24.094265,0.8091128
0.45,190,0.15629907,0.19019066,0.09046843,19100.0,3820.0,-13.6774645,0.13,-24.042824,0.8091937
0.6,191,0.1565293,0.19018503,0.09059256,19200.0,3840.0,-16.005505,0.16,-24.91795,0.80925536
0.35,192,0.15653218,0.1901967,0.09070249,19300.0,3860.0,-16.473577,0.13,-23.483631,0.8093507
0.3,193,0.15662692,0.19020645,0.090784,19400.0,3880.0,-17.481321,0.11,-25.054716,0.80939716
0.4,194,0.15660897,0.19022003,0.09089297,19500.0,3900.0,-15.428805,0.08,-22.256393,0.8094893
0.6,195,0.15680613,0.19024684,0.091056615,19600.0,3920.0,-15.513118,0.15,-24.606518,0.80958146
0.3,196,0.15700449,0.19023563,0.091174,19700.0,3940.0,-17.399601,0.18,-23.286133,0.8095594
0.55,197,0.1570304,0.19025421,0.09121455,19800.0,3960.0,-14.071037,0.16,-23.203474,0.80957913
0.55,198,0.1571418,0.19027473,0.091417834,19900.0,3980.0,-12.632765,0.12,-25.175953,0.80966306
0.45,199,0.15713666,0.1902891,0.09146202,20000.0,4000.0,-11.87584,0.17,-22.300896,0.8097219
