epoch,train/episode,stats_g/std,stats_o/mean,test/success_rate,stats_g/mean,test/mean_Q,test/episode,train/success_rate,stats_o/std,train/mean_Q
56,5700.0,0.083807,0.20147884,0.55,0.83684605,-5.944465,1140.0,0.44,0.08596601,-10.16019
57,5800.0,0.083502226,0.20150271,0.45,0.83699846,-8.2807865,1160.0,0.66,0.08623696,-7.3995857
58,5900.0,0.083521135,0.20142372,0.7,0.83679056,-6.010595,1180.0,0.64,0.08693139,-8.040089
59,6000.0,0.08334755,0.20149948,0.6,0.83678603,-3.6253173,1200.0,0.55,0.087614775,-7.5163965
60,6100.0,0.083304614,0.20150974,0.65,0.8368723,-6.370882,1220.0,0.6,0.08805257,-6.6462626
61,6200.0,0.08314168,0.20153722,0.5,0.8370196,-5.7259727,1240.0,0.52,0.08916889,-7.391298
62,6300.0,0.083257474,0.20155294,0.5,0.8370166,-6.7951064,1260.0,0.59,0.09014447,-6.7647877
63,6400.0,0.08306029,0.20156138,0.75,0.8369431,-4.579217,1280.0,0.62,0.091078065,-5.6191616
64,6500.0,0.08294348,0.20165,0.65,0.8369625,-4.393187,1300.0,0.5,0.09215945,-7.505877
65,6600.0,0.08286167,0.20169298,0.65,0.8370387,-6.775084,1320.0,0.51,0.093323715,-6.855771
66,6700.0,0.082634695,0.20171167,0.7,0.8369806,-3.5885081,1340.0,0.61,0.09418565,-5.686891
67,6800.0,0.08261053,0.20157887,0.65,0.83695847,-4.4934435,1360.0,0.69,0.0949124,-5.3913875
68,6900.0,0.082352646,0.20159985,0.65,0.83690304,-4.033154,1380.0,0.65,0.095658466,-5.541208
69,7000.0,0.082157806,0.20156702,0.85,0.83689696,-3.8870118,1400.0,0.6,0.096506566,-5.3215814
70,7100.0,0.08209694,0.20151998,0.85,0.83693117,-3.408073,1420.0,0.74,0.0968085,-4.9889946
71,7200.0,0.081906036,0.20154858,0.75,0.8369553,-3.9382577,1440.0,0.69,0.097413175,-4.850885
72,7300.0,0.08178929,0.20154244,0.7,0.83695126,-4.5864854,1460.0,0.72,0.09803625,-4.5811634
73,7400.0,0.08175542,0.20150171,0.75,0.83700806,-2.6708767,1480.0,0.77,0.09840311,-4.871594
74,7500.0,0.08161821,0.20150506,0.7,0.837013,-5.546855,1500.0,0.69,0.09888414,-4.619055
75,7600.0,0.0815183,0.20153522,0.9,0.8370239,-1.9045556,1520.0,0.73,0.09943271,-4.9672756
76,7700.0,0.081347294,0.20151229,0.8,0.8370509,-3.987154,1540.0,0.79,0.09995661,-3.9302292
77,7800.0,0.08128493,0.2014754,0.9,0.8370721,-2.3633518,1560.0,0.73,0.10039423,-4.162503
78,7900.0,0.08120155,0.20151225,0.75,0.83713704,-3.9353244,1580.0,0.87,0.10094534,-3.3393214
79,8000.0,0.08103178,0.20148781,0.85,0.83715695,-2.164381,1600.0,0.83,0.10109025,-3.6269736
80,8100.0,0.080860846,0.20141022,1.0,0.83719677,-1.6852229,1620.0,0.82,0.101258285,-3.5806131
81,8200.0,0.080691166,0.20137835,0.95,0.8372471,-2.7099872,1640.0,0.85,0.10170898,-3.5692246
82,8300.0,0.08052898,0.20137718,0.95,0.8373057,-2.4941404,1660.0,0.83,0.102172844,-3.561835
83,8400.0,0.08050465,0.20136684,0.8,0.8373645,-2.6509645,1680.0,0.79,0.10251035,-4.422846
84,8500.0,0.080360964,0.20135099,0.85,0.83739305,-3.581419,1700.0,0.83,0.102941446,-3.5201168
85,8600.0,0.08027835,0.20142502,0.8,0.8374257,-3.5686295,1720.0,0.8,0.10339887,-3.734079
86,8700.0,0.080247834,0.20138201,0.9,0.83745176,-2.1416123,1740.0,0.82,0.1037576,-3.7807724
87,8800.0,0.080173984,0.20138763,0.9,0.83749455,-2.1703956,1760.0,0.77,0.10430554,-4.464145
88,8900.0,0.08002458,0.20139287,0.85,0.8375338,-5.7701845,1780.0,0.84,0.104701854,-3.1794415
89,9000.0,0.07986189,0.20141682,0.85,0.8375636,-2.942493,1800.0,0.88,0.10488859,-3.072467
90,9100.0,0.07989406,0.2013744,0.95,0.837574,-1.9352386,1820.0,0.84,0.10530649,-3.9528677
91,9200.0,0.079836704,0.20130205,0.95,0.8376003,-2.0372887,1840.0,0.81,0.10576354,-3.7122867
92,9300.0,0.07980009,0.20128697,0.95,0.83764267,-1.2889681,1860.0,0.81,0.105997175,-3.5996323
93,9400.0,0.07966899,0.20127435,0.95,0.8376617,-1.4561948,1880.0,0.88,0.10613606,-2.9329128
94,9500.0,0.07963255,0.2012626,1.0,0.83764154,-1.1922557,1900.0,0.84,0.10642424,-3.4365368
95,9600.0,0.079509504,0.20124342,1.0,0.8375933,-1.5165846,1920.0,0.9,0.10664626,-2.66049
