stats_o/std,train/episode,stats_g/mean,epoch,train/success_rate,stats_o/mean,train/mean_Q,test/success_rate,test/mean_Q,stats_g/std,test/episode
0.06476107,2300.0,0.8377629,22,0.05,0.20105682,-22.86898,0.1,-20.777964,0.072892405,460.0
0.06541743,2400.0,0.8374801,23,0.12,0.20099421,-20.87291,0.15,-20.856905,0.072761424,480.0
0.065879844,2500.0,0.8374607,24,0.09,0.20104413,-20.684526,0.05,-17.373531,0.072720654,500.0
0.065971345,2600.0,0.83761144,25,0.02,0.20108457,-21.273026,0.1,-19.23295,0.07260554,520.0
0.06679112,2700.0,0.83756256,26,0.14,0.20103073,-18.731842,0.0,-26.233679,0.072705485,540.0
0.06679078,2800.0,0.8374403,27,0.08,0.2010003,-20.539118,0.1,-17.573309,0.0726274,560.0
0.06705135,2900.0,0.8372421,28,0.05,0.20095871,-21.871014,0.1,-19.55583,0.072522126,580.0
0.067101344,3000.0,0.8372686,29,0.07,0.20098692,-21.75971,0.0,-23.57056,0.07244591,600.0
0.06712121,3100.0,0.8371412,30,0.07,0.20094606,-20.13761,0.1,-17.144869,0.072394736,620.0
0.067726515,3200.0,0.83729345,31,0.06,0.20101658,-20.342728,0.1,-22.16441,0.07252356,640.0
0.06809557,3300.0,0.83753234,32,0.1,0.2010184,-18.507736,0.05,-18.471973,0.07240874,660.0
0.06893779,3400.0,0.837768,33,0.06,0.20099631,-21.11119,0.1,-18.34982,0.07236741,680.0
0.0695464,3500.0,0.8377052,34,0.09,0.2009029,-20.027472,0.05,-14.341858,0.072666235,700.0
0.07039139,3600.0,0.83783025,35,0.11,0.20072624,-18.819069,0.2,-19.57337,0.072559685,720.0
0.070432,3700.0,0.8378921,36,0.1,0.20069693,-19.59988,0.0,-17.707668,0.07252199,740.0
0.07052899,3800.0,0.83799165,37,0.08,0.20066842,-21.30503,0.2,-17.760738,0.07248026,760.0
0.07158966,3900.0,0.83804303,38,0.09,0.2006714,-20.442022,0.2,-17.157034,0.07248176,780.0
0.07163951,4000.0,0.8378741,39,0.09,0.20066556,-20.64315,0.05,-18.742752,0.07245752,800.0
0.07156269,4100.0,0.8377528,40,0.1,0.20056969,-20.443419,0.2,-17.018963,0.072324045,820.0
0.071965024,4200.0,0.8376724,41,0.09,0.20062658,-20.546616,0.2,-18.442774,0.07227727,840.0
0.07249971,4300.0,0.83772945,42,0.13,0.20056252,-20.620537,0.25,-15.701792,0.072231635,860.0
0.072469026,4400.0,0.8376704,43,0.14,0.2005614,-18.113697,0.3,-19.102423,0.07211406,880.0
0.07291307,4500.0,0.83759433,44,0.13,0.20056352,-20.947483,0.15,-19.373741,0.07216448,900.0
0.07305996,4600.0,0.837727,45,0.16,0.20057435,-18.831379,0.15,-18.715733,0.07210281,920.0
0.073075764,4700.0,0.8377463,46,0.17,0.20053259,-20.557182,0.05,-22.801262,0.07207977,940.0
0.073322065,4800.0,0.8376216,47,0.15,0.20045647,-21.060513,0.25,-20.67751,0.0721888,960.0
0.07350367,4900.0,0.8375445,48,0.24,0.20039776,-18.702265,0.25,-18.86038,0.07211018,980.0
0.07351027,5000.0,0.8375321,49,0.29,0.20046945,-16.840534,0.35,-12.998491,0.07205109,1000.0
0.073788986,5100.0,0.83757764,50,0.23,0.20047262,-18.89254,0.25,-15.19915,0.072054856,1020.0
0.07394708,5200.0,0.8375984,51,0.25,0.2005027,-17.85389,0.15,-17.303265,0.07207719,1040.0
0.07450752,5300.0,0.8375481,52,0.26,0.20050722,-17.52915,0.5,-13.643588,0.07204942,1060.0
0.074646674,5400.0,0.83757967,53,0.32,0.20055574,-16.071072,0.2,-18.947926,0.07195524,1080.0
0.0751812,5500.0,0.8375121,54,0.28,0.2005427,-17.109467,0.35,-12.416819,0.07210399,1100.0
0.07567318,5600.0,0.837487,55,0.26,0.20055382,-16.894419,0.15,-16.583696,0.07206544,1120.0
0.07635838,5700.0,0.83748454,56,0.31,0.20049512,-14.845138,0.25,-15.197786,0.07198728,1140.0
0.07693923,5800.0,0.83754545,57,0.37,0.20061825,-14.365909,0.2,-19.278667,0.07210713,1160.0
0.07744569,5900.0,0.8375113,58,0.34,0.20061515,-14.236719,0.4,-12.761624,0.07204401,1180.0
0.07782927,6000.0,0.8375292,59,0.34,0.20066175,-13.537146,0.4,-8.016901,0.0719803,1200.0
0.0782266,6100.0,0.8376284,60,0.34,0.20070094,-12.140752,0.4,-10.427289,0.07192855,1220.0
0.078779615,6200.0,0.8377459,61,0.3,0.20067336,-11.424161,0.55,-6.9047823,0.07184499,1240.0
0.07928857,6300.0,0.8376307,62,0.24,0.20067813,-12.534402,0.45,-6.842167,0.07180796,1260.0
0.079707354,6400.0,0.83758044,63,0.3,0.20058393,-11.009619,0.45,-8.16068,0.071743324,1280.0
0.08013391,6500.0,0.8375721,64,0.26,0.20057571,-13.949033,0.5,-10.708123,0.07167583,1300.0
0.080491446,6600.0,0.83757025,65,0.37,0.20061351,-11.639457,0.35,-9.531418,0.07172052,1320.0
0.08069777,6700.0,0.83748937,66,0.36,0.20069537,-11.74408,0.4,-9.107359,0.071657434,1340.0
0.0808145,6800.0,0.8375171,67,0.42,0.20074089,-12.437874,0.5,-9.737909,0.07159723,1360.0
0.08090479,6900.0,0.8375265,68,0.36,0.20076461,-13.196028,0.35,-14.100466,0.07160206,1380.0
0.08106222,7000.0,0.837533,69,0.48,0.20087169,-10.8401,0.55,-9.779562,0.071516715,1400.0
0.08104974,7100.0,0.8375103,70,0.49,0.20090796,-10.92143,0.35,-11.689925,0.07158632,1420.0
0.08098007,7200.0,0.837514,71,0.44,0.20093401,-10.507561,0.35,-12.959009,0.0715314,1440.0
0.080966614,7300.0,0.837579,72,0.56,0.20096621,-10.073625,0.3,-13.572911,0.07148077,1460.0
0.08113039,7400.0,0.83762926,73,0.47,0.20105137,-11.184815,0.6,-9.750406,0.07142112,1480.0
0.08147322,7500.0,0.8375955,74,0.51,0.20107001,-10.464899,0.8,-5.5652723,0.07143266,1500.0
0.08152332,7600.0,0.8376336,75,0.59,0.20109333,-9.303529,0.7,-5.8520136,0.07135997,1520.0
0.08163567,7700.0,0.83755237,76,0.43,0.20104729,-10.901154,0.6,-8.942199,0.07129974,1540.0
0.081801616,7800.0,0.83751804,77,0.5,0.20101218,-10.976648,0.7,-7.582778,0.07129551,1560.0
0.081910506,7900.0,0.8376182,78,0.63,0.20105156,-8.351448,0.55,-10.09193,0.07134596,1580.0
0.08202434,8000.0,0.8376174,79,0.62,0.20108359,-9.195072,0.5,-10.771125,0.07127714,1600.0
0.08236782,8100.0,0.83754903,80,0.51,0.20107895,-9.936404,0.5,-7.744193,0.07122631,1620.0
0.08234061,8200.0,0.8375289,81,0.55,0.20107073,-9.583962,0.55,-7.080034,0.07116842,1640.0
0.0825093,8300.0,0.837544,82,0.56,0.20112692,-8.638453,0.65,-8.278536,0.07111336,1660.0
0.082673654,8400.0,0.83757275,83,0.53,0.20115109,-9.809249,0.45,-9.353741,0.07106859,1680.0
0.08283863,8500.0,0.8375578,84,0.61,0.20116274,-8.450602,0.75,-5.963355,0.071044005,1700.0
0.082913965,8600.0,0.8375097,85,0.54,0.20116402,-8.9411335,0.75,-6.2400703,0.070990026,1720.0
0.08298376,8700.0,0.8374844,86,0.67,0.20117486,-7.2407475,0.7,-6.831076,0.07093112,1740.0
0.08333983,8800.0,0.8375139,87,0.5,0.20123652,-9.68351,0.55,-10.071943,0.07092466,1760.0
0.083754756,8900.0,0.83758545,88,0.68,0.20126389,-7.3093996,0.7,-6.8981576,0.07096129,1780.0
0.08391814,9000.0,0.8375984,89,0.62,0.20129837,-8.195078,0.6,-8.819159,0.0709052,1800.0
0.084250726,9100.0,0.8375755,90,0.6,0.20127077,-7.2955346,0.75,-7.0552187,0.07085914,1820.0
0.084567636,9200.0,0.8375921,91,0.63,0.2012479,-8.155892,0.55,-11.274929,0.07088273,1840.0
0.08491531,9300.0,0.837609,92,0.63,0.20123169,-7.8683476,0.8,-4.7488327,0.07096998,1860.0
0.085039474,9400.0,0.83759636,93,0.68,0.20117079,-7.5203156,0.8,-5.2169466,0.07092188,1880.0
0.085418426,9500.0,0.83758926,94,0.69,0.20117335,-6.9556346,0.75,-4.029775,0.07090014,1900.0
0.085615054,9600.0,0.8375383,95,0.59,0.20116465,-7.884462,0.95,-2.4432158,0.07086687,1920.0
0.085920885,9700.0,0.8375135,96,0.72,0.2011459,-7.4292183,0.75,-6.4858475,0.07084482,1940.0
0.08630589,9800.0,0.83749837,97,0.66,0.20112458,-6.775094,0.75,-4.047678,0.070798874,1960.0
0.08665178,9900.0,0.8374968,98,0.66,0.20108892,-6.340254,0.7,-4.2814465,0.070761986,1980.0
0.08710574,10000.0,0.8375375,99,0.61,0.20108455,-6.949293,0.7,-4.4502153,0.07081086,2000.0
0.0874206,10100.0,0.8375357,100,0.66,0.20112598,-6.290514,0.8,-3.1801934,0.070793144,2020.0
0.087830395,10200.0,0.83755046,101,0.73,0.20114921,-5.508708,0.75,-3.5720615,0.07077896,2040.0
0.08821024,10300.0,0.8375914,102,0.74,0.20116645,-5.5208726,0.75,-3.6003127,0.07074579,2060.0
0.08842284,10400.0,0.8376119,103,0.7,0.20121425,-6.340896,0.95,-3.0925653,0.07071232,2080.0
0.08846139,10500.0,0.8376002,104,0.76,0.2012348,-5.5035233,0.75,-5.123328,0.07066926,2100.0
0.088592246,10600.0,0.8376329,105,0.74,0.20126219,-5.443927,0.9,-3.112646,0.07065749,2120.0
0.08885871,10700.0,0.83765537,106,0.74,0.20129456,-6.002897,0.8,-4.185498,0.07064907,2140.0
0.089326166,10800.0,0.8376961,107,0.75,0.20133507,-6.2159686,0.95,-2.1934886,0.07064793,2160.0
0.0893988,10900.0,0.83765507,108,0.79,0.20133743,-5.046726,0.95,-2.9773617,0.07060548,2180.0
0.08961259,11000.0,0.8376406,109,0.74,0.20131923,-5.294963,0.9,-3.6805694,0.0705588,2200.0
0.08980813,11100.0,0.8376696,110,0.75,0.20129053,-5.3992133,0.85,-3.028339,0.07053744,2220.0
0.0899544,11200.0,0.83767986,111,0.72,0.2012956,-5.215916,0.9,-2.941131,0.07049451,2240.0
0.090165965,11300.0,0.8376879,112,0.75,0.20129856,-5.102285,0.85,-2.5897384,0.07046064,2260.0
0.09032468,11400.0,0.83770555,113,0.81,0.20129454,-4.5263386,0.85,-2.264459,0.070424035,2280.0
0.090502545,11500.0,0.83772653,114,0.78,0.20131008,-4.4135957,0.95,-2.6665277,0.07036977,2300.0
0.09060921,11600.0,0.83778286,115,0.77,0.20132649,-4.944935,0.75,-3.4955356,0.070338465,2320.0
0.090841554,11700.0,0.837773,116,0.66,0.20133454,-6.3018055,0.85,-4.137815,0.07034869,2340.0
0.09100328,11800.0,0.8377351,117,0.76,0.20131388,-4.709967,0.9,-3.1206005,0.07034722,2360.0
0.091158144,11900.0,0.8377008,118,0.75,0.20136124,-5.314767,0.95,-2.8885717,0.07032511,2380.0
0.091399126,12000.0,0.83770317,119,0.76,0.20137125,-4.620348,0.75,-3.9400094,0.07030447,2400.0
0.09165388,12100.0,0.8377187,120,0.74,0.20135176,-5.2860255,0.95,-2.7241626,0.07025845,2420.0
0.091845654,12200.0,0.8377452,121,0.84,0.20130955,-4.5072894,0.95,-2.4257376,0.07021817,2440.0
0.09195131,12300.0,0.83775884,122,0.76,0.20131676,-4.2664547,0.95,-1.6333387,0.07019641,2460.0
0.09207309,12400.0,0.8377948,123,0.73,0.20132826,-4.6551533,0.85,-2.610394,0.07018758,2480.0
0.09235112,12500.0,0.8378107,124,0.73,0.20129763,-5.106314,0.9,-2.134995,0.07021462,2500.0
0.09252605,12600.0,0.8377888,125,0.79,0.201294,-4.3644533,0.9,-2.0686674,0.07016463,2520.0
0.09269387,12700.0,0.83781964,126,0.78,0.20126766,-4.709448,0.65,-4.5222683,0.07015867,2540.0
0.092913084,12800.0,0.83781546,127,0.79,0.2012859,-4.8091893,0.85,-2.6708512,0.070143856,2560.0
0.092982695,12900.0,0.8378124,128,0.84,0.20131607,-3.8813677,0.95,-2.1858435,0.07010825,2580.0
0.093060106,13000.0,0.8378491,129,0.86,0.20129676,-3.5175653,1.0,-1.6214479,0.07007949,2600.0
0.09315272,13100.0,0.8378782,130,0.81,0.20132053,-4.0797014,0.9,-2.043494,0.070122205,2620.0
0.093176566,13200.0,0.8378334,131,0.85,0.2012987,-3.7344978,0.85,-1.5845635,0.07009894,2640.0
0.093274154,13300.0,0.8378287,132,0.8,0.20131603,-4.1619234,0.95,-1.8175294,0.070076324,2660.0
0.093423545,13400.0,0.83787984,133,0.82,0.2013599,-4.5560875,0.9,-2.6512237,0.07013066,2680.0
0.09345372,13500.0,0.8378756,134,0.83,0.201365,-3.7624574,0.95,-1.3246589,0.070097126,2700.0
0.09353694,13600.0,0.83789235,135,0.81,0.20140857,-4.383307,1.0,-1.4341282,0.07009065,2720.0
0.09349649,13700.0,0.83790046,136,0.87,0.20139903,-3.298544,0.85,-2.2553313,0.07005373,2740.0
0.093585685,13800.0,0.83789015,137,0.83,0.20138109,-4.3386316,0.95,-1.9243284,0.070055895,2760.0
0.093699865,13900.0,0.8379399,138,0.88,0.20140731,-3.6273034,0.85,-2.3791964,0.070018865,2780.0
0.09376937,14000.0,0.83796096,139,0.87,0.20139585,-3.7802265,1.0,-2.0663462,0.06998045,2800.0
0.09394352,14100.0,0.8379701,140,0.86,0.20144458,-3.852232,0.75,-3.636966,0.069933206,2820.0
0.094165154,14200.0,0.83797413,141,0.76,0.20144229,-4.0907993,0.85,-2.2996857,0.06991138,2840.0
0.09422289,14300.0,0.8379395,142,0.8,0.20142153,-3.9907954,0.9,-2.8404758,0.06987824,2860.0
0.094309054,14400.0,0.8379218,143,0.84,0.20142676,-3.8687809,0.9,-2.6486683,0.06983989,2880.0
0.09450884,14500.0,0.8379328,144,0.82,0.20143288,-4.3639817,0.9,-2.1327252,0.069904596,2900.0
0.0945733,14600.0,0.8379386,145,0.83,0.20148326,-3.4159653,0.9,-2.8933666,0.06987736,2920.0
0.09458909,14700.0,0.83797175,146,0.86,0.20149083,-3.4402883,0.85,-2.2715867,0.06985613,2940.0
0.09458914,14800.0,0.83798933,147,0.77,0.20148699,-3.4895585,0.9,-2.960776,0.0698439,2960.0
0.094677135,14900.0,0.8379821,148,0.83,0.20150027,-3.51723,0.9,-1.8850944,0.06981198,2980.0
0.094815195,15000.0,0.83795875,149,0.76,0.20152117,-4.3507032,0.9,-2.9377942,0.069803916,3000.0
0.09481584,15100.0,0.8379403,150,0.88,0.20153826,-3.564601,1.0,-1.6772516,0.069770984,3020.0
0.09482526,15200.0,0.8379841,151,0.89,0.20157216,-3.4065564,1.0,-1.1815315,0.069735505,3040.0
0.09487493,15300.0,0.8379671,152,0.84,0.2015456,-3.6223748,1.0,-1.6418369,0.06971083,3060.0
0.09490382,15400.0,0.83798367,153,0.83,0.20158026,-3.847038,0.95,-1.9337904,0.0696863,3080.0
0.09501652,15500.0,0.8379677,154,0.82,0.20157112,-3.8340554,0.95,-2.5121613,0.0696617,3100.0
0.09515257,15600.0,0.83795387,155,0.84,0.2016118,-4.0271297,0.95,-2.078112,0.069642566,3120.0
0.09517057,15700.0,0.83792233,156,0.88,0.20160688,-3.907483,0.9,-2.051914,0.069618344,3140.0
0.09520584,15800.0,0.83792686,157,0.87,0.20163006,-3.7874174,1.0,-1.4477398,0.069589116,3160.0
0.095226124,15900.0,0.8378915,158,0.88,0.20165786,-3.7457075,1.0,-1.8105705,0.06956261,3180.0
0.095291965,16000.0,0.8378825,159,0.89,0.20168626,-3.5431643,0.95,-2.5505435,0.0695291,3200.0
0.09530487,16100.0,0.83787745,160,0.88,0.2016932,-3.3263886,0.9,-2.297671,0.06951135,3220.0
0.09533867,16200.0,0.8378876,161,0.83,0.20171554,-3.6710508,0.9,-2.3519835,0.06950401,3240.0
0.09539451,16300.0,0.83787066,162,0.83,0.20175675,-3.8208795,1.0,-1.5766075,0.0694755,3260.0
0.095422946,16400.0,0.83786064,163,0.82,0.20176788,-3.67349,1.0,-1.1329564,0.0694472,3280.0
0.09549567,16500.0,0.8378908,164,0.89,0.20178372,-3.3665717,1.0,-1.5735432,0.06943812,3300.0
0.09556488,16600.0,0.8378919,165,0.87,0.20180619,-3.9831686,0.95,-1.6660144,0.06945672,3320.0
0.09557868,16700.0,0.8379268,166,0.86,0.20183215,-3.6035168,1.0,-1.9988962,0.06949227,3340.0
0.09564427,16800.0,0.8379671,167,0.87,0.20184048,-3.6683807,1.0,-1.7248805,0.06949085,3360.0
0.095669396,16900.0,0.8379729,168,0.86,0.20183761,-3.3517,1.0,-1.7572092,0.06947284,3380.0
0.09576812,17000.0,0.83798534,169,0.84,0.20186166,-3.7359414,0.95,-1.4673016,0.06944464,3400.0
0.095868595,17100.0,0.837972,170,0.86,0.20187739,-3.6563241,0.95,-1.6081965,0.069470756,3420.0
0.09590224,17200.0,0.83799314,171,0.85,0.20189428,-3.2841244,0.95,-1.6044868,0.06945527,3440.0
0.09585824,17300.0,0.83803755,172,0.91,0.20191267,-3.1604688,0.95,-1.3847003,0.069431335,3460.0
0.09589716,17400.0,0.8380534,173,0.85,0.20191759,-3.3350146,1.0,-1.3823632,0.06941513,3480.0
0.09596539,17500.0,0.8380358,174,0.85,0.20191392,-3.266555,0.95,-1.7283173,0.06939293,3500.0
0.09598306,17600.0,0.8380591,175,0.86,0.20190853,-3.4729443,0.95,-1.1424237,0.06937399,3520.0
0.095990956,17700.0,0.8381149,176,0.9,0.20193459,-3.182563,0.95,-1.7848294,0.069379516,3540.0
0.09606624,17800.0,0.838119,177,0.81,0.2019415,-3.3092184,1.0,-1.0540395,0.069363594,3560.0
0.096055605,17900.0,0.83811545,178,0.85,0.20199366,-3.4558234,1.0,-2.056681,0.06934576,3580.0
0.09605111,18000.0,0.8381092,179,0.89,0.20199326,-3.1128998,1.0,-1.389335,0.06936262,3600.0
0.09607086,18100.0,0.83814555,180,0.86,0.20201758,-2.7270203,1.0,-1.2788149,0.069338836,3620.0
0.09606003,18200.0,0.83816004,181,0.92,0.20202188,-2.866393,0.95,-1.6986538,0.069322854,3640.0
0.096103296,18300.0,0.8381427,182,0.86,0.2020194,-3.057887,1.0,-1.6783854,0.069295704,3660.0
0.09602892,18400.0,0.8381881,183,0.9,0.20203842,-2.653035,0.9,-1.6544968,0.069266,3680.0
0.095968924,18500.0,0.83817893,184,0.86,0.20203719,-3.4715302,0.95,-1.5666938,0.06925161,3700.0
0.09593937,18600.0,0.8381806,185,0.94,0.202036,-2.7063293,1.0,-1.5025376,0.06922555,3720.0
0.09605111,18700.0,0.8381669,186,0.86,0.20203799,-3.2788448,0.95,-1.1961731,0.06920647,3740.0
0.09604285,18800.0,0.8382153,187,0.89,0.20206694,-3.257076,1.0,-1.6156048,0.06923202,3760.0
0.09610072,18900.0,0.83826685,188,0.94,0.20207955,-2.9712985,0.95,-1.5145966,0.06920721,3780.0
0.09608272,19000.0,0.83824855,189,0.89,0.2020817,-2.4883108,1.0,-1.9215753,0.06918846,3800.0
0.09606383,19100.0,0.838257,190,0.92,0.20208599,-3.0163665,1.0,-1.3003857,0.0691741,3820.0
0.09608423,19200.0,0.8382508,191,0.89,0.20209676,-2.677217,0.95,-2.5333676,0.069160916,3840.0
0.096072264,19300.0,0.83826405,192,0.91,0.2020956,-2.9730825,1.0,-1.5552099,0.06913871,3860.0
0.09613803,19400.0,0.83824086,193,0.86,0.20209682,-3.3068743,1.0,-1.4617487,0.069164015,3880.0
0.09613346,19500.0,0.83824414,194,0.91,0.20210558,-3.0749629,1.0,-1.4069498,0.06915369,3900.0
0.09609487,19600.0,0.83825177,195,0.89,0.20210223,-2.8429518,0.95,-1.664119,0.06914068,3920.0
0.096084796,19700.0,0.83822155,196,0.88,0.20209754,-2.6833878,1.0,-1.3929412,0.06911727,3940.0
0.09613807,19800.0,0.83823776,197,0.88,0.20211111,-3.3423803,0.95,-1.6420562,0.06910548,3960.0
0.09618385,19900.0,0.8382022,198,0.85,0.20208913,-2.9182568,1.0,-1.4541768,0.06907899,3980.0
0.096154146,20000.0,0.83820826,199,0.92,0.2021031,-2.6166434,0.95,-1.4592944,0.06905466,4000.0
