test/mean_Q,train/success_rate,train/episode,stats_o/std,stats_g/std,stats_o/mean,stats_g/mean,test/success_rate,train/mean_Q,epoch,test/episode
-4.227405,0.66,5700.0,0.08786006,0.087446,0.20116068,0.83728725,0.9,-7.7010646,56,1140.0
-5.421756,0.71,5800.0,0.08812852,0.08729839,0.20120661,0.8373549,0.8,-7.378511,57,1160.0
-4.951618,0.73,5900.0,0.08798589,0.08710221,0.20123577,0.83722216,0.75,-6.595979,58,1180.0
-2.7902706,0.77,6000.0,0.088270806,0.08694477,0.20124726,0.8371796,0.9,-7.3409357,59,1200.0
-4.679896,0.74,6100.0,0.08823603,0.08674524,0.20126365,0.83723515,0.9,-5.697691,60,1220.0
-4.1424074,0.67,6200.0,0.08859668,0.08662685,0.20140165,0.8373759,0.75,-7.246966,61,1240.0
-4.503983,0.69,6300.0,0.08876982,0.08655276,0.2014417,0.83732146,0.75,-6.3987637,62,1260.0
-5.797333,0.7,6400.0,0.089152634,0.08643962,0.20133235,0.83721375,0.65,-6.0822773,63,1280.0
-3.26124,0.71,6500.0,0.08941667,0.086337514,0.20141706,0.8372275,0.95,-6.8170314,64,1300.0
-4.2851205,0.76,6600.0,0.09007223,0.08625618,0.20134088,0.83723134,0.8,-6.1607294,65,1320.0
-4.413521,0.66,6700.0,0.09010509,0.08618059,0.20139046,0.83714384,0.75,-6.1446366,66,1340.0
-3.9504929,0.73,6800.0,0.09050521,0.08615976,0.2013896,0.8372204,0.8,-6.1516075,67,1360.0
-3.9425209,0.77,6900.0,0.090607546,0.08600483,0.20142071,0.8372011,0.75,-5.0237865,68,1380.0
-3.9285533,0.7,7000.0,0.0909649,0.08589379,0.20138708,0.83717006,0.75,-5.509382,69,1400.0
-3.946104,0.73,7100.0,0.09128591,0.08588185,0.20133147,0.8371518,0.7,-5.867067,70,1420.0
-2.942882,0.7,7200.0,0.09166216,0.08583932,0.20132901,0.837166,0.9,-5.8024626,71,1440.0
-3.832419,0.83,7300.0,0.0918856,0.0857639,0.20135875,0.83721465,0.85,-4.7526417,72,1460.0
-3.427451,0.81,7400.0,0.091982774,0.085656226,0.20141457,0.8372504,0.9,-4.858154,73,1480.0
-3.6914692,0.84,7500.0,0.0920819,0.085589804,0.20144694,0.83726406,0.85,-5.0066204,74,1500.0
-2.7255273,0.85,7600.0,0.092134684,0.08546188,0.20146069,0.83722615,0.9,-4.8049593,75,1520.0
-3.2176747,0.83,7700.0,0.09225421,0.085445665,0.20144184,0.8372287,0.95,-5.1580815,76,1540.0
-3.916106,0.85,7800.0,0.09216136,0.08544027,0.2014629,0.8372523,0.8,-4.0407305,77,1560.0
-3.397387,0.79,7900.0,0.0926248,0.08537257,0.20151198,0.83728486,0.95,-4.865348,78,1580.0
-2.2163885,0.9,8000.0,0.09276507,0.08522984,0.20157023,0.83730596,0.9,-4.082826,79,1600.0
-2.38382,0.85,8100.0,0.0927701,0.08514679,0.2015671,0.8373153,1.0,-4.2622814,80,1620.0
-2.6773639,0.85,8200.0,0.09287036,0.0850433,0.20157424,0.8373124,0.95,-4.2207313,81,1640.0
