test/mean_Q,train/episode,stats_o/mean,train/success_rate,stats_o/std,stats_g/mean,test/episode,train/mean_Q,stats_g/std,test/success_rate,epoch
-22.79696,5700.0,0.20353642,0.12,0.09285501,0.84090376,1140.0,-24.711304,0.097240575,0.15,56
-28.937494,5800.0,0.20355536,0.12,0.09329579,0.84085006,1160.0,-24.08611,0.09735816,0.05,57
-21.428497,5900.0,0.20353898,0.17,0.09358325,0.84090275,1180.0,-22.418526,0.09720405,0.15,58
-21.067919,6000.0,0.20351636,0.12,0.0940887,0.84086776,1200.0,-22.92935,0.09730139,0.15,59
-19.405254,6100.0,0.20349987,0.12,0.09452543,0.84084064,1220.0,-24.005753,0.097567774,0.35,60
-25.15131,6200.0,0.20345648,0.13,0.09495576,0.84082943,1240.0,-23.71311,0.09759358,0.05,61
-15.465444,6300.0,0.2034124,0.17,0.095199354,0.8409359,1260.0,-25.50794,0.09751978,0.1,62
-19.813591,6400.0,0.20344001,0.16,0.09592435,0.8408682,1280.0,-21.287148,0.097595595,0.15,63
-18.32441,6500.0,0.20347956,0.15,0.096423,0.840815,1300.0,-22.844952,0.097660996,0.25,64
-21.85748,6600.0,0.20342463,0.16,0.096867904,0.8407769,1320.0,-23.584766,0.09786243,0.1,65
-23.927608,6700.0,0.2035603,0.15,0.097685106,0.8408518,1340.0,-21.667873,0.09774038,0.2,66
-29.106165,6800.0,0.20359644,0.21,0.09811029,0.8408815,1360.0,-20.762896,0.09766223,0.1,67
-21.882805,6900.0,0.20352311,0.17,0.09872197,0.84073776,1380.0,-22.116772,0.09793828,0.25,68
-21.330462,7000.0,0.203587,0.23,0.09896512,0.84083486,1400.0,-22.274137,0.097953,0.25,69
-28.598413,7100.0,0.20363073,0.18,0.099542245,0.84079283,1420.0,-21.78555,0.09814247,0.05,70
-16.539637,7200.0,0.20368098,0.17,0.09995846,0.8408978,1440.0,-22.441381,0.09808368,0.2,71
-18.232126,7300.0,0.20367134,0.15,0.1003434,0.8409605,1460.0,-23.294912,0.09826195,0.3,72
-15.27744,7400.0,0.20367509,0.14,0.100665286,0.8410353,1480.0,-23.09532,0.09846414,0.5,73
-18.593569,7500.0,0.2036274,0.2,0.10123345,0.8410104,1500.0,-21.2707,0.0985538,0.15,74
-17.61455,7600.0,0.20363794,0.2,0.101604566,0.84096783,1520.0,-20.409271,0.098536015,0.3,75
-24.520319,7700.0,0.2036402,0.25,0.10191343,0.84097815,1540.0,-19.56514,0.09852848,0.1,76
-16.648073,7800.0,0.20358263,0.26,0.10210588,0.8409919,1560.0,-20.984808,0.098508894,0.2,77
-24.322056,7900.0,0.20352468,0.29,0.10238914,0.84093255,1580.0,-18.716024,0.098422326,0.35,78
-19.780128,8000.0,0.20358156,0.22,0.10292098,0.84095925,1600.0,-22.452147,0.09860382,0.25,79
-15.5416355,8100.0,0.20361908,0.25,0.10336226,0.84090143,1620.0,-20.736462,0.09875598,0.35,80
-20.129227,8200.0,0.20368424,0.29,0.1037834,0.84093577,1640.0,-21.711699,0.098905824,0.45,81
-14.234827,8300.0,0.20360763,0.32,0.10405897,0.8410092,1660.0,-17.922098,0.09881491,0.4,82
-18.334492,8400.0,0.20353712,0.28,0.104551345,0.8410294,1680.0,-19.250008,0.09895843,0.35,83
-18.822058,8500.0,0.20354284,0.25,0.10482751,0.8411024,1700.0,-22.590096,0.09886244,0.45,84
-19.195063,8600.0,0.20350713,0.3,0.10511732,0.8411114,1720.0,-18.495338,0.09878982,0.3,85
-16.01315,8700.0,0.20352153,0.32,0.105516285,0.8411549,1740.0,-19.157303,0.09875495,0.45,86
-14.741015,8800.0,0.20350233,0.31,0.105686165,0.8411035,1760.0,-21.257967,0.09872111,0.5,87
-18.374298,8900.0,0.20356698,0.28,0.10583499,0.8411277,1780.0,-22.311424,0.09861448,0.4,88
-20.793762,9000.0,0.20353691,0.27,0.106002,0.8411649,1800.0,-22.12353,0.09857156,0.35,89
