train/mean_Q,test/success_rate,test/mean_Q,test/episode,train/episode,stats_o/mean,stats_g/std,stats_o/std,stats_g/mean,epoch,train/success_rate
-26.975937,0.0,-27.871155,860.0,4300.0,0.20435226,0.092681855,0.07913914,0.84250945,42,0.08
-26.391733,0.05,-24.075726,880.0,4400.0,0.20436844,0.09260019,0.079723455,0.8423837,43,0.03
-26.523039,0.05,-26.68935,900.0,4500.0,0.2043913,0.09308159,0.08065356,0.8423288,44,0.07
-26.115437,0.1,-25.886051,920.0,4600.0,0.20443785,0.093341075,0.081499726,0.8423448,45,0.1
-27.205338,0.15,-28.840006,940.0,4700.0,0.20443909,0.09330789,0.081770934,0.8422852,46,0.07
-26.870388,0.15,-23.01453,960.0,4800.0,0.20446655,0.09326828,0.08217636,0.84224033,47,0.03
-24.942966,0.1,-27.229193,980.0,4900.0,0.20454054,0.09324735,0.08250564,0.84229374,48,0.09
-27.890709,0.0,-31.634542,1000.0,5000.0,0.20454276,0.09308509,0.08293554,0.8423793,49,0.03
-25.31353,0.05,-26.714825,1020.0,5100.0,0.20455222,0.092946984,0.08327396,0.84231853,50,0.11
-24.77073,0.1,-28.71025,1040.0,5200.0,0.2045397,0.093115896,0.08371994,0.8421361,51,0.09
-26.86037,0.1,-28.640238,1060.0,5300.0,0.20448567,0.09308114,0.08398462,0.84219176,52,0.05
-22.860092,0.2,-24.459265,1080.0,5400.0,0.20451666,0.092957504,0.08473307,0.842098,53,0.14
-24.250551,0.0,-26.763134,1100.0,5500.0,0.2044776,0.092953764,0.08474335,0.8419532,54,0.12
-25.157753,0.0,-28.315165,1120.0,5600.0,0.20445934,0.09296117,0.08474533,0.84198403,55,0.07
-26.96033,0.0,-26.714031,1140.0,5700.0,0.20448193,0.09293213,0.08506261,0.8420288,56,0.05
-26.499718,0.0,-29.322983,1160.0,5800.0,0.20446312,0.09302011,0.08531308,0.8419536,57,0.03
-23.89113,0.2,-22.511833,1180.0,5900.0,0.20446792,0.09291994,0.08544955,0.84201074,58,0.07
-23.313553,0.05,-22.471521,1200.0,6000.0,0.20441632,0.09281867,0.08573417,0.8419046,59,0.03
-25.146757,0.15,-22.61383,1220.0,6100.0,0.20436537,0.09280157,0.08569992,0.8418122,60,0.08
-25.502884,0.1,-26.084042,1240.0,6200.0,0.20434017,0.092782974,0.08579451,0.84176046,61,0.12
-26.940065,0.1,-19.832642,1260.0,6300.0,0.20435724,0.09271819,0.085842915,0.8418161,62,0.07
-23.742676,0.05,-22.988413,1280.0,6400.0,0.20430256,0.092626505,0.08620385,0.8418414,63,0.09
-24.620544,0.05,-21.552927,1300.0,6500.0,0.20425382,0.09255358,0.08636011,0.84177715,64,0.04
-27.286743,0.05,-24.50832,1320.0,6600.0,0.20424469,0.092637755,0.08664056,0.84177643,65,0.04
-25.775658,0.0,-27.49122,1340.0,6700.0,0.20424204,0.092612825,0.086870976,0.84181476,66,0.05
-25.615585,0.15,-28.568325,1360.0,6800.0,0.20425533,0.09263987,0.08703599,0.8418762,67,0.08
-24.730968,0.05,-25.220346,1380.0,6900.0,0.20418145,0.09269766,0.08741611,0.84178066,68,0.09
-26.23786,0.15,-26.321075,1400.0,7000.0,0.2041757,0.0928548,0.08790964,0.8418203,69,0.11
-25.024843,0.05,-31.909582,1420.0,7100.0,0.20422146,0.09289462,0.08858206,0.8419029,70,0.11
-26.524937,0.2,-19.5646,1440.0,7200.0,0.20425263,0.09291223,0.089021854,0.84203607,71,0.1
-27.099104,0.25,-22.16057,1460.0,7300.0,0.20425165,0.09284381,0.08939023,0.8420693,72,0.08
-26.28099,0.05,-23.48301,1480.0,7400.0,0.20424503,0.092808954,0.08952322,0.84211606,73,0.09
-25.116005,0.45,-17.646402,1500.0,7500.0,0.20427248,0.09291318,0.089738436,0.84210235,74,0.12
-23.997536,0.15,-25.113125,1520.0,7600.0,0.20423017,0.09283193,0.08994072,0.8421455,75,0.11
-25.203886,0.2,-24.600397,1540.0,7700.0,0.20431107,0.092986286,0.09036493,0.84216523,76,0.14
-25.097454,0.0,-23.051594,1560.0,7800.0,0.20433679,0.09308853,0.09089103,0.8421785,77,0.11
-22.692595,0.15,-27.621119,1580.0,7900.0,0.20429817,0.09320649,0.09112154,0.84202045,78,0.1
-25.908018,0.25,-22.621275,1600.0,8000.0,0.2042788,0.0933873,0.09138617,0.84203726,79,0.14
-24.392532,0.3,-17.268393,1620.0,8100.0,0.2042776,0.09339576,0.09176178,0.8420468,80,0.15
-25.043789,0.15,-24.52229,1640.0,8200.0,0.2043222,0.09339466,0.09214015,0.8421564,81,0.14
-23.344873,0.3,-16.682556,1660.0,8300.0,0.20435274,0.09345286,0.09262261,0.84217685,82,0.12
-22.650375,0.05,-24.267397,1680.0,8400.0,0.2043735,0.09342491,0.09301005,0.84224206,83,0.1
-26.80782,0.3,-22.054523,1700.0,8500.0,0.20443219,0.09346471,0.09331544,0.84231836,84,0.13
-23.110285,0.15,-22.786537,1720.0,8600.0,0.20444979,0.093593836,0.09374684,0.84232664,85,0.13
-23.117617,0.2,-20.784622,1740.0,8700.0,0.20438784,0.09351105,0.09406155,0.84237176,86,0.15
-25.629595,0.25,-19.617725,1760.0,8800.0,0.20431775,0.09354493,0.0944325,0.84232783,87,0.11
-27.114117,0.2,-22.339985,1780.0,8900.0,0.20433196,0.093604036,0.09463348,0.8423615,88,0.12
-26.558538,0.15,-26.656519,1800.0,9000.0,0.20427604,0.09362209,0.0950427,0.842356,89,0.11
-24.513138,0.25,-25.311403,1820.0,9100.0,0.20426476,0.09359151,0.095298745,0.84242374,90,0.17
-22.543774,0.2,-22.771713,1840.0,9200.0,0.2042786,0.09363692,0.095585324,0.8425053,91,0.18
-23.867874,0.15,-31.226831,1860.0,9300.0,0.20429909,0.093687594,0.09604056,0.84255546,92,0.21
-22.946777,0.2,-25.621521,1880.0,9400.0,0.20432895,0.093892395,0.09645346,0.84258896,93,0.1
-26.32187,0.15,-26.633224,1900.0,9500.0,0.20433265,0.09396297,0.09665771,0.8424814,94,0.17
-24.153408,0.3,-17.608078,1920.0,9600.0,0.20438142,0.09393728,0.09690154,0.84256864,95,0.14
-24.818506,0.2,-21.147022,1940.0,9700.0,0.20438555,0.09399676,0.097342625,0.8425421,96,0.14
-27.337324,0.1,-24.569185,1960.0,9800.0,0.2044324,0.09402377,0.09749241,0.84257585,97,0.1
-24.488953,0.15,-24.958267,1980.0,9900.0,0.2044226,0.09418717,0.097897775,0.8426904,98,0.14
-22.997662,0.1,-26.628849,2000.0,10000.0,0.2044198,0.094261706,0.09814532,0.8426809,99,0.19
-22.361616,0.35,-17.999823,2020.0,10100.0,0.20439129,0.09454598,0.098547935,0.842627,100,0.18
-25.940313,0.3,-23.344969,2040.0,10200.0,0.20440476,0.094553195,0.0988265,0.84261894,101,0.14
-23.946129,0.15,-24.331604,2060.0,10300.0,0.20440288,0.09468677,0.09917382,0.8426264,102,0.17
-23.254272,0.15,-23.661375,2080.0,10400.0,0.2044305,0.0947406,0.0994779,0.84266824,103,0.16
-23.118494,0.3,-18.109787,2100.0,10500.0,0.2044318,0.094749965,0.09985471,0.8426228,104,0.17
-20.271059,0.15,-29.215307,2120.0,10600.0,0.20443854,0.09477103,0.10013369,0.8425438,105,0.29
-23.179821,0.3,-19.618979,2140.0,10700.0,0.2043992,0.09480103,0.10034187,0.842521,106,0.21
-25.306177,0.3,-21.208801,2160.0,10800.0,0.20438534,0.09481167,0.10052428,0.84257823,107,0.21
-21.971386,0.1,-28.89473,2180.0,10900.0,0.20440947,0.09478613,0.10070269,0.84255725,108,0.25
-21.283615,0.35,-24.691751,2200.0,11000.0,0.2044147,0.09469405,0.10078485,0.84254503,109,0.25
-22.503244,0.3,-20.744965,2220.0,11100.0,0.2044821,0.09466175,0.10102673,0.8425881,110,0.2
-24.34553,0.25,-24.623386,2240.0,11200.0,0.20446347,0.094667874,0.10122885,0.84263736,111,0.26
-24.395317,0.4,-19.472147,2260.0,11300.0,0.20445843,0.09471627,0.10151884,0.8426986,112,0.21
-23.097935,0.25,-24.206451,2280.0,11400.0,0.20452051,0.09476662,0.101802036,0.84277326,113,0.22
-23.86975,0.25,-28.733479,2300.0,11500.0,0.20453471,0.094698496,0.10204675,0.84278893,114,0.23
-22.487999,0.45,-22.88841,2320.0,11600.0,0.20456097,0.09461344,0.102388166,0.8427841,115,0.24
-22.342775,0.2,-24.783731,2340.0,11700.0,0.20451267,0.09458718,0.10257588,0.8427909,116,0.31
-21.890217,0.25,-23.656368,2360.0,11800.0,0.20449734,0.09454108,0.10286397,0.8428386,117,0.32
-22.180763,0.3,-22.33136,2380.0,11900.0,0.20450374,0.09453437,0.10304532,0.8428969,118,0.28
-23.232708,0.25,-21.626362,2400.0,12000.0,0.20453306,0.09451512,0.103342846,0.8429012,119,0.31
-27.039246,0.25,-21.503832,2420.0,12100.0,0.20450819,0.09458715,0.10354779,0.84289485,120,0.25
-27.1805,0.35,-13.736552,2440.0,12200.0,0.20452613,0.09466342,0.103801794,0.8429475,121,0.2
-24.053139,0.55,-14.891528,2460.0,12300.0,0.20453636,0.09466627,0.10418387,0.8429138,122,0.28
-22.567455,0.3,-15.552088,2480.0,12400.0,0.20456289,0.09464425,0.10424485,0.84292704,123,0.29
-24.643293,0.45,-23.279179,2500.0,12500.0,0.20451573,0.09459355,0.104492694,0.84292096,124,0.18
-23.62233,0.35,-24.427938,2520.0,12600.0,0.20454066,0.094792224,0.10477022,0.8429075,125,0.25
-24.791712,0.25,-21.704214,2540.0,12700.0,0.20453759,0.09489337,0.104979955,0.84291035,126,0.22
-25.139729,0.5,-17.566143,2560.0,12800.0,0.20457304,0.09492639,0.10518846,0.8429063,127,0.27
-24.513802,0.2,-24.489124,2580.0,12900.0,0.20458326,0.09495745,0.105403356,0.84288615,128,0.21
-23.497122,0.55,-18.684332,2600.0,13000.0,0.20453149,0.09513349,0.10566347,0.842901,129,0.32
-22.718557,0.6,-18.416695,2620.0,13100.0,0.2045155,0.09514884,0.10603407,0.8428755,130,0.31
-23.220999,0.5,-16.154583,2640.0,13200.0,0.20450123,0.095146306,0.10621101,0.84289855,131,0.25
-23.530628,0.4,-21.131668,2660.0,13300.0,0.20452447,0.09516105,0.10635941,0.8429079,132,0.3
-24.233027,0.3,-23.286808,2680.0,13400.0,0.20453739,0.09510868,0.10651875,0.84292704,133,0.27
-22.408175,0.4,-23.596188,2700.0,13500.0,0.2045462,0.09510148,0.1066083,0.84301645,134,0.31
-22.020044,0.4,-21.993612,2720.0,13600.0,0.20454425,0.09510812,0.10677783,0.8430378,135,0.37
-21.942513,0.5,-18.757282,2740.0,13700.0,0.20452096,0.095134996,0.10693919,0.8430198,136,0.32
-21.563805,0.15,-28.374945,2760.0,13800.0,0.2045222,0.09513653,0.1071591,0.84300464,137,0.26
-23.440012,0.65,-14.268051,2780.0,13900.0,0.2045558,0.09517058,0.10736637,0.8430068,138,0.32
-21.192373,0.7,-11.305988,2800.0,14000.0,0.20455436,0.095146745,0.107526064,0.8430067,139,0.37
-20.8345,0.45,-15.462377,2820.0,14100.0,0.20459719,0.09521473,0.107726105,0.8430474,140,0.38
-23.231884,0.35,-19.482395,2840.0,14200.0,0.20453079,0.09519416,0.108002126,0.8430481,141,0.32
-22.957375,0.15,-28.764484,2860.0,14300.0,0.20451483,0.0952334,0.10823499,0.8430502,142,0.3
-21.72779,0.35,-23.734728,2880.0,14400.0,0.20452978,0.09521314,0.1083226,0.84307027,143,0.3
-20.736994,0.5,-16.032574,2900.0,14500.0,0.20453605,0.09516122,0.10836839,0.84308654,144,0.34
-21.793259,0.4,-13.924617,2920.0,14600.0,0.20451373,0.09514546,0.108511426,0.84306794,145,0.34
-16.993755,0.35,-23.222527,2940.0,14700.0,0.2045009,0.095232256,0.108795136,0.84309196,146,0.4
-19.78587,0.25,-22.489769,2960.0,14800.0,0.20446435,0.09531338,0.10911063,0.84313536,147,0.27
-18.889965,0.4,-15.972524,2980.0,14900.0,0.20441766,0.09533458,0.10932559,0.8431499,148,0.32
-14.295338,0.35,-18.53305,3000.0,15000.0,0.20434284,0.095300905,0.10958958,0.84315014,149,0.4
-17.877373,0.3,-14.818967,3020.0,15100.0,0.20436469,0.09528828,0.109731935,0.8432143,150,0.33
-14.223137,0.3,-14.125867,3040.0,15200.0,0.20434788,0.095215894,0.10988991,0.8432536,151,0.46
-13.164376,0.5,-6.4287834,3060.0,15300.0,0.20433895,0.09514809,0.11025892,0.84325224,152,0.34
-13.322666,0.45,-12.361949,3080.0,15400.0,0.20432793,0.095127106,0.11047833,0.843235,153,0.32
-10.952193,0.4,-8.985277,3100.0,15500.0,0.20428398,0.0950916,0.11082298,0.84323144,154,0.42
-11.431624,0.45,-8.406416,3120.0,15600.0,0.20426603,0.095030926,0.11118065,0.8432409,155,0.38
-12.806113,0.5,-7.999091,3140.0,15700.0,0.20427781,0.09497235,0.1114173,0.84324104,156,0.35
-12.620454,0.45,-8.807598,3160.0,15800.0,0.20422213,0.09493238,0.111699484,0.8432183,157,0.34
-15.060925,0.45,-8.789403,3180.0,15900.0,0.20422901,0.09488067,0.11186112,0.84321946,158,0.31
-14.783984,0.35,-13.59375,3200.0,16000.0,0.20424551,0.09486369,0.1120256,0.84322095,159,0.31
-12.789967,0.4,-14.875691,3220.0,16100.0,0.20423469,0.094805904,0.11209592,0.8432118,160,0.36
-15.708696,0.65,-10.381394,3240.0,16200.0,0.20420708,0.09482392,0.11221619,0.8431775,161,0.34
-14.456322,0.35,-14.761434,3260.0,16300.0,0.20420673,0.09476147,0.11238012,0.8432066,162,0.35
-14.767555,0.6,-9.5841675,3280.0,16400.0,0.20421799,0.0947603,0.11243376,0.8431975,163,0.35
-15.411586,0.2,-20.881893,3300.0,16500.0,0.2042135,0.09473824,0.11248532,0.8431695,164,0.37
-14.8808975,0.4,-12.892389,3320.0,16600.0,0.2041803,0.0947344,0.112568356,0.8431844,165,0.4
-16.704622,0.4,-16.35793,3340.0,16700.0,0.20414132,0.09471893,0.11273514,0.84320194,166,0.4
-18.995514,0.25,-17.906029,3360.0,16800.0,0.2041126,0.094801635,0.11292514,0.84327,167,0.3
-15.942109,0.65,-10.64374,3380.0,16900.0,0.20407371,0.09482413,0.1130815,0.8432837,168,0.48
-16.537226,0.55,-15.324475,3400.0,17000.0,0.20405638,0.0948007,0.11310857,0.84326774,169,0.4
-20.119905,0.3,-20.771719,3420.0,17100.0,0.20404793,0.09478771,0.11316907,0.84321517,170,0.28
-17.932945,0.5,-14.508371,3440.0,17200.0,0.20403358,0.094742574,0.1132307,0.8431864,171,0.36
-17.8772,0.35,-19.72977,3460.0,17300.0,0.2040259,0.09471653,0.113407806,0.8432043,172,0.36
-17.677477,0.7,-10.309955,3480.0,17400.0,0.20401378,0.094696514,0.113520786,0.8432258,173,0.38
-17.674694,0.45,-20.515623,3500.0,17500.0,0.20396957,0.094644256,0.11357605,0.8432072,174,0.42
-18.631622,0.65,-10.368372,3520.0,17600.0,0.20395423,0.09468731,0.11370738,0.8431935,175,0.41
-19.14759,0.5,-16.766285,3540.0,17700.0,0.20392448,0.09469893,0.113864765,0.843205,176,0.37
-19.018967,0.65,-13.459082,3560.0,17800.0,0.20389777,0.09470514,0.11396083,0.84320766,177,0.37
-18.787895,0.5,-17.245007,3580.0,17900.0,0.20389555,0.09468413,0.114061154,0.8431646,178,0.42
-17.223944,0.5,-17.9109,3600.0,18000.0,0.203893,0.09472794,0.11418457,0.84317714,179,0.44
-19.172207,0.65,-13.725065,3620.0,18100.0,0.20386899,0.0947,0.11428645,0.84317905,180,0.41
-19.483404,0.5,-18.720654,3640.0,18200.0,0.20386834,0.09470874,0.11435508,0.8431854,181,0.44
-17.087511,0.55,-15.100485,3660.0,18300.0,0.20387746,0.094665505,0.11448461,0.8431775,182,0.47
-15.625108,0.55,-16.584064,3680.0,18400.0,0.2038453,0.09464394,0.1146348,0.84317607,183,0.5
-18.115927,0.5,-19.271774,3700.0,18500.0,0.20384698,0.0946613,0.11469555,0.8431595,184,0.47
-19.51143,0.4,-19.978357,3720.0,18600.0,0.20383336,0.094728194,0.114810646,0.84316367,185,0.39
-18.910416,0.65,-12.469903,3740.0,18700.0,0.20382196,0.09472234,0.11486509,0.84315807,186,0.47
-18.104872,0.6,-16.286198,3760.0,18800.0,0.20381375,0.094749115,0.11490795,0.8431142,187,0.46
-21.033098,0.4,-24.255665,3780.0,18900.0,0.2038173,0.094747074,0.11499094,0.8431421,188,0.4
-22.552465,0.55,-17.842161,3800.0,19000.0,0.20378985,0.09474692,0.11501401,0.84311587,189,0.37
-17.411373,0.35,-25.16774,3820.0,19100.0,0.2037994,0.094779156,0.115168236,0.843128,190,0.48
-18.987127,0.7,-12.919627,3840.0,19200.0,0.20378761,0.094768606,0.11519045,0.8431475,191,0.46
-21.09639,0.6,-15.268087,3860.0,19300.0,0.2038024,0.094851255,0.11524966,0.84313804,192,0.44
-19.272606,0.55,-16.283035,3880.0,19400.0,0.20380805,0.094821334,0.115288876,0.84311056,193,0.47
-19.26113,0.6,-15.809572,3900.0,19500.0,0.20380758,0.094823115,0.11533969,0.84313273,194,0.46
-17.903769,0.35,-23.89592,3920.0,19600.0,0.20380014,0.09478018,0.11531585,0.8431516,195,0.54
-19.088217,0.5,-16.00163,3940.0,19700.0,0.20377985,0.09473219,0.11530621,0.84315187,196,0.46
-20.916265,0.6,-13.3711195,3960.0,19800.0,0.2037705,0.09475123,0.11539285,0.8431149,197,0.43
-17.25956,0.4,-24.054909,3980.0,19900.0,0.20377886,0.09471037,0.115451545,0.8431301,198,0.52
-19.742872,0.5,-19.514091,4000.0,20000.0,0.2037707,0.09470317,0.11544953,0.84313637,199,0.5
