test/episode,test/mean_Q,stats_o/mean,stats_g/mean,test/success_rate,train/success_rate,train/episode,stats_g/std,train/mean_Q,stats_o/std,epoch
380.0,-22.392435,0.20365788,0.84161097,0.1,0.04,1900.0,0.09558737,-22.854727,0.07187837,18
400.0,-21.676935,0.20377392,0.8413644,0.15,0.04,2000.0,0.09569285,-22.826494,0.07362506,19
420.0,-21.060505,0.20382883,0.8412984,0.1,0.07,2100.0,0.096036375,-22.46187,0.0746246,20
440.0,-22.404232,0.20402567,0.84145546,0.05,0.04,2200.0,0.095998414,-23.786053,0.07523278,21
460.0,-20.566847,0.2039867,0.8411371,0.05,0.04,2300.0,0.09654659,-23.361134,0.0765018,22
480.0,-25.194324,0.203953,0.84122396,0.0,0.05,2400.0,0.09629056,-23.37029,0.07646596,23
500.0,-22.215973,0.20399266,0.8409955,0.05,0.06,2500.0,0.09681318,-23.024569,0.07750259,24
520.0,-21.989254,0.20404439,0.8411048,0.15,0.05,2600.0,0.096821874,-23.569094,0.077953875,25
540.0,-24.059978,0.20415951,0.8416055,0.0,0.09,2700.0,0.097741105,-21.99866,0.07903621,26
560.0,-22.867466,0.20417526,0.8416462,0.1,0.08,2800.0,0.098146625,-21.851145,0.07964991,27
580.0,-20.790518,0.20418371,0.84154886,0.15,0.04,2900.0,0.09821049,-23.339678,0.08053531,28
600.0,-19.972187,0.20423938,0.8415448,0.15,0.05,3000.0,0.09836393,-22.870808,0.08130081,29
620.0,-28.313877,0.2041868,0.8415642,0.05,0.08,3100.0,0.09814324,-21.015114,0.08163491,30
640.0,-23.137087,0.20411544,0.84144115,0.1,0.13,3200.0,0.09795916,-20.252111,0.08204066,31
660.0,-16.333872,0.2040683,0.8413722,0.15,0.08,3300.0,0.09793464,-20.296625,0.082036495,32
680.0,-22.250412,0.20418471,0.84157306,0.05,0.08,3400.0,0.09774643,-20.001213,0.0825072,33
700.0,-20.664028,0.20429152,0.84166414,0.1,0.14,3500.0,0.0978624,-21.65603,0.08336796,34
720.0,-19.714973,0.20428878,0.84172845,0.15,0.11,3600.0,0.09813699,-19.777508,0.08395777,35
740.0,-20.8713,0.20448036,0.84192973,0.1,0.16,3700.0,0.09813247,-20.30216,0.084967956,36
760.0,-20.87846,0.20448332,0.8418283,0.3,0.06,3800.0,0.09802667,-20.738796,0.085689574,37
780.0,-22.409735,0.2043538,0.84178406,0.1,0.18,3900.0,0.097738825,-19.367857,0.0865799,38
800.0,-17.39621,0.20431799,0.84161335,0.3,0.07,4000.0,0.09767449,-20.748716,0.08758057,39
820.0,-17.214619,0.20428638,0.8417711,0.15,0.12,4100.0,0.09752854,-18.38686,0.08762041,40
840.0,-18.43815,0.2042313,0.84183127,0.1,0.15,4200.0,0.09791649,-19.582275,0.08818081,41
860.0,-22.86587,0.20423283,0.8417693,0.05,0.15,4300.0,0.09840415,-20.242895,0.08898744,42
880.0,-17.366722,0.20418714,0.84166175,0.3,0.18,4400.0,0.09856037,-20.225557,0.089200705,43
900.0,-22.144918,0.2042056,0.84138757,0.1,0.1,4500.0,0.098999865,-20.128637,0.0898962,44
920.0,-20.8554,0.20413084,0.84137934,0.3,0.17,4600.0,0.099217735,-18.92791,0.09036684,45
940.0,-20.975117,0.20407774,0.8414838,0.25,0.14,4700.0,0.09954587,-21.281488,0.09083213,46
960.0,-16.725466,0.2040816,0.84137726,0.25,0.17,4800.0,0.099689014,-20.208069,0.09157756,47
980.0,-15.905065,0.20406242,0.8415058,0.35,0.18,4900.0,0.099532805,-18.746235,0.09184108,48
1000.0,-28.652924,0.2041469,0.84151536,0.1,0.16,5000.0,0.099678315,-21.005606,0.09243673,49
1020.0,-18.442387,0.20410995,0.8415165,0.2,0.21,5100.0,0.099790834,-18.505169,0.093251444,50
1040.0,-23.850473,0.2040262,0.84128976,0.2,0.22,5200.0,0.09978074,-17.676012,0.09383015,51
1060.0,-23.99355,0.20404518,0.8413207,0.25,0.14,5300.0,0.10036824,-20.924719,0.09473545,52
1080.0,-18.161312,0.20400941,0.8413257,0.45,0.27,5400.0,0.10013118,-15.606233,0.09545675,53
1100.0,-22.403042,0.20400394,0.8413232,0.25,0.29,5500.0,0.09984789,-17.764656,0.09574611,54
1120.0,-21.628471,0.2040914,0.84137815,0.15,0.19,5600.0,0.099683285,-18.70914,0.09612283,55
1140.0,-19.380888,0.20399211,0.8412499,0.25,0.21,5700.0,0.09966862,-19.549915,0.096657954,56
1160.0,-23.705265,0.20396695,0.84112793,0.25,0.26,5800.0,0.099949025,-19.731567,0.09711906,57
1180.0,-16.747913,0.20394851,0.8412083,0.4,0.29,5900.0,0.099727295,-18.518944,0.097508065,58
1200.0,-16.11619,0.20389065,0.8412393,0.5,0.32,6000.0,0.09966127,-17.189867,0.09793776,59
1220.0,-16.87482,0.2039299,0.8412337,0.35,0.24,6100.0,0.09984174,-20.284777,0.0982161,60
1240.0,-23.226553,0.20396926,0.841283,0.15,0.18,6200.0,0.09989665,-20.373749,0.09862039,61
1260.0,-11.336315,0.20395777,0.8414462,0.55,0.26,6300.0,0.09972668,-22.204504,0.0986699,62
1280.0,-16.238287,0.20392732,0.8414549,0.45,0.34,6400.0,0.099774,-18.216402,0.099167,63
1300.0,-14.047979,0.20393349,0.8414461,0.55,0.38,6500.0,0.09954669,-19.505976,0.09926293,64
1320.0,-15.865611,0.20391482,0.8413699,0.45,0.2,6600.0,0.099731326,-21.803694,0.099669226,65
1340.0,-20.81554,0.20396462,0.8415006,0.45,0.26,6700.0,0.0996064,-19.95481,0.099903844,66
1360.0,-23.521536,0.20400438,0.8415372,0.35,0.31,6800.0,0.09950449,-19.61095,0.10015692,67
1380.0,-21.216171,0.20398733,0.8413976,0.2,0.36,6900.0,0.099496745,-19.166769,0.10037612,68
1400.0,-18.632305,0.20403986,0.841489,0.45,0.36,7000.0,0.099414736,-20.329239,0.10047575,69
1420.0,-28.040964,0.20405264,0.8414697,0.3,0.29,7100.0,0.099306785,-18.672092,0.100713536,70
1440.0,-12.473628,0.20409018,0.84156376,0.65,0.35,7200.0,0.09916532,-20.040556,0.10088106,71
1460.0,-15.376434,0.20414653,0.8416028,0.55,0.24,7300.0,0.09912131,-21.395851,0.101480596,72
1480.0,-13.815134,0.2041308,0.8415997,0.65,0.2,7400.0,0.09901104,-20.14522,0.10181481,73
1500.0,-11.201775,0.2041448,0.8415726,0.6,0.32,7500.0,0.099065214,-19.16607,0.10214052,74
1520.0,-16.077618,0.20420164,0.84154147,0.45,0.35,7600.0,0.09894389,-17.990498,0.102366015,75
1540.0,-19.765192,0.20421185,0.8415029,0.25,0.37,7700.0,0.09899367,-17.764732,0.10255311,76
1560.0,-12.860062,0.20424265,0.8414216,0.5,0.35,7800.0,0.099028416,-19.176989,0.10285998,77
1580.0,-21.337175,0.20426492,0.84126496,0.4,0.32,7900.0,0.099169016,-17.500616,0.10332725,78
1600.0,-18.221512,0.20433222,0.8412667,0.45,0.33,8000.0,0.09918033,-20.003223,0.10361013,79
1620.0,-12.590472,0.20437662,0.8412459,0.6,0.33,8100.0,0.09907976,-18.06851,0.103775874,80
1640.0,-17.646137,0.20439139,0.84125525,0.55,0.27,8200.0,0.09919968,-20.282032,0.1040723,81
1660.0,-11.113668,0.20449923,0.84124833,0.65,0.34,8300.0,0.09937211,-17.091982,0.10472853,82
1680.0,-18.953346,0.20450552,0.84127635,0.2,0.4,8400.0,0.09950764,-17.008385,0.10486779,83
1700.0,-17.46703,0.20451725,0.84133315,0.45,0.35,8500.0,0.09954673,-20.788536,0.10498616,84
1720.0,-18.094318,0.20450899,0.841266,0.45,0.36,8600.0,0.09959646,-16.93707,0.10518632,85
1740.0,-15.436236,0.20455104,0.84133106,0.5,0.36,8700.0,0.099488474,-17.673359,0.1053314,86
1760.0,-13.369516,0.20453222,0.84122604,0.65,0.29,8800.0,0.09960177,-20.311338,0.105698176,87
1780.0,-17.591757,0.20456016,0.84117514,0.45,0.26,8900.0,0.09965647,-21.787664,0.105932415,88
1800.0,-20.594744,0.20453162,0.84116286,0.3,0.33,9000.0,0.09984065,-21.459536,0.10627322,89
1820.0,-20.095165,0.20451666,0.8411572,0.35,0.37,9100.0,0.100042574,-20.283323,0.10657363,90
1840.0,-19.043358,0.20456007,0.8412016,0.3,0.39,9200.0,0.10017843,-17.975197,0.106783465,91
1860.0,-23.906841,0.20459259,0.84123427,0.35,0.38,9300.0,0.10018492,-17.812698,0.10687376,92
1880.0,-19.532467,0.20462665,0.84127647,0.45,0.44,9400.0,0.10004806,-15.578484,0.10699252,93
1900.0,-23.467922,0.20461269,0.84118634,0.25,0.33,9500.0,0.099965066,-21.10346,0.106966466,94
1920.0,-12.746049,0.20464884,0.8412078,0.6,0.35,9600.0,0.0999737,-19.073776,0.10721142,95
1940.0,-15.61996,0.20467699,0.84119225,0.6,0.39,9700.0,0.10003171,-19.417316,0.10749826,96
1960.0,-21.065453,0.20466067,0.84122473,0.4,0.3,9800.0,0.09998197,-21.771845,0.107509725,97
1980.0,-17.501202,0.20470825,0.84134966,0.5,0.47,9900.0,0.09987476,-18.389265,0.10742435,98
2000.0,-20.854713,0.20474303,0.84139156,0.45,0.46,10000.0,0.09989204,-17.590725,0.107631244,99
2020.0,-13.495746,0.20469579,0.841398,0.55,0.42,10100.0,0.09981348,-16.627836,0.10786369,100
2040.0,-20.206142,0.2046703,0.8413815,0.5,0.39,10200.0,0.09981563,-21.26017,0.108080424,101
2060.0,-19.738117,0.20467657,0.84145373,0.5,0.45,10300.0,0.09973181,-19.285032,0.10826711,102
2080.0,-17.517124,0.20474148,0.84153056,0.55,0.42,10400.0,0.099675894,-19.251781,0.1082853,103
2100.0,-15.546755,0.20478053,0.84151715,0.55,0.46,10500.0,0.09962716,-18.666693,0.108360976,104
2120.0,-25.220982,0.20479074,0.8415227,0.25,0.51,10600.0,0.099621706,-16.323479,0.10848114,105
2140.0,-16.808708,0.20478077,0.8415272,0.55,0.4,10700.0,0.09955603,-19.872765,0.108520575,106
2160.0,-19.00864,0.20477991,0.8415568,0.45,0.41,10800.0,0.09946861,-22.422976,0.108476266,107
2180.0,-25.133924,0.20474668,0.8415801,0.4,0.47,10900.0,0.09944337,-18.576273,0.10851057,108
2200.0,-20.609562,0.20483077,0.8415992,0.45,0.46,11000.0,0.09951409,-18.51477,0.10870573,109
2220.0,-17.319508,0.20489869,0.8416311,0.5,0.53,11100.0,0.0993812,-17.815916,0.10877982,110
2240.0,-21.356018,0.20490621,0.8416596,0.45,0.46,11200.0,0.09937849,-21.0626,0.108907245,111
2260.0,-16.812212,0.20492463,0.84165,0.6,0.46,11300.0,0.09939424,-19.801994,0.1090248,112
2280.0,-19.45277,0.20491636,0.8416691,0.5,0.51,11400.0,0.09938296,-18.466244,0.1092737,113
2300.0,-26.046764,0.20487124,0.84166574,0.35,0.37,11500.0,0.09931479,-20.14284,0.10924849,114
2320.0,-22.131191,0.20488884,0.8417272,0.4,0.46,11600.0,0.099225916,-18.546862,0.10939273,115
2340.0,-21.956219,0.20487426,0.84170526,0.5,0.5,11700.0,0.099136375,-18.425728,0.1095646,116
2360.0,-21.989767,0.20485593,0.84177345,0.45,0.47,11800.0,0.099074684,-18.518074,0.10972813,117
2380.0,-18.696102,0.20488562,0.8417744,0.6,0.47,11900.0,0.09917167,-19.09238,0.10988838,118
2400.0,-16.79888,0.20487933,0.8417943,0.6,0.48,12000.0,0.09910675,-20.393383,0.10990514,119
2420.0,-18.045635,0.2048713,0.84179646,0.55,0.37,12100.0,0.09916053,-23.287294,0.10997819,120
2440.0,-11.167926,0.20491274,0.84185797,0.6,0.39,12200.0,0.09916953,-24.07154,0.1101897,121
2460.0,-12.251965,0.20491832,0.8417751,0.7,0.42,12300.0,0.09930756,-20.737995,0.110319264,122
2480.0,-11.540076,0.20495375,0.8418319,0.7,0.43,12400.0,0.09924966,-19.622133,0.110580966,123
2500.0,-21.745281,0.20500389,0.8418913,0.4,0.37,12500.0,0.09926029,-21.78529,0.11068702,124
2520.0,-21.290752,0.2049838,0.84191126,0.45,0.52,12600.0,0.0992283,-19.209694,0.11079791,125
2540.0,-18.724682,0.2049589,0.841924,0.55,0.41,12700.0,0.09923861,-20.99221,0.110901594,126
2560.0,-15.54702,0.20496741,0.84196144,0.65,0.42,12800.0,0.09918491,-21.321812,0.111020476,127
2580.0,-21.729939,0.2049769,0.8419659,0.5,0.35,12900.0,0.099293925,-20.88876,0.111204,128
2600.0,-16.913944,0.20497352,0.84198356,0.55,0.41,13000.0,0.099321865,-19.002142,0.11133479,129
2620.0,-16.062399,0.20494623,0.84194666,0.6,0.47,13100.0,0.099347055,-18.52207,0.11135789,130
2640.0,-12.537698,0.20492621,0.8419059,0.65,0.51,13200.0,0.099358656,-17.7697,0.11139646,131
2660.0,-16.897314,0.2049464,0.84193486,0.65,0.37,13300.0,0.09955845,-19.316895,0.11159751,132
2680.0,-19.106888,0.2049023,0.84193754,0.5,0.42,13400.0,0.09962056,-20.108753,0.11182421,133
2700.0,-19.356028,0.20490226,0.842042,0.5,0.53,13500.0,0.09950897,-17.237518,0.11188583,134
2720.0,-16.308086,0.2048519,0.8420326,0.55,0.49,13600.0,0.099450536,-17.081856,0.11199948,135
2740.0,-15.65829,0.20478842,0.84199697,0.6,0.43,13700.0,0.099517025,-17.12192,0.112107724,136
2760.0,-22.109396,0.2048154,0.8420059,0.4,0.43,13800.0,0.09953576,-16.078348,0.1122362,137
2780.0,-9.602174,0.20483433,0.841991,0.7,0.41,13900.0,0.099502124,-18.59975,0.11233276,138
2800.0,-6.9714956,0.20484658,0.8419497,0.75,0.56,14000.0,0.09959027,-16.234533,0.112339504,139
2820.0,-12.038815,0.2048468,0.8419776,0.65,0.49,14100.0,0.09961312,-15.350862,0.112421505,140
2840.0,-14.431328,0.20483486,0.84193987,0.65,0.41,14200.0,0.09967666,-19.305408,0.112490356,141
2860.0,-25.687006,0.20482545,0.84193295,0.35,0.46,14300.0,0.099614955,-17.804,0.112589665,142
2880.0,-20.218815,0.20481913,0.84192246,0.5,0.45,14400.0,0.09961077,-17.614069,0.11256514,143
2900.0,-12.034526,0.2048368,0.8419474,0.75,0.49,14500.0,0.09957806,-17.32396,0.1125229,144
2920.0,-11.932828,0.20486327,0.8419351,0.7,0.5,14600.0,0.09954745,-17.943127,0.11246555,145
2940.0,-22.242275,0.20487559,0.84197694,0.5,0.6,14700.0,0.09950071,-14.470124,0.112528056,146
2960.0,-22.870708,0.20489468,0.84204847,0.35,0.41,14800.0,0.09941921,-17.235018,0.11249194,147
2980.0,-17.727015,0.20489237,0.8420716,0.6,0.46,14900.0,0.099368244,-18.072767,0.1125008,148
3000.0,-16.976946,0.20487867,0.8420449,0.55,0.52,15000.0,0.099319614,-14.657745,0.112516545,149
3020.0,-13.398791,0.20490076,0.8420821,0.65,0.42,15100.0,0.0993217,-19.761097,0.112507,150
3040.0,-14.380086,0.20489745,0.8420852,0.6,0.52,15200.0,0.09933009,-17.198793,0.112546705,151
3060.0,-10.941332,0.20487964,0.8420878,0.7,0.44,15300.0,0.09932339,-17.451118,0.11253238,152
3080.0,-19.8732,0.20486908,0.8420927,0.45,0.4,15400.0,0.0993223,-18.90737,0.11254475,153
3100.0,-15.3463,0.20482704,0.842091,0.65,0.54,15500.0,0.09928835,-16.604101,0.11251879,154
3120.0,-11.130143,0.20480941,0.84210443,0.7,0.52,15600.0,0.09918364,-18.195831,0.11249874,155
3140.0,-14.5616455,0.20481907,0.8421337,0.7,0.46,15700.0,0.09909395,-17.250984,0.11250066,156
3160.0,-10.451989,0.20479733,0.8421238,0.7,0.5,15800.0,0.099124946,-16.21686,0.11253082,157
3180.0,-15.866669,0.20478769,0.8420701,0.65,0.33,15900.0,0.0991744,-21.389175,0.112569526,158
3200.0,-25.89448,0.20480059,0.8420446,0.4,0.42,16000.0,0.09917611,-18.965345,0.11258187,159
3220.0,-16.920586,0.2048323,0.8419799,0.5,0.49,16100.0,0.09926153,-17.344542,0.1126034,160
3240.0,-6.8235373,0.20482674,0.8419437,0.7,0.39,16200.0,0.0992963,-19.133682,0.11262471,161
3260.0,-17.12151,0.20484044,0.8419425,0.55,0.45,16300.0,0.09939962,-14.174298,0.11275581,162
3280.0,-7.813237,0.20480873,0.84191537,0.8,0.47,16400.0,0.09950165,-16.57279,0.1128618,163
3300.0,-22.326937,0.20479408,0.8419196,0.35,0.47,16500.0,0.09949723,-13.864485,0.11290493,164
3320.0,-9.442762,0.20475501,0.84187603,0.6,0.48,16600.0,0.09955471,-17.346085,0.11297322,165
3340.0,-13.412157,0.20475231,0.8418562,0.5,0.44,16700.0,0.099555075,-17.039125,0.113040134,166
3360.0,-15.138468,0.20477208,0.8418831,0.45,0.37,16800.0,0.09959338,-16.206343,0.11316743,167
3380.0,-5.365063,0.20478632,0.84186697,0.8,0.53,16900.0,0.09968069,-16.108866,0.113225415,168
3400.0,-15.226288,0.2048337,0.84185696,0.55,0.5,17000.0,0.09966609,-16.17087,0.113229506,169
3420.0,-18.628805,0.20480318,0.84181434,0.45,0.43,17100.0,0.09968439,-16.721893,0.11319341,170
3440.0,-11.298098,0.20481963,0.8417775,0.65,0.55,17200.0,0.09966125,-15.316314,0.113280386,171
3460.0,-15.952415,0.20481738,0.8417382,0.45,0.45,17300.0,0.09973108,-14.304671,0.11343301,172
3480.0,-7.166692,0.20482369,0.8417124,0.8,0.48,17400.0,0.09981372,-14.958144,0.11352897,173
3500.0,-12.792394,0.20476818,0.8416777,0.45,0.5,17500.0,0.099870086,-12.800277,0.11365905,174
3520.0,-8.359524,0.2047658,0.84166884,0.8,0.52,17600.0,0.099972285,-13.225724,0.11375787,175
3540.0,-8.5816345,0.20476536,0.841683,0.75,0.46,17700.0,0.100014634,-14.010193,0.11379859,176
3560.0,-7.0132957,0.20476054,0.8416893,0.75,0.48,17800.0,0.10000441,-14.54195,0.11380546,177
3580.0,-10.715519,0.20476927,0.84168386,0.65,0.49,17900.0,0.09999468,-12.512707,0.113861084,178
3600.0,-11.676611,0.2047703,0.8416972,0.6,0.49,18000.0,0.10004958,-11.824406,0.11388918,179
3620.0,-7.264674,0.20477754,0.8417256,0.75,0.4,18100.0,0.10001761,-10.972864,0.11393435,180
3640.0,-10.374831,0.20479557,0.8417261,0.7,0.5,18200.0,0.09999337,-11.707226,0.113980256,181
3660.0,-8.962963,0.2048094,0.84171265,0.75,0.51,18300.0,0.0999734,-11.859708,0.114002906,182
3680.0,-11.939405,0.20483018,0.8417348,0.7,0.61,18400.0,0.09999875,-11.456316,0.11402396,183
3700.0,-13.114805,0.20481972,0.8416817,0.6,0.5,18500.0,0.100010015,-11.058349,0.11406892,184
3720.0,-9.747051,0.20482354,0.8416827,0.7,0.52,18600.0,0.100019135,-11.652388,0.114053525,185
3740.0,-6.483171,0.2048391,0.84169906,0.85,0.52,18700.0,0.10008643,-12.85402,0.114092276,186
3760.0,-9.120867,0.20481844,0.8416217,0.65,0.54,18800.0,0.100101806,-10.550913,0.11409194,187
3780.0,-11.133189,0.20478146,0.84160095,0.45,0.47,18900.0,0.1001459,-12.350548,0.11411255,188
3800.0,-5.783841,0.204782,0.84154075,0.85,0.42,19000.0,0.10034215,-14.211429,0.11427713,189
3820.0,-9.628065,0.20479034,0.84153175,0.7,0.54,19100.0,0.10045735,-10.194772,0.114402406,190
3840.0,-4.968285,0.2047895,0.8415535,0.9,0.5,19200.0,0.10048997,-10.607502,0.11446337,191
3860.0,-4.4265842,0.20481238,0.8415355,0.9,0.48,19300.0,0.100545555,-12.312745,0.11455805,192
3880.0,-9.733408,0.2048267,0.8414728,0.7,0.46,19400.0,0.100748636,-12.791548,0.114778,193
3900.0,-6.006182,0.20482253,0.84150296,0.65,0.54,19500.0,0.10077915,-9.754129,0.114888534,194
3920.0,-8.497825,0.20480476,0.8415111,0.7,0.53,19600.0,0.100773655,-9.422216,0.11495552,195
3940.0,-4.7215743,0.20482801,0.8415132,0.9,0.52,19700.0,0.10076839,-9.508102,0.11496392,196
3960.0,-4.461791,0.20483543,0.8415413,0.9,0.51,19800.0,0.10078847,-9.810003,0.114973605,197
3980.0,-9.131052,0.2048203,0.84156275,0.85,0.53,19900.0,0.100801535,-9.609543,0.11503692,198
4000.0,-6.832219,0.20482214,0.8415597,0.7,0.52,20000.0,0.10076202,-10.266703,0.11500121,199
