epoch,stats_g/std,test/success_rate,stats_o/mean,train/episode,test/mean_Q,train/success_rate,stats_o/std,train/mean_Q,stats_g/mean,test/episode
56,0.10407382,0.3,0.20347005,5700.0,-20.667988,0.16,0.09800205,-22.184809,0.8385555,1140.0
57,0.10463699,0.05,0.20342709,5800.0,-26.607159,0.16,0.098413095,-22.804428,0.8383999,1160.0
58,0.10490394,0.1,0.2033699,5900.0,-19.881987,0.14,0.09900679,-20.612686,0.83840495,1180.0
59,0.10494766,0.25,0.20336637,6000.0,-21.699,0.2,0.09951201,-19.860321,0.8385202,1200.0
60,0.10517845,0.3,0.20325212,6100.0,-18.028757,0.1,0.10021801,-21.299908,0.8383667,1220.0
61,0.10514174,0.15,0.20316671,6200.0,-21.455303,0.17,0.10050054,-20.609547,0.8383739,1240.0
62,0.10529234,0.15,0.20318106,6300.0,-16.63088,0.14,0.10094503,-24.167252,0.83850455,1260.0
63,0.10569676,0.2,0.20319396,6400.0,-18.481493,0.15,0.101672746,-19.836166,0.8384547,1280.0
64,0.10586936,0.2,0.20324153,6500.0,-16.227535,0.18,0.10208335,-20.673538,0.8385001,1300.0
65,0.106114544,0.2,0.20325999,6600.0,-18.764555,0.09,0.1025183,-22.360281,0.8384793,1320.0
66,0.10645154,0.2,0.20335263,6700.0,-20.380465,0.15,0.10284588,-21.164488,0.83870715,1340.0
67,0.10656159,0.15,0.20337631,6800.0,-25.129284,0.16,0.10305817,-20.11178,0.8388427,1360.0
68,0.10650196,0.15,0.2033395,6900.0,-21.426525,0.16,0.1034006,-19.99967,0.8388054,1380.0
69,0.10652238,0.25,0.20331816,7000.0,-20.756004,0.15,0.10361828,-21.142302,0.83904487,1400.0
70,0.1066679,0.15,0.20327869,7100.0,-27.992792,0.16,0.10394874,-20.025406,0.8390977,1420.0
71,0.10668152,0.3,0.20336121,7200.0,-16.597446,0.27,0.10406454,-22.006819,0.83928853,1440.0
72,0.107073925,0.25,0.20329545,7300.0,-17.364017,0.12,0.10428431,-23.362986,0.83941156,1460.0
73,0.10713667,0.35,0.20324916,7400.0,-16.766,0.15,0.104477234,-21.645994,0.83956295,1480.0
74,0.10738029,0.2,0.20320791,7500.0,-16.115007,0.18,0.10475098,-21.182625,0.83952194,1500.0
75,0.10733879,0.45,0.20316839,7600.0,-17.71267,0.2,0.1050443,-19.580725,0.83962184,1520.0
76,0.107465,0.25,0.20318487,7700.0,-23.152689,0.18,0.10560864,-20.07443,0.8397295,1540.0
77,0.107445784,0.4,0.20321228,7800.0,-15.84772,0.24,0.10589937,-20.374104,0.83979255,1560.0
78,0.10758248,0.25,0.20316343,7900.0,-23.356554,0.2,0.1062528,-18.945076,0.839757,1580.0
79,0.107788235,0.3,0.20317611,8000.0,-21.268658,0.21,0.106423914,-22.270605,0.8396711,1600.0
80,0.10804186,0.5,0.20317724,8100.0,-17.653385,0.22,0.10663285,-20.068396,0.8395614,1620.0
81,0.10794312,0.35,0.20315756,8200.0,-19.584583,0.26,0.10704726,-20.707647,0.8396442,1640.0
82,0.10795498,0.45,0.20309965,8300.0,-14.5630245,0.3,0.10738049,-17.82106,0.83968693,1660.0
83,0.10802784,0.25,0.20309968,8400.0,-21.616138,0.25,0.10765603,-18.934874,0.83973426,1680.0
84,0.10789496,0.4,0.20311126,8500.0,-19.634167,0.21,0.10782255,-22.150513,0.8399288,1700.0
85,0.10798049,0.25,0.20312607,8600.0,-21.651423,0.3,0.10803981,-18.68562,0.8398661,1720.0
86,0.10796994,0.5,0.20314802,8700.0,-16.620966,0.28,0.10839159,-19.346935,0.8399642,1740.0
87,0.10796678,0.25,0.20313567,8800.0,-20.675892,0.23,0.10876896,-21.646276,0.8398795,1760.0
88,0.10804295,0.4,0.20310618,8900.0,-17.668804,0.22,0.1088939,-23.258196,0.83981967,1780.0
89,0.1081117,0.2,0.20313644,9000.0,-21.928534,0.27,0.10905383,-23.0231,0.83982414,1800.0
90,0.10828946,0.25,0.20313159,9100.0,-23.749636,0.23,0.109394796,-21.678469,0.83977604,1820.0
91,0.108367346,0.3,0.20315212,9200.0,-20.490788,0.31,0.10970169,-19.687843,0.83979607,1840.0
92,0.10848681,0.3,0.20313042,9300.0,-27.635345,0.27,0.11007621,-20.698801,0.83982414,1860.0
93,0.10849003,0.35,0.20309599,9400.0,-21.446674,0.29,0.110321224,-18.068213,0.8398165,1880.0
94,0.1084398,0.35,0.20306069,9500.0,-22.977896,0.29,0.110457495,-23.15388,0.8397,1900.0
95,0.108396314,0.4,0.20308153,9600.0,-15.111964,0.29,0.1105473,-19.995647,0.83970577,1920.0
96,0.10830498,0.35,0.20303915,9700.0,-18.19005,0.33,0.11068914,-20.218182,0.8397047,1940.0
97,0.10847182,0.35,0.20309283,9800.0,-20.838,0.22,0.1109729,-22.818497,0.83980584,1960.0
98,0.108751155,0.3,0.2031332,9900.0,-17.827358,0.31,0.111248754,-20.266064,0.8399238,1980.0
99,0.108764075,0.4,0.20316853,10000.0,-19.98395,0.34,0.11152176,-17.629099,0.83995575,2000.0
100,0.10868531,0.45,0.20314638,10100.0,-12.857513,0.33,0.111866646,-16.125917,0.8398971,2020.0
101,0.108854085,0.4,0.20317847,10200.0,-18.580843,0.21,0.112244666,-21.382174,0.8398376,2040.0
102,0.108956896,0.4,0.20313399,10300.0,-17.230455,0.33,0.112489134,-17.882042,0.8398103,2060.0
103,0.10894567,0.3,0.20317039,10400.0,-17.348503,0.29,0.11257966,-18.447834,0.839933,2080.0
104,0.10892879,0.55,0.20317553,10500.0,-12.428694,0.37,0.11272059,-16.300097,0.83987075,2100.0
105,0.109071486,0.4,0.20315434,10600.0,-19.854685,0.34,0.11298685,-16.011606,0.83983654,2120.0
106,0.1090985,0.45,0.20319569,10700.0,-16.625051,0.33,0.11317915,-18.452845,0.8398111,2140.0
107,0.108989336,0.55,0.20316589,10800.0,-17.228497,0.3,0.11317686,-19.751703,0.83985114,2160.0
108,0.10904547,0.25,0.20319687,10900.0,-23.13268,0.32,0.11333298,-18.119959,0.8398431,2180.0
109,0.10914487,0.4,0.20317043,11000.0,-19.021542,0.36,0.113455385,-17.675823,0.83989525,2200.0
110,0.10905263,0.45,0.2031461,11100.0,-16.17423,0.4,0.11352893,-16.741663,0.8399057,2220.0
111,0.10909303,0.4,0.20316762,11200.0,-20.328634,0.32,0.11363969,-20.542212,0.839885,2240.0
112,0.10914552,0.45,0.20316756,11300.0,-16.622396,0.3,0.11381571,-19.648228,0.8399286,2260.0
113,0.10930114,0.5,0.20320782,11400.0,-17.445465,0.38,0.11412135,-18.549658,0.8399312,2280.0
114,0.10930378,0.35,0.20324911,11500.0,-23.723984,0.37,0.11428173,-19.329096,0.8399601,2300.0
115,0.10921847,0.3,0.20329498,11600.0,-20.033154,0.37,0.11451373,-18.173622,0.84001154,2320.0
116,0.10908721,0.3,0.20329241,11700.0,-22.73115,0.42,0.1147102,-17.656252,0.83998567,2340.0
117,0.10897563,0.4,0.20322242,11800.0,-20.756042,0.46,0.11485654,-17.180618,0.8400336,2360.0
118,0.109157175,0.45,0.20323026,11900.0,-18.306658,0.36,0.11503025,-19.590286,0.8400173,2380.0
119,0.108968176,0.3,0.20321472,12000.0,-16.956553,0.34,0.11507982,-19.581898,0.8400679,2400.0
120,0.108916454,0.45,0.20319943,12100.0,-18.60036,0.31,0.115093715,-23.026278,0.8401063,2420.0
121,0.10880566,0.4,0.20323619,12200.0,-12.638298,0.32,0.11510944,-22.38508,0.8401689,2440.0
122,0.10877202,0.6,0.20321056,12300.0,-13.831247,0.31,0.11524527,-20.270742,0.8401386,2460.0
123,0.10871383,0.7,0.20323277,12400.0,-11.02872,0.34,0.115398265,-19.668879,0.8402073,2480.0
124,0.108791254,0.4,0.20323363,12500.0,-19.7908,0.33,0.11545703,-21.289122,0.84020287,2500.0
125,0.10867345,0.35,0.20324838,12600.0,-20.9865,0.4,0.115534544,-19.284836,0.84022236,2520.0
126,0.10856259,0.5,0.20327286,12700.0,-16.388794,0.37,0.11567075,-19.94518,0.8402402,2540.0
127,0.108541824,0.6,0.20329176,12800.0,-14.001193,0.34,0.115689754,-21.126501,0.8402598,2560.0
128,0.10842172,0.45,0.20330791,12900.0,-19.065775,0.38,0.11574636,-19.330082,0.84024173,2580.0
129,0.10842878,0.55,0.20332174,13000.0,-15.761249,0.38,0.1158401,-18.708065,0.84026116,2600.0
130,0.10852923,0.55,0.2033367,13100.0,-13.877207,0.42,0.11594414,-17.40572,0.8401939,2620.0
131,0.10857996,0.55,0.20331083,13200.0,-13.143702,0.41,0.11607364,-18.120201,0.8401826,2640.0
132,0.10859249,0.5,0.20331527,13300.0,-17.552773,0.34,0.11617869,-18.952879,0.8402005,2660.0
133,0.10863947,0.5,0.20334055,13400.0,-18.142483,0.36,0.116252795,-20.382832,0.84018946,2680.0
134,0.10866297,0.5,0.20336089,13500.0,-18.527271,0.41,0.1163495,-17.909351,0.8402448,2700.0
135,0.10863501,0.5,0.2033898,13600.0,-16.634556,0.42,0.11648262,-18.140392,0.8402347,2720.0
136,0.10851302,0.55,0.20342863,13700.0,-17.058134,0.38,0.11658896,-17.975822,0.8402402,2740.0
137,0.10878875,0.35,0.20344475,13800.0,-23.79192,0.44,0.116771705,-19.163023,0.8402832,2760.0
138,0.10871613,0.75,0.20346466,13900.0,-11.534315,0.37,0.11676978,-18.699753,0.8402891,2780.0
139,0.108671874,0.75,0.20344964,14000.0,-8.432327,0.37,0.11689967,-18.009974,0.84026295,2800.0
140,0.10876909,0.65,0.20344386,14100.0,-13.75782,0.44,0.11699445,-17.975805,0.84025174,2820.0
141,0.10872119,0.6,0.20342079,14200.0,-15.530078,0.41,0.11699848,-20.17229,0.8402743,2840.0
142,0.108790666,0.3,0.20344773,14300.0,-25.795383,0.37,0.117157966,-19.333637,0.84028846,2860.0
143,0.10880526,0.35,0.20345397,14400.0,-21.289728,0.4,0.11717589,-19.692743,0.8403034,2880.0
144,0.108761914,0.7,0.20347276,14500.0,-13.148016,0.4,0.117227614,-18.749743,0.8403835,2900.0
145,0.10868922,0.6,0.2034577,14600.0,-12.595695,0.41,0.11722291,-19.079401,0.8404065,2920.0
146,0.10860001,0.45,0.2034569,14700.0,-20.924435,0.48,0.11733858,-15.1868725,0.84042674,2940.0
147,0.108707525,0.35,0.20343652,14800.0,-25.127579,0.41,0.117522314,-19.788704,0.8404462,2960.0
148,0.10862485,0.5,0.20341188,14900.0,-18.548048,0.41,0.11758675,-18.824282,0.8404644,2980.0
149,0.108624585,0.4,0.20339252,15000.0,-18.687572,0.48,0.11765849,-16.304081,0.8404469,3000.0
150,0.1086544,0.55,0.20343114,15100.0,-17.054344,0.4,0.11779664,-18.949797,0.84046984,3020.0
151,0.108617306,0.5,0.2034547,15200.0,-17.230404,0.46,0.11794454,-17.50687,0.8404953,3040.0
152,0.10861689,0.7,0.2034224,15300.0,-11.704838,0.36,0.11798978,-19.158066,0.8404619,3060.0
153,0.108667016,0.3,0.2034202,15400.0,-18.733042,0.37,0.11805747,-20.393661,0.8404506,3080.0
154,0.108711,0.55,0.20342545,15500.0,-16.849607,0.44,0.118133165,-18.331728,0.8404575,3100.0
155,0.108711176,0.6,0.20344754,15600.0,-13.136637,0.4,0.11824774,-18.727144,0.8404949,3120.0
156,0.108656675,0.65,0.20349346,15700.0,-13.493894,0.4,0.11832555,-17.675697,0.84053725,3140.0
157,0.10874925,0.55,0.20349804,15800.0,-13.758214,0.44,0.11840735,-18.504942,0.84054303,3160.0
158,0.10873435,0.6,0.20352764,15900.0,-15.528334,0.33,0.11835765,-22.564617,0.8405375,3180.0
159,0.108641416,0.4,0.20352195,16000.0,-24.369614,0.37,0.11831894,-20.472292,0.8405667,3200.0
160,0.10854625,0.5,0.20350313,16100.0,-18.249254,0.44,0.1183842,-18.435913,0.8405693,3220.0
161,0.10850156,0.6,0.20345859,16200.0,-14.040027,0.38,0.11835474,-21.809847,0.84053546,3240.0
162,0.10845721,0.45,0.20346697,16300.0,-20.925573,0.41,0.11837814,-17.753147,0.8405609,3260.0
163,0.10840678,0.7,0.20345747,16400.0,-10.696478,0.41,0.11831622,-19.138115,0.84056157,3280.0
164,0.108567156,0.35,0.20341812,16500.0,-26.714573,0.46,0.11846535,-18.736292,0.8404651,3300.0
165,0.10861868,0.5,0.20340295,16600.0,-16.9759,0.42,0.11850724,-19.455109,0.84044105,3320.0
166,0.10862007,0.4,0.20342478,16700.0,-20.8307,0.41,0.118485205,-20.796442,0.8404653,3340.0
167,0.10863653,0.45,0.20343533,16800.0,-20.51332,0.37,0.118504055,-21.46219,0.8405284,3360.0
168,0.108958304,0.7,0.20345247,16900.0,-10.303463,0.42,0.118604176,-19.978182,0.8405438,3380.0
169,0.10895395,0.55,0.20348419,17000.0,-17.931854,0.43,0.11879107,-19.422234,0.8405409,3400.0
170,0.10888366,0.3,0.20350163,17100.0,-23.566793,0.38,0.11874029,-22.4411,0.8405313,3420.0
171,0.10883746,0.5,0.20348172,17200.0,-16.196634,0.44,0.118716195,-19.697577,0.8405247,3440.0
172,0.10886336,0.35,0.20347838,17300.0,-22.865099,0.42,0.118735254,-18.716742,0.84052634,3460.0
173,0.10884536,0.65,0.20348324,17400.0,-13.712277,0.44,0.11877262,-19.132305,0.8405442,3480.0
174,0.1087215,0.4,0.20346142,17500.0,-19.488207,0.46,0.1186752,-17.121765,0.8405328,3500.0
175,0.108683415,0.7,0.20346403,17600.0,-11.695722,0.44,0.11861255,-17.467735,0.8405278,3520.0
176,0.1085968,0.5,0.20346455,17700.0,-15.306394,0.44,0.11854263,-17.925632,0.8405473,3540.0
177,0.108491,0.65,0.20348011,17800.0,-12.618891,0.44,0.11855983,-18.033491,0.8405533,3560.0
178,0.10841075,0.55,0.20349103,17900.0,-16.509142,0.49,0.11851685,-16.967628,0.8405326,3580.0
179,0.108418524,0.55,0.20351104,18000.0,-16.669155,0.48,0.118585184,-15.110132,0.84057456,3600.0
180,0.10834124,0.7,0.20350769,18100.0,-10.858994,0.39,0.1185382,-17.057531,0.8405984,3620.0
181,0.10824484,0.5,0.20351927,18200.0,-17.468634,0.43,0.118524574,-16.695642,0.84065324,3640.0
182,0.10827854,0.55,0.20353717,18300.0,-13.840887,0.5,0.118515156,-16.618372,0.84068614,3660.0
183,0.10819904,0.6,0.20353928,18400.0,-15.167671,0.6,0.11851857,-14.742356,0.84071225,3680.0
184,0.108220935,0.5,0.2035541,18500.0,-17.84736,0.42,0.11862012,-16.80445,0.8406572,3700.0
185,0.108190656,0.45,0.20358172,18600.0,-20.460064,0.37,0.118666165,-17.5766,0.8406601,3720.0
186,0.10825033,0.6,0.20358987,18700.0,-12.240113,0.41,0.11871962,-17.872667,0.8406641,3740.0
187,0.10829857,0.6,0.20357813,18800.0,-16.948025,0.44,0.11878337,-16.99699,0.84065217,3760.0
188,0.10826993,0.35,0.20357397,18900.0,-22.97788,0.42,0.11876801,-19.121204,0.8407135,3780.0
189,0.108285226,0.5,0.20357239,19000.0,-16.661251,0.4,0.118708715,-21.242783,0.8407052,3800.0
190,0.10825592,0.3,0.20357089,19100.0,-22.600016,0.47,0.11877076,-16.104202,0.8406999,3820.0
191,0.1081985,0.65,0.20356677,19200.0,-11.794149,0.51,0.11872253,-17.551464,0.84070915,3840.0
192,0.10814708,0.65,0.2035721,19300.0,-13.2165575,0.46,0.11872818,-19.628105,0.8407219,3860.0
193,0.10807535,0.65,0.20359343,19400.0,-16.481094,0.49,0.11873337,-18.790432,0.84070235,3880.0
194,0.108110406,0.6,0.20359756,19500.0,-14.970924,0.49,0.118724436,-17.816383,0.84071684,3900.0
195,0.108035676,0.45,0.20362248,19600.0,-22.560774,0.51,0.11871136,-17.229738,0.84076476,3920.0
196,0.1080667,0.55,0.20360857,19700.0,-15.200976,0.46,0.11866252,-18.473242,0.8407405,3940.0
197,0.10811,0.75,0.20359217,19800.0,-9.726488,0.41,0.11866945,-20.264732,0.84074146,3960.0
198,0.10814386,0.45,0.20360748,19900.0,-22.976719,0.53,0.11867306,-17.156498,0.8407519,3980.0
199,0.10812762,0.5,0.2036148,20000.0,-19.374487,0.51,0.1186336,-18.999443,0.8407257,4000.0
