stats_g/std,stats_g/mean,test/episode,stats_o/mean,train/mean_Q,stats_o/std,epoch,train/episode,test/success_rate,train/success_rate,test/mean_Q
0.0903382,0.8435624,20.0,0.20399337,-1.6149548,0.045215443,0,100.0,0.0,0.04,-2.8760672
0.09138163,0.8458472,40.0,0.20444849,-3.4681017,0.045086432,1,200.0,0.1,0.06,-4.2831903
0.09251729,0.8461965,60.0,0.204341,-5.578039,0.04367886,2,300.0,0.05,0.04,-5.732166
0.09280491,0.8477004,80.0,0.20463835,-7.116536,0.045975555,3,400.0,0.0,0.06,-7.933057
0.09244326,0.8486099,100.0,0.20513234,-8.782022,0.05100793,4,500.0,0.05,0.03,-9.634045
0.092565686,0.848186,120.0,0.20516013,-10.20544,0.05398461,5,600.0,0.0,0.04,-11.886223
0.09282444,0.8480985,140.0,0.20493509,-12.147212,0.054072365,6,700.0,0.05,0.03,-13.071075
0.093959354,0.84818697,160.0,0.20484054,-13.0458765,0.054353353,7,800.0,0.1,0.05,-13.391955
0.094339766,0.84786576,180.0,0.20446797,-15.023485,0.058091607,8,900.0,0.1,0.0,-13.573692
0.09444448,0.8477078,200.0,0.20432767,-16.31453,0.057980016,9,1000.0,0.15,0.05,-14.275075
0.09505016,0.848052,220.0,0.20445482,-17.714432,0.059248947,10,1100.0,0.0,0.03,-19.553587
0.09587843,0.8473749,240.0,0.204548,-18.660671,0.0609093,11,1200.0,0.0,0.01,-21.033285
0.09622133,0.8472011,260.0,0.20448476,-19.557985,0.06228134,12,1300.0,0.0,0.04,-20.30726
0.09637459,0.84720176,280.0,0.20450148,-21.451172,0.062127654,13,1400.0,0.05,0.03,-20.126997
0.097055025,0.8470257,300.0,0.20437062,-21.25817,0.06409666,14,1500.0,0.15,0.03,-19.499493
0.09750191,0.8465813,320.0,0.20416373,-22.028233,0.065407425,15,1600.0,0.1,0.05,-21.533024
0.0975708,0.84658366,340.0,0.20433787,-22.797659,0.06585945,16,1700.0,0.1,0.02,-19.546684
0.097656995,0.8462003,360.0,0.20416035,-22.848207,0.067022346,17,1800.0,0.0,0.02,-24.27391
0.09830445,0.8459651,380.0,0.20410842,-24.365026,0.06866999,18,1900.0,0.05,0.03,-23.664524
0.098401695,0.845628,400.0,0.20401976,-24.191257,0.070135094,19,2000.0,0.15,0.02,-21.900925
0.09841627,0.8456288,420.0,0.20406757,-22.944902,0.0709918,20,2100.0,0.05,0.06,-22.809523
0.0983986,0.84592247,440.0,0.20406327,-25.390352,0.07170022,21,2200.0,0.0,0.05,-26.294048
0.0987212,0.8458023,460.0,0.2041682,-24.889038,0.07266217,22,2300.0,0.05,0.04,-24.365316
0.098671354,0.8457641,480.0,0.20423809,-25.080097,0.07339638,23,2400.0,0.0,0.07,-26.447983
0.098865114,0.84538597,500.0,0.20431824,-24.367739,0.07470569,24,2500.0,0.0,0.08,-27.277136
0.09935904,0.84530705,520.0,0.20429385,-25.709862,0.07505552,25,2600.0,0.1,0.05,-24.635971
0.099717915,0.84568405,540.0,0.20448658,-24.586636,0.075825766,26,2700.0,0.05,0.05,-24.715878
0.09990677,0.8456683,560.0,0.20453481,-26.594078,0.0777105,27,2800.0,0.05,0.06,-23.890478
0.09997905,0.8455911,580.0,0.20453471,-27.536263,0.07847625,28,2900.0,0.1,0.05,-24.20885
0.10021335,0.84557056,600.0,0.2045916,-27.514942,0.07872496,29,3000.0,0.0,0.02,-24.68871
0.10045176,0.84546137,620.0,0.20454143,-27.340517,0.0800362,30,3100.0,0.05,0.02,-32.385258
0.100402296,0.8451423,640.0,0.20442699,-25.20848,0.080571316,31,3200.0,0.1,0.08,-27.662975
0.10036504,0.8450089,660.0,0.20437722,-26.479958,0.08120202,32,3300.0,0.05,0.04,-26.341446
0.10022544,0.8450711,680.0,0.20436305,-26.860489,0.082020566,33,3400.0,0.05,0.02,-27.178915
0.100444295,0.8449965,700.0,0.20434743,-26.991571,0.08265958,34,3500.0,0.05,0.05,-27.96052
0.100263394,0.8450269,720.0,0.20437534,-25.135448,0.08278352,35,3600.0,0.05,0.08,-26.88612
0.10013179,0.84519696,740.0,0.20439005,-26.02398,0.08276455,36,3700.0,0.05,0.09,-24.668463
0.100205205,0.8450794,760.0,0.20440215,-26.494017,0.08354507,37,3800.0,0.05,0.02,-26.52605
0.10052279,0.84488064,780.0,0.20443603,-26.256006,0.0846843,38,3900.0,0.05,0.03,-26.343222
0.10034096,0.84472823,800.0,0.20439264,-25.398941,0.08485033,39,4000.0,0.2,0.08,-22.492216
0.10030233,0.844651,820.0,0.20437752,-25.344788,0.08532854,40,4100.0,0.1,0.07,-21.695684
0.10019207,0.8446305,840.0,0.20433813,-26.440075,0.085802995,41,4200.0,0.05,0.07,-23.176565
0.100583434,0.84469205,860.0,0.20437881,-25.309639,0.08668037,42,4300.0,0.1,0.06,-25.908657
0.10056602,0.8447121,880.0,0.20433952,-24.278898,0.08717037,43,4400.0,0.1,0.11,-20.599434
0.100762665,0.8445971,900.0,0.20428357,-24.038105,0.08783224,44,4500.0,0.05,0.08,-24.717632
0.10074868,0.8446896,920.0,0.20425314,-23.650702,0.08830298,45,4600.0,0.15,0.09,-21.657019
0.100844555,0.84467095,940.0,0.20413126,-25.014088,0.089103326,46,4700.0,0.1,0.12,-27.703577
0.101005696,0.84465915,960.0,0.20411715,-24.341621,0.09010158,47,4800.0,0.1,0.04,-22.301426
0.10172499,0.8446932,980.0,0.2041192,-23.891176,0.091056205,48,4900.0,0.05,0.1,-21.301336
0.10175717,0.84473944,1000.0,0.20422357,-24.563713,0.0914318,49,5000.0,0.0,0.05,-28.549137
0.10163346,0.84470874,1020.0,0.20416126,-22.139603,0.091758154,50,5100.0,0.1,0.08,-23.710236
0.10157546,0.84458923,1040.0,0.20405048,-21.3914,0.09222088,51,5200.0,0.1,0.12,-27.764313
0.10199555,0.84437346,1060.0,0.2040342,-23.007544,0.092643194,52,5300.0,0.1,0.12,-26.60995
0.102358036,0.8440838,1080.0,0.2039457,-20.735569,0.09327639,53,5400.0,0.15,0.12,-21.127674
0.10280997,0.8439681,1100.0,0.20396368,-22.586775,0.09362349,54,5500.0,0.0,0.08,-24.148632
0.10279223,0.84396416,1120.0,0.20391575,-22.792,0.09401938,55,5600.0,0.05,0.08,-26.019705
0.10298252,0.8438032,1140.0,0.20400797,-23.401054,0.09459441,56,5700.0,0.05,0.09,-23.460989
0.103146814,0.8437328,1160.0,0.20403771,-22.777565,0.095463574,57,5800.0,0.05,0.13,-24.982517
0.10375472,0.8437821,1180.0,0.20406456,-21.867865,0.09608566,58,5900.0,0.1,0.15,-20.98974
0.10382387,0.8437465,1200.0,0.20404205,-21.638899,0.09722134,59,6000.0,0.1,0.15,-20.99492
0.103893004,0.8437045,1220.0,0.20407955,-23.28418,0.0976904,60,6100.0,0.2,0.09,-20.823683
0.103885494,0.84365195,1240.0,0.20411076,-22.504824,0.0979397,61,6200.0,0.05,0.16,-26.383764
0.10410395,0.84374315,1260.0,0.20411535,-25.093683,0.09838288,62,6300.0,0.1,0.07,-15.339697
0.10412425,0.8437133,1280.0,0.20412147,-20.712543,0.09899642,63,6400.0,0.15,0.14,-20.433569
0.104083695,0.8436284,1300.0,0.20404871,-22.167149,0.09929292,64,6500.0,0.2,0.12,-17.171808
0.10404301,0.8436113,1320.0,0.20406055,-23.034224,0.09953187,65,6600.0,0.05,0.1,-19.832438
0.103907175,0.8436931,1340.0,0.2041173,-21.53549,0.10001803,66,6700.0,0.1,0.13,-22.63182
0.10388418,0.84372306,1360.0,0.20412315,-20.512678,0.10038989,67,6800.0,0.3,0.19,-22.31696
0.10384023,0.843626,1380.0,0.20408118,-19.515219,0.10092038,68,6900.0,0.15,0.21,-21.013859
0.103947885,0.8437219,1400.0,0.20409864,-21.0158,0.10116168,69,7000.0,0.25,0.14,-20.754484
0.10385417,0.84366655,1420.0,0.20406394,-19.049698,0.10157289,70,7100.0,0.2,0.22,-25.159258
0.1041261,0.84381413,1440.0,0.20411287,-20.670156,0.101926945,71,7200.0,0.3,0.16,-16.462494
0.10420779,0.8438664,1460.0,0.20414406,-22.189978,0.102196455,72,7300.0,0.4,0.15,-15.094347
0.10412372,0.84395355,1480.0,0.20416014,-20.501114,0.102466136,73,7400.0,0.3,0.15,-15.820053
0.104150236,0.84391975,1500.0,0.20416272,-18.996075,0.102680825,74,7500.0,0.2,0.2,-14.499809
0.104265474,0.84390426,1520.0,0.20413513,-19.311403,0.10320428,75,7600.0,0.3,0.14,-19.66689
0.104194485,0.8439839,1540.0,0.2041995,-17.987455,0.10348497,76,7700.0,0.2,0.22,-17.34813
0.1045376,0.84406286,1560.0,0.20425376,-18.921846,0.10376582,77,7800.0,0.2,0.19,-15.10864
0.104461394,0.8440004,1580.0,0.2042432,-16.33863,0.10412819,78,7900.0,0.2,0.3,-22.116236
0.104575835,0.8440895,1600.0,0.20424916,-20.170288,0.10455862,79,8000.0,0.4,0.16,-15.260658
0.104561985,0.84408903,1620.0,0.20429337,-18.072351,0.10491931,80,8100.0,0.4,0.22,-14.015546
0.10458156,0.84414476,1640.0,0.20423989,-18.619564,0.10534069,81,8200.0,0.4,0.22,-15.639087
0.104708426,0.84412235,1660.0,0.20424765,-16.723068,0.105649464,82,8300.0,0.2,0.22,-13.188162
0.10474241,0.8442337,1680.0,0.20423408,-16.666409,0.10624151,83,8400.0,0.25,0.23,-17.569843
0.10462261,0.84432095,1700.0,0.20422071,-17.96254,0.10646558,84,8500.0,0.4,0.22,-15.027872
0.104676664,0.8442311,1720.0,0.20417613,-16.98131,0.10694384,85,8600.0,0.45,0.26,-16.403835
0.104554236,0.8442877,1740.0,0.20423478,-16.362234,0.107149795,86,8700.0,0.35,0.26,-16.22344
0.10451081,0.84423333,1760.0,0.20420301,-18.025433,0.1075742,87,8800.0,0.3,0.25,-13.915731
0.10439775,0.8442252,1780.0,0.2042024,-19.37249,0.107779495,88,8900.0,0.3,0.21,-16.407047
0.10436689,0.84427524,1800.0,0.20422758,-19.85232,0.10800659,89,9000.0,0.2,0.23,-20.091248
0.104312144,0.8443003,1820.0,0.2042173,-18.061401,0.10811502,90,9100.0,0.35,0.31,-18.712374
0.10425165,0.84437734,1840.0,0.20427649,-16.998695,0.10844057,91,9200.0,0.25,0.31,-18.507336
0.104230225,0.8444751,1860.0,0.20433864,-17.782166,0.10859271,92,9300.0,0.3,0.29,-21.900105
0.10438233,0.8444969,1880.0,0.204368,-17.182457,0.10894003,93,9400.0,0.3,0.32,-18.593786
0.10442326,0.8443845,1900.0,0.20430946,-20.645403,0.10905808,94,9500.0,0.25,0.24,-20.935795
0.10442224,0.84437233,1920.0,0.2043056,-19.337547,0.10929843,95,9600.0,0.3,0.26,-14.664833
0.10441563,0.8443692,1940.0,0.20425509,-19.482504,0.10959532,96,9700.0,0.5,0.31,-14.271521
0.10435337,0.8444045,1960.0,0.20428771,-21.574804,0.109805204,97,9800.0,0.3,0.25,-20.23998
0.1043016,0.8444509,1980.0,0.20427574,-17.906462,0.11010344,98,9900.0,0.35,0.36,-17.343151
0.10426625,0.84445065,2000.0,0.20427293,-16.721386,0.110382564,99,10000.0,0.35,0.36,-21.028011
0.10420275,0.84440404,2020.0,0.20428166,-16.452696,0.11072066,100,10100.0,0.4,0.45,-14.173483
0.10412168,0.844425,2040.0,0.20427294,-20.672548,0.11094682,101,10200.0,0.45,0.28,-18.600554
0.10419657,0.84442085,2060.0,0.20429146,-19.493666,0.11132064,102,10300.0,0.45,0.36,-18.351847
0.10415733,0.8444824,2080.0,0.20432118,-19.53138,0.11139995,103,10400.0,0.55,0.32,-16.486656
0.104091406,0.8444621,2100.0,0.20426793,-18.18223,0.11149362,104,10500.0,0.35,0.35,-14.99394
0.10407183,0.84435153,2120.0,0.2042231,-16.830044,0.11160451,105,10600.0,0.1,0.43,-23.901634
0.10405853,0.8443146,2140.0,0.2042476,-19.789724,0.11163501,106,10700.0,0.4,0.39,-16.695505
0.10394892,0.84433967,2160.0,0.20425215,-21.626167,0.11172666,107,10800.0,0.5,0.31,-17.088177
0.10402223,0.8443516,2180.0,0.2042275,-19.224014,0.111995555,108,10900.0,0.35,0.37,-23.321293
0.10394424,0.8443594,2200.0,0.20422018,-18.18211,0.11207659,109,11000.0,0.5,0.4,-19.65846
0.103900425,0.8443504,2220.0,0.20424555,-18.174444,0.11230861,110,11100.0,0.4,0.44,-18.953127
0.10385198,0.8443634,2240.0,0.20428073,-21.557646,0.112423085,111,11200.0,0.45,0.29,-20.705801
0.10390246,0.8443683,2260.0,0.20432949,-20.204023,0.11253722,112,11300.0,0.55,0.36,-15.800276
0.10393923,0.8444018,2280.0,0.20434842,-19.087076,0.11274667,113,11400.0,0.5,0.37,-19.05234
0.10391841,0.84435123,2300.0,0.20432886,-20.03684,0.11277463,114,11500.0,0.3,0.41,-24.831831
0.103922166,0.84434485,2320.0,0.20428884,-19.64749,0.11310391,115,11600.0,0.4,0.36,-21.228535
0.103803635,0.84430695,2340.0,0.20429789,-18.205564,0.11318038,116,11700.0,0.4,0.48,-22.35215
0.103722274,0.8443828,2360.0,0.20431986,-17.79855,0.11324463,117,11800.0,0.45,0.47,-20.532888
0.10366711,0.84443873,2380.0,0.20429838,-19.495323,0.11335519,118,11900.0,0.5,0.39,-17.990814
0.10357741,0.8444307,2400.0,0.2043184,-20.340645,0.113360874,119,12000.0,0.6,0.41,-15.810518
0.10351312,0.8444331,2420.0,0.20433716,-23.723833,0.113357775,120,12100.0,0.5,0.32,-18.816751
0.103531025,0.8444944,2440.0,0.20436008,-24.17658,0.11336721,121,12200.0,0.4,0.3,-13.726804
0.1036247,0.8444917,2460.0,0.20434557,-21.613281,0.11357608,122,12300.0,0.65,0.34,-13.068875
0.10376919,0.84453934,2480.0,0.20436773,-21.110302,0.11372379,123,12400.0,0.75,0.41,-11.159296
0.10378349,0.84454155,2500.0,0.20436177,-22.40727,0.11375988,124,12500.0,0.4,0.37,-22.112389
0.10380062,0.8445418,2520.0,0.20438448,-20.89018,0.113894165,125,12600.0,0.35,0.41,-22.634825
0.10377016,0.8445437,2540.0,0.20436735,-21.957483,0.11393754,126,12700.0,0.45,0.39,-20.458576
0.10373347,0.84453845,2560.0,0.20431784,-23.142057,0.113974124,127,12800.0,0.6,0.41,-16.083752
0.103666216,0.84450334,2580.0,0.20430689,-21.790083,0.11407266,128,12900.0,0.4,0.39,-22.222672
0.103602916,0.8445088,2600.0,0.20434302,-20.772617,0.11411758,129,13000.0,0.55,0.42,-18.652288
0.103540726,0.84448594,2620.0,0.20427358,-19.233055,0.11419756,130,13100.0,0.4,0.49,-18.265232
0.10357872,0.8444769,2640.0,0.20426561,-20.557392,0.11429624,131,13200.0,0.65,0.45,-14.573267
0.1036065,0.84451157,2660.0,0.20426744,-21.563576,0.11438107,132,13300.0,0.5,0.41,-18.453602
0.103524484,0.84452325,2680.0,0.2042725,-21.610558,0.114417896,133,13400.0,0.5,0.43,-21.33102
0.10362768,0.84462863,2700.0,0.20430018,-20.24812,0.114540376,134,13500.0,0.35,0.45,-22.136684
0.10355634,0.8446266,2720.0,0.20426005,-19.695564,0.114590436,135,13600.0,0.55,0.44,-19.666334
0.1034674,0.84461397,2740.0,0.2042529,-20.231712,0.11459711,136,13700.0,0.45,0.47,-18.07954
0.10346067,0.84458476,2760.0,0.2042231,-19.508709,0.11466802,137,13800.0,0.4,0.39,-25.943354
0.1033807,0.8445794,2780.0,0.20421769,-21.201994,0.11468656,138,13900.0,0.65,0.43,-12.112908
0.1033746,0.84455055,2800.0,0.20422168,-19.724354,0.11481384,139,14000.0,0.6,0.45,-9.9995165
